key,tortuosity/hart-tau1/artery,tortuosity/hart-tau1/vein,tortuosity/hart-tau2/artery,tortuosity/hart-tau2/vein,tortuosity/hart-tau3/artery,tortuosity/hart-tau3/vein,tortuosity/hart-tau4/artery,tortuosity/hart-tau4/vein,tortuosity/hart-tau5/artery,tortuosity/hart-tau5/vein,tortuosity/hart-tau6/artery,tortuosity/hart-tau6/vein,tortuosity/hart-tau7/artery,tortuosity/hart-tau7/vein,tortuosity/grisan-density/artery,tortuosity/grisan-density/vein,tortuosity/arc-chord-times-inflections/artery,tortuosity/arc-chord-times-inflections/vein,tortuosity/spline-mean-curvature/artery,tortuosity/spline-mean-curvature/vein,tortuosity/inflection-count/artery,tortuosity/inflection-count/vein,vessel-calibre/mean-width/artery,vessel-calibre/mean-width/vein,vessel-calibre/median-width/artery,vessel-calibre/median-width/vein,central-retinal-equivalents/knudtson/artery,central-retinal-equivalents/knudtson/vein,central-retinal-equivalents/hubbard/artery,central-retinal-equivalents/hubbard/vein,avr/knudtson/both,avr/hubbard/both,avr/ratio-of-calibres/both,vascular-density/over-field-of-view/vessels,vascular-density/over-image/vessels,fractal-dimension/box-counting/artery,fractal-dimension/box-counting/vein,fractal-dimension/box-counting/vessels,fractal-dimension/multifractal-d0/artery,fractal-dimension/multifractal-d0/vein,fractal-dimension/multifractal-d0/vessels,fractal-dimension/multifractal-d1/artery,fractal-dimension/multifractal-d1/vein,fractal-dimension/multifractal-d1/vessels,fractal-dimension/multifractal-d2/artery,fractal-dimension/multifractal-d2/vein,fractal-dimension/multifractal-d2/vessels,vessel-area-and-length/area/artery,vessel-area-and-length/area/vein,vessel-area-and-length/area/vessels,vessel-area-and-length/skeleton-length/artery,vessel-area-and-length/skeleton-length/vein,vessel-area-and-length/skeleton-length/vessels,sparsity/mean-distance/artery,sparsity/mean-distance/vein,sparsity/mean-distance/vessels,sparsity/max-distance/artery,sparsity/max-distance/vein,sparsity/max-distance/vessels,junction-counts/junctions/artery,junction-counts/junctions/vein,junction-counts/junctions/vessels,junction-counts/endpoints/artery,junction-counts/endpoints/vein,junction-counts/endpoints/vessels,junction-counts/components/artery,junction-counts/components/vein,junction-counts/components/vessels,bifurcation-angle/between-daughters/artery,bifurcation-angle/between-daughters/vein
straight-2048-000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,24.0,16.0,24.0,,,,,,,0.6666666666666666,0.007658752215245095,0.006015169923769636,,,,,,,,,,,,,10031.461929829746,15197.989342116933,25229.45127194668,614.4,614.4000000000001,1228.8000000000002,525.4181988183337,702.106341901617,426.8340604083884,1012.0,1458.536011119755,1012.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,1.0,2.0,,
straight-2048-030,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,24.0,16.0,24.0,,,,,,,0.6666666666666666,0.007658752215245095,0.006015169923769636,,,,,,,,,,,,,10031.461929829746,15197.989342116933,25229.45127194668,614.4,614.4000000000001,1228.8000000000002,525.4181988183337,702.106341901617,426.8340604083884,1012.0,1458.536011119755,1012.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,1.0,2.0,,
straight-2048-060,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,24.0,16.0,24.0,,,,,,,0.6666666666666666,0.007658752215245095,0.006015169923769636,,,,,,,,,,,,,10031.461929829746,15197.989342116933,25229.45127194668,614.4,614.4000000000001,1228.8000000000002,525.4181988183337,702.106341901617,426.8340604083884,1012.0,1458.536011119755,1012.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,1.0,2.0,,
straight-2048-090,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,24.0,16.0,24.0,,,,,,,0.6666666666666666,0.007658752215245095,0.006015169923769636,,,,,,,,,,,,,10031.461929829746,15197.989342116933,25229.45127194668,614.4,614.4000000000001,1228.8000000000002,525.4181988183337,702.106341901617,426.8340604083884,1012.0,1458.536011119755,1012.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,1.0,2.0,,
arc-2048-000,1.110720734536737,1.1107207345367367,1.5707963267908598,1.5707963267908598,0.003486319972458406,0.004648426629944542,0.002219460227272728,0.0029592803030303034,4.9260037004455065e-06,8.757339911903121e-06,0.0024652004939114376,0.0032869339918819157,5.471414448489518e-06,9.726959019536916e-06,0.0,0.0,0.0,0.0,0.002219460227272728,0.0029592803030303034,0.0,0.0,16.0,24.0,16.0,24.0,,,,,,,0.6666666666666666,0.0075030517577937255,0.005892883070447188,,,,,,,,,,,,,11524.86981781198,13191.673216096944,24716.54303390892,707.7379929988896,530.8034947491673,1238.5414877480569,520.1401401108022,682.4822819258792,453.7579665382422,1070.1553993954656,1397.798750180843,1070.1553993954656,,,0.0,2.0,2.0,4.0,,,2.0,,
arc-2048-030,1.110720734536737,1.1107207345367367,1.5707963267908598,1.5707963267908598,0.003486319972458406,0.004648426629944542,0.002219460227272728,0.0029592803030303034,4.9260037004455065e-06,8.757339911903121e-06,0.0024652004939114376,0.0032869339918819157,5.471414448489518e-06,9.726959019536916e-06,0.0,0.0,0.0,0.0,0.002219460227272728,0.0029592803030303034,0.0,0.0,16.0,24.0,16.0,24.0,,,,,,,0.6666666666666666,0.0075030517577937255,0.005892883070447188,,,,,,,,,,,,,11524.86981781198,13191.673216096944,24716.54303390892,707.7379929988896,530.8034947491673,1238.5414877480569,520.1401401108022,682.4822819258792,453.7579665382422,1070.1553993954656,1397.798750180843,1070.1553993954656,,,0.0,2.0,2.0,4.0,,,2.0,,
arc-2048-060,1.110720734536737,1.1107207345367367,1.5707963267908598,1.5707963267908598,0.003486319972458406,0.004648426629944542,0.002219460227272728,0.0029592803030303034,4.9260037004455065e-06,8.757339911903121e-06,0.0024652004939114376,0.0032869339918819157,5.471414448489518e-06,9.726959019536916e-06,0.0,0.0,0.0,0.0,0.002219460227272728,0.0029592803030303034,0.0,0.0,16.0,24.0,16.0,24.0,,,,,,,0.6666666666666666,0.0075030517577937255,0.005892883070447188,,,,,,,,,,,,,11524.86981781198,13191.673216096944,24716.54303390892,707.7379929988896,530.8034947491673,1238.5414877480569,520.1401401108022,682.4822819258792,453.7579665382422,1070.1553993954656,1397.798750180843,1070.1553993954656,,,0.0,2.0,2.0,4.0,,,2.0,,
arc-2048-090,1.110720734536737,1.1107207345367367,1.5707963267908598,1.5707963267908598,0.003486319972458406,0.004648426629944542,0.002219460227272728,0.0029592803030303034,4.9260037004455065e-06,8.757339911903121e-06,0.0024652004939114376,0.0032869339918819157,5.471414448489518e-06,9.726959019536916e-06,0.0,0.0,0.0,0.0,0.002219460227272728,0.0029592803030303034,0.0,0.0,16.0,24.0,16.0,24.0,,,,,,,0.6666666666666666,0.0075030517577937255,0.005892883070447188,,,,,,,,,,,,,11524.86981781198,13191.673216096944,24716.54303390892,707.7379929988896,530.8034947491673,1238.5414877480569,520.1401401108022,682.4822819258792,453.7579665382422,1070.1553993954656,1397.798750180843,1070.1553993954656,,,0.0,2.0,2.0,4.0,,,2.0,,
sinusoid-2048-000,1.3726353649612704,1.3726353649612704,5.650851647376138,5.650851647376138,0.09134776760817569,0.0913477676081757,0.008375630849661326,0.00837563084966133,0.00013539466759527954,0.0001353946675952796,0.01149668710810575,0.011496687108105754,0.0001858475089684564,0.0001858475089684565,0.001104632169379188,0.0011046321693791896,2.7452707299225407,2.7452707299225407,0.008375630849661326,0.00837563084966133,2.0,2.0,16.0,24.0,16.0,24.0,,,,,,,0.6666666666666666,0.00839067813517502,0.006590023197025588,,,,,,,,,,,,,10995.905683201963,16644.65497217525,27640.560655377212,674.6777345857636,674.6777345857633,1349.355469171527,524.1124678013273,653.5744442375064,424.4439504675659,953.2122320330607,1389.421169207903,953.2122320330607,,,0.0,2.0,2.0,4.0,,,2.0,,
sinusoid-2048-030,1.3726353649612704,1.3726353649612704,5.650851647376138,5.650851647376138,0.09134776760817569,0.0913477676081757,0.008375630849661326,0.00837563084966133,0.00013539466759527954,0.0001353946675952796,0.01149668710810575,0.011496687108105754,0.0001858475089684564,0.0001858475089684565,0.001104632169379188,0.0011046321693791896,2.7452707299225407,2.7452707299225407,0.008375630849661326,0.00837563084966133,2.0,2.0,16.0,24.0,16.0,24.0,,,,,,,0.6666666666666666,0.00839067813517502,0.006590023197025588,,,,,,,,,,,,,10995.905683201963,16644.65497217525,27640.560655377212,674.6777345857636,674.6777345857633,1349.355469171527,524.1124678013273,653.5744442375064,424.4439504675659,953.2122320330607,1389.421169207903,953.2122320330607,,,0.0,2.0,2.0,4.0,,,2.0,,
