key,family,side,rotation,um_per_px,disc_cx,disc_cy,disc_r,disc_diameter_um,artery_width_um,vein_width_um,fov_cx,fov_cy,fov_r,artery,vein,fov
straight-2048-000,straight,2048,0.0,5.0,1433.6000,1024.0000,180.0000,1800.0,80.0,120.0,1024.0000,1024.0000,1024.0000,straight-2048-000-artery.png,straight-2048-000-vein.png,straight-2048-000-fov.png
straight-2048-030,straight,2048,30.0,5.0,1378.7240,1228.8000,180.0000,1800.0,80.0,120.0,1024.0000,1024.0000,1024.0000,straight-2048-030-artery.png,straight-2048-030-vein.png,straight-2048-030-fov.png
straight-2048-060,straight,2048,60.0,5.0,1228.8000,1378.7240,180.0000,1800.0,80.0,120.0,1024.0000,1024.0000,1024.0000,straight-2048-060-artery.png,straight-2048-060-vein.png,straight-2048-060-fov.png
straight-2048-090,straight,2048,90.0,5.0,1024.0000,1433.6000,180.0000,1800.0,80.0,120.0,1024.0000,1024.0000,1024.0000,straight-2048-090-artery.png,straight-2048-090-vein.png,straight-2048-090-fov.png
arc-2048-000,arc,2048,0.0,5.0,1433.6000,1024.0000,180.0000,1800.0,80.0,120.0,1024.0000,1024.0000,1024.0000,arc-2048-000-artery.png,arc-2048-000-vein.png,arc-2048-000-fov.png
arc-2048-030,arc,2048,30.0,5.0,1378.7240,1228.8000,180.0000,1800.0,80.0,120.0,1024.0000,1024.0000,1024.0000,arc-2048-030-artery.png,arc-2048-030-vein.png,arc-2048-030-fov.png
arc-2048-060,arc,2048,60.0,5.0,1228.8000,1378.7240,180.0000,1800.0,80.0,120.0,1024.0000,1024.0000,1024.0000,arc-2048-060-artery.png,arc-2048-060-vein.png,arc-2048-060-fov.png
arc-2048-090,arc,2048,90.0,5.0,1024.0000,1433.6000,180.0000,1800.0,80.0,120.0,1024.0000,1024.0000,1024.0000,arc-2048-090-artery.png,arc-2048-090-vein.png,arc-2048-090-fov.png
sinusoid-2048-000,sinusoid,2048,0.0,5.0,1433.6000,1024.0000,180.0000,1800.0,80.0,120.0,1024.0000,1024.0000,1024.0000,sinusoid-2048-000-artery.png,sinusoid-2048-000-vein.png,sinusoid-2048-000-fov.png
sinusoid-2048-030,sinusoid,2048,30.0,5.0,1378.7240,1228.8000,180.0000,1800.0,80.0,120.0,1024.0000,1024.0000,1024.0000,sinusoid-2048-030-artery.png,sinusoid-2048-030-vein.png,sinusoid-2048-030-fov.png
sinusoid-2048-060,sinusoid,2048,60.0,5.0,1228.8000,1378.7240,180.0000,1800.0,80.0,120.0,1024.0000,1024.0000,1024.0000,sinusoid-2048-060-artery.png,sinusoid-2048-060-vein.png,sinusoid-2048-060-fov.png
sinusoid-2048-090,sinusoid,2048,90.0,5.0,1024.0000,1433.6000,180.0000,1800.0,80.0,120.0,1024.0000,1024.0000,1024.0000,sinusoid-2048-090-artery.png,sinusoid-2048-090-vein.png,sinusoid-2048-090-fov.png
bifurcation-2048-000,bifurcation,2048,0.0,5.0,1433.6000,1024.0000,180.0000,1800.0,80.0,120.0,1024.0000,1024.0000,1024.0000,bifurcation-2048-000-artery.png,bifurcation-2048-000-vein.png,bifurcation-2048-000-fov.png
bifurcation-2048-030,bifurcation,2048,30.0,5.0,1378.7240,1228.8000,180.0000,1800.0,80.0,120.0,1024.0000,1024.0000,1024.0000,bifurcation-2048-030-artery.png,bifurcation-2048-030-vein.png,bifurcation-2048-030-fov.png
bifurcation-2048-060,bifurcation,2048,60.0,5.0,1228.8000,1378.7240,180.0000,1800.0,80.0,120.0,1024.0000,1024.0000,1024.0000,bifurcation-2048-060-artery.png,bifurcation-2048-060-vein.png,bifurcation-2048-060-fov.png
bifurcation-2048-090,bifurcation,2048,90.0,5.0,1024.0000,1433.6000,180.0000,1800.0,80.0,120.0,1024.0000,1024.0000,1024.0000,bifurcation-2048-090-artery.png,bifurcation-2048-090-vein.png,bifurcation-2048-090-fov.png
