key,subset,split,reader,native_side,outcome,resampling,artery_dice,vein_dice,vessels_dice,artery_cldice,vein_cldice,vessels_cldice,artery_betti,vein_betti,vessels_betti,said_artery_px,said_vein_px,truth_artery_px,truth_vein_px,note
im000001,main,unspecified,expert,1063,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.570572,0.656379,0.641158,0.707336,0.731844,0.755799,51.000000,58.000000,115.000000,34226,46133,79544,79194,
im000004,main,unspecified,expert,1056,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.632502,0.709497,0.723931,0.673728,0.711484,0.768785,34.000000,74.000000,111.000000,27922,44820,47360,50859,
im000023,main,unspecified,expert,1068,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.439294,0.600177,0.582225,0.414329,0.585432,0.576487,20.000000,29.000000,52.000000,10442,26674,28343,42249,
im000024,main,unspecified,expert,1062,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.593049,0.579934,0.636805,0.612050,0.560362,0.641915,45.000000,63.000000,117.000000,19662,31646,32590,52674,
im000135,main,unspecified,expert,1057,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.519115,0.593255,0.597604,0.535857,0.633887,0.637030,94.000000,97.000000,230.000000,33539,44429,84720,87049,
im000136,main,unspecified,expert,1065,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.527674,0.525695,0.585680,0.657774,0.649618,0.731045,106.000000,119.000000,214.000000,36715,39033,80653,95855,
im000167,main,unspecified,expert,1064,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.582578,0.612149,0.621650,0.677669,0.668839,0.702778,37.000000,72.000000,117.000000,23061,34713,51226,64142,
im000168,main,unspecified,expert,1066,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.533558,0.617315,0.648345,0.582514,0.627298,0.710167,63.000000,101.000000,179.000000,28601,42812,65623,65972,
im000189,main,unspecified,expert,1057,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.569614,0.635953,0.641598,0.617757,0.620243,0.661481,46.000000,65.000000,122.000000,27807,48388,53448,80980,
im000209,main,unspecified,expert,1065,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.612833,0.667190,0.690477,0.670572,0.740936,0.765821,57.000000,35.000000,92.000000,21936,36079,37036,58107,
im000210,main,unspecified,expert,1066,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.451942,0.634412,0.621097,0.510494,0.683571,0.691400,55.000000,67.000000,128.000000,21599,40531,47901,77178,
im000333,main,unspecified,expert,1060,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.532400,0.496103,0.586557,0.579848,0.532136,0.652972,53.000000,63.000000,127.000000,25926,33232,38950,91875,
im000389,main,unspecified,expert,1058,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.578081,0.621190,0.633466,0.599048,0.665003,0.681434,39.000000,56.000000,99.000000,20177,38312,38538,71194,
im000390,main,unspecified,expert,1056,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.529835,0.629557,0.630930,0.588050,0.679560,0.706838,39.000000,69.000000,127.000000,25673,45807,55726,78204,
im000678,main,unspecified,expert,1062,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.580665,0.647377,0.665740,0.628055,0.632850,0.698364,42.000000,32.000000,82.000000,25326,37720,40719,62750,
im000679,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.411877,0.614848,0.593305,0.443838,0.633100,0.640759,53.000000,38.000000,91.000000,22236,38202,49970,59331,
im000715,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.445835,0.727216,0.659153,0.514361,0.777789,0.723618,27.000000,27.000000,58.000000,12332,38550,27131,48233,
im000716,main,unspecified,expert,1057,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.337203,0.606581,0.578031,0.331481,0.586807,0.576686,24.000000,48.000000,73.000000,7962,34005,25543,43739,
im000938,main,unspecified,expert,1065,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.454463,0.544718,0.559856,0.462282,0.550832,0.585373,28.000000,47.000000,76.000000,13614,26800,31679,51457,
im001031,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.277402,0.525160,0.480732,0.338374,0.581008,0.545683,20.000000,52.000000,83.000000,10281,25308,43612,58179,
im001032,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.277402,0.525160,0.480732,0.338374,0.581008,0.545683,20.000000,52.000000,83.000000,10281,25308,43612,58179,
im001034,main,unspecified,expert,1069,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.051326,0.339476,0.236785,0.052199,0.392435,0.283474,13.000000,19.000000,40.000000,1016,10652,34210,48657,
im001069,main,unspecified,expert,1060,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.547199,0.634731,0.623224,0.609754,0.692542,0.690259,35.000000,56.000000,111.000000,22993,33272,53619,59643,
im001070,main,unspecified,expert,1062,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.446022,0.586383,0.548396,0.568081,0.616332,0.627710,64.000000,58.000000,128.000000,18838,32763,56674,66360,
im001096,main,unspecified,expert,1057,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.512119,0.668288,0.627572,0.599938,0.686135,0.694357,45.000000,49.000000,100.000000,30085,44820,72356,71567,
im001097,main,unspecified,expert,1059,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.584727,0.693100,0.674460,0.693873,0.680603,0.736218,22.000000,25.000000,47.000000,31918,43409,66569,62518,
im001126,main,unspecified,expert,1062,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.442597,0.616509,0.563967,0.474714,0.654575,0.599682,32.000000,60.000000,100.000000,15938,37084,48762,68316,
im001127,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.424394,0.536234,0.530880,0.455880,0.572822,0.573183,21.000000,94.000000,120.000000,14751,29769,41918,64936,
im001154,main,unspecified,expert,1062,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.600532,0.640401,0.639190,0.655935,0.714778,0.706391,81.000000,48.000000,135.000000,30441,41454,58680,74945,
im001155,main,unspecified,expert,1065,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.589873,0.625906,0.635965,0.683486,0.698205,0.732435,43.000000,69.000000,111.000000,29012,38297,62228,65642,
im001192,main,unspecified,expert,1056,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.410911,0.534553,0.545750,0.440778,0.610716,0.622249,67.000000,130.000000,208.000000,29089,42837,91341,84185,
im001193,main,unspecified,expert,1057,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.480634,0.524550,0.555573,0.541590,0.572794,0.620540,90.000000,151.000000,259.000000,35425,44059,84812,101971,
im001218,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.594467,0.622807,0.642620,0.717040,0.698990,0.744006,71.000000,83.000000,172.000000,37741,56994,73663,111665,
im001219,main,unspecified,expert,1063,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.615838,0.650542,0.681837,0.714927,0.698985,0.761822,97.000000,79.000000,175.000000,41366,56579,74973,94492,
im001246,main,unspecified,expert,1060,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.454308,0.532301,0.573202,0.516619,0.572394,0.651174,53.000000,60.000000,116.000000,25189,35450,61664,67394,
im001686,main,unspecified,expert,1064,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.596453,0.644431,0.657956,0.739979,0.686998,0.758958,14.000000,48.000000,71.000000,27009,39729,50573,64428,
im001749,main,unspecified,expert,1062,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.571263,0.645698,0.651672,0.632927,0.715651,0.723135,52.000000,89.000000,154.000000,37470,50365,73211,88353,
im001750,main,unspecified,expert,1066,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.537075,0.610708,0.597661,0.577885,0.677523,0.659941,28.000000,57.000000,97.000000,29664,44293,71901,80526,
im001791,main,unspecified,expert,1064,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.561528,0.641604,0.637969,0.624570,0.718622,0.724757,37.000000,99.000000,153.000000,32630,39814,71664,73848,
im001792,main,unspecified,expert,1067,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.595740,0.559517,0.611769,0.632091,0.617958,0.682381,56.000000,58.000000,137.000000,28381,40160,55988,88097,
im001814,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.602004,0.744186,0.693510,0.668776,0.807527,0.758658,61.000000,64.000000,125.000000,34232,44222,70980,60354,
im001858,main,unspecified,expert,1064,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.600547,0.640881,0.668395,0.658980,0.685130,0.746697,97.000000,95.000000,189.000000,29481,50100,51655,92045,
im001859,main,unspecified,expert,1069,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.603137,0.609024,0.643410,0.709146,0.666976,0.742196,49.000000,58.000000,118.000000,24243,34211,44355,66836,
im002094,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.315754,0.489693,0.521485,0.347424,0.497229,0.553290,23.000000,30.000000,55.000000,12061,26396,27058,59470,
im002348,main,unspecified,expert,1059,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.431595,0.625634,0.568982,0.522647,0.666442,0.654772,36.000000,102.000000,140.000000,20022,35258,65461,65523,
im002350,main,unspecified,expert,1056,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.475367,0.636657,0.628362,0.558778,0.668577,0.715272,51.000000,62.000000,124.000000,26452,43644,71952,69029,
