key,subset,split,reader,native_side,outcome,resampling,artery_dice,vein_dice,vessels_dice,artery_cldice,vein_cldice,vessels_cldice,artery_betti,vein_betti,vessels_betti,said_artery_px,said_vein_px,truth_artery_px,truth_vein_px,note
test_007_n,square,test,expert,1280,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.846430,0.810854,0.885704,0.840115,0.816804,0.887524,167.000000,154.000000,292.000000,68709,66229,82798,66367,
test_016_n,square,test,expert,1274,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.765026,0.834565,0.847748,0.756105,0.834285,0.863688,156.000000,126.000000,251.000000,61745,82404,82867,90177,
test_018_n,large,test,expert,2093,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.838687,0.836258,0.863460,0.851303,0.821004,0.868750,117.000000,148.000000,198.000000,159783,198044,181901,223723,
test_022_n,square,test,expert,1274,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.810440,0.794691,0.819386,0.859590,0.843813,0.877790,66.000000,113.000000,165.000000,59071,62538,78970,90047,
test_024_n,square,test,expert,1274,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.833126,0.837853,0.854581,0.852877,0.850065,0.883187,133.000000,136.000000,259.000000,55791,74936,65043,94478,
test_027_g,large,test,expert,2094,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.855740,0.865724,0.876331,0.873837,0.859878,0.885792,45.000000,88.000000,125.000000,146476,155190,182722,185094,
test_035_a,square,test,expert,1275,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.830034,0.869611,0.867567,0.856072,0.901957,0.897936,110.000000,73.000000,175.000000,57504,67820,75334,82967,
test_040_g,square,test,expert,1277,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.768401,0.785941,0.811316,0.829596,0.841457,0.891384,79.000000,80.000000,148.000000,51665,64475,68124,96023,
test_044_n,square,test,expert,1280,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.807345,0.864102,0.864926,0.838441,0.897606,0.912669,128.000000,86.000000,200.000000,56041,73849,74768,87250,
test_047_a,square,test,expert,1275,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.823169,0.858392,0.865019,0.862528,0.905674,0.925717,99.000000,69.000000,166.000000,51183,70266,70374,82981,
