key,subset,split,reader,native_side,outcome,resampling,artery_dice,vein_dice,vessels_dice,artery_cldice,vein_cldice,vessels_cldice,artery_betti,vein_betti,vessels_betti,said_artery_px,said_vein_px,truth_artery_px,truth_vein_px,note
01_dr,main,unspecified,expert,3271,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.627856,0.759140,0.718079,0.613187,0.711921,0.685693,912.000000,1137.000000,1747.000000,202602,347131,159570,290438,
01_g,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.737103,0.762441,0.761081,0.695341,0.699849,0.708921,756.000000,1318.000000,1896.000000,275057,311473,258448,302657,
01_h,main,unspecified,expert,3270,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.813653,0.823116,0.829330,0.784614,0.812048,0.812078,178.000000,151.000000,309.000000,359384,368193,418287,435412,
02_dr,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.721960,0.788789,0.771798,0.709439,0.733691,0.748668,373.000000,542.000000,796.000000,237802,337045,230886,321377,
02_g,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.779822,0.784485,0.795986,0.693139,0.697259,0.723242,979.000000,619.000000,1277.000000,307438,310984,309077,321864,
02_h,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.841147,0.861123,0.867471,0.865597,0.873279,0.889986,186.000000,138.000000,298.000000,345550,395759,380613,436443,
03_dr,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.752089,0.788481,0.789549,0.733800,0.716706,0.759182,199.000000,381.000000,522.000000,246907,292166,225133,294182,
03_g,main,unspecified,expert,3271,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.751280,0.775201,0.773017,0.727254,0.690492,0.729311,501.000000,540.000000,833.000000,216656,268895,228326,272621,
03_h,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.779227,0.806204,0.812485,0.809670,0.835303,0.848801,203.000000,173.000000,331.000000,333422,375002,441215,472057,
04_dr,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.743901,0.804475,0.789585,0.673464,0.707605,0.712131,752.000000,678.000000,1222.000000,207000,272652,204348,275783,
04_g,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.739294,0.803214,0.787871,0.710059,0.741626,0.749030,241.000000,194.000000,456.000000,230063,289004,258254,303249,
04_h,main,unspecified,expert,3270,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.847487,0.837530,0.856318,0.862607,0.846186,0.867052,160.000000,195.000000,326.000000,349129,359037,381641,406034,
05_dr,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.737888,0.792322,0.776982,0.732798,0.785933,0.776701,483.000000,391.000000,757.000000,303271,325170,254640,269071,
05_g,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.775734,0.813032,0.808924,0.730374,0.706441,0.748154,442.000000,461.000000,640.000000,264139,285270,273195,298965,
05_h,main,unspecified,expert,3270,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.813209,0.826238,0.839260,0.807206,0.808657,0.837286,176.000000,198.000000,369.000000,296768,346972,353658,423629,
06_dr,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.558032,0.662701,0.703529,0.453601,0.538805,0.619033,561.000000,554.000000,793.000000,238840,304908,344904,391614,
06_g,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.783542,0.795537,0.801531,0.711360,0.726509,0.746918,402.000000,374.000000,602.000000,290613,294337,298471,298606,
06_h,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.832978,0.847759,0.854523,0.826068,0.825159,0.840900,196.000000,161.000000,372.000000,369229,387721,432192,459852,
07_dr,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.756862,0.798699,0.792062,0.755286,0.768648,0.782205,214.000000,212.000000,388.000000,355434,370971,331978,348301,
07_g,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.747116,0.802465,0.795107,0.676509,0.725570,0.735222,655.000000,485.000000,909.000000,252971,301118,270040,312080,
07_h,main,unspecified,expert,3270,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.841913,0.853001,0.858740,0.837029,0.860720,0.864555,185.000000,162.000000,345.000000,326943,339818,380691,394043,
08_dr,main,unspecified,expert,3267,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.732222,0.784126,0.779618,0.718635,0.731158,0.763525,303.000000,259.000000,469.000000,321405,384281,296492,365438,
08_g,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.766475,0.810648,0.800720,0.743946,0.762143,0.771809,419.000000,291.000000,703.000000,272131,337738,264283,326812,
08_h,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.828205,0.838728,0.850239,0.800112,0.820019,0.832648,170.000000,154.000000,325.000000,335848,367925,416444,461791,
09_dr,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.670299,0.776145,0.751841,0.639779,0.727546,0.722723,170.000000,185.000000,301.000000,208970,338495,246245,364894,
09_g,main,unspecified,expert,3271,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.749515,0.802452,0.788753,0.694109,0.762362,0.749945,402.000000,319.000000,603.000000,240211,322987,261999,313158,
09_h,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.767110,0.817157,0.820723,0.735593,0.774879,0.793334,194.000000,171.000000,365.000000,222504,300717,305900,386669,
10_dr,main,unspecified,expert,3267,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.760742,0.791426,0.788763,0.757061,0.761491,0.775337,213.000000,187.000000,404.000000,353368,394063,367746,395188,
10_g,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.751984,0.785419,0.783980,0.744952,0.772133,0.775925,198.000000,225.000000,390.000000,260794,336245,250257,290063,
10_h,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.776160,0.808733,0.824907,0.716458,0.749419,0.780197,166.000000,189.000000,355.000000,264607,314772,367116,416535,
11_dr,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.770381,0.800981,0.804174,0.750495,0.759039,0.785332,246.000000,221.000000,436.000000,349337,382381,353923,382179,
11_g,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.759871,0.800359,0.790129,0.711812,0.754001,0.751215,289.000000,253.000000,531.000000,301791,315147,332464,337205,
11_h,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.823805,0.841546,0.854613,0.849516,0.865377,0.880373,166.000000,185.000000,343.000000,320812,351144,401980,419932,
12_dr,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.700270,0.760233,0.765327,0.605792,0.641514,0.692283,349.000000,396.000000,593.000000,232166,297189,272848,342157,
12_g,main,unspecified,expert,3270,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.778311,0.790791,0.796932,0.726534,0.743102,0.758268,189.000000,193.000000,381.000000,351720,342199,366209,356403,
12_h,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.816402,0.854675,0.863673,0.827415,0.876392,0.885547,198.000000,182.000000,367.000000,344747,409131,441111,482104,
13_dr,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.733140,0.793580,0.789585,0.659234,0.712375,0.726356,235.000000,259.000000,450.000000,229115,313573,260767,339639,
13_g,main,unspecified,expert,3270,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.731775,0.760012,0.761505,0.714584,0.718070,0.734575,218.000000,289.000000,484.000000,236229,301205,255701,315614,
