key,subset,split,reader,native_side,outcome,resampling,artery_dice,vein_dice,vessels_dice,artery_cldice,vein_cldice,vessels_cldice,artery_betti,vein_betti,vessels_betti,said_artery_px,said_vein_px,truth_artery_px,truth_vein_px,note
enrich_enrich012enrich01220210728_001,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.762162,0.832909,0.816190,0.688224,0.792559,0.766816,93.000000,129.000000,247.000000,120936,168061,174072,208631,
enrich_enrich012enrich01220210728_002,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.827010,0.825779,0.838561,0.783655,0.772027,0.796438,64.000000,77.000000,159.000000,131269,157101,164246,201760,
enrich_enrich016enrich01620210803_003,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.764908,0.838800,0.808381,0.690431,0.754973,0.725057,68.000000,32.000000,126.000000,114397,139055,171104,178358,
enrich_enrich016enrich01620210803_005,enrich,unspecified,expert,2201,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.798302,0.838621,0.825879,0.731114,0.757510,0.750719,52.000000,69.000000,141.000000,122459,142808,166304,176745,
enrich_enrich023enrich02320210812_001,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.796667,0.836106,0.825498,0.706407,0.811213,0.767912,83.000000,130.000000,241.000000,127131,141962,173647,172204,
enrich_enrich023enrich02320210812_002,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.854381,0.833810,0.856911,0.871075,0.800112,0.853951,44.000000,44.000000,112.000000,123548,123871,149054,146464,
enrich_enrich027enrich02720210818_001,enrich,unspecified,expert,2199,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.834615,0.872244,0.870454,0.806864,0.841023,0.846635,47.000000,40.000000,95.000000,169737,212847,214797,243491,
enrich_enrich030enrich03020210821_001,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.849709,0.850956,0.861093,0.812915,0.841277,0.840062,141.000000,93.000000,243.000000,177226,190662,220816,225409,
enrich_enrich030enrich03020210821_002,enrich,unspecified,expert,2199,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.843187,0.845288,0.851490,0.796301,0.798819,0.806525,97.000000,71.000000,185.000000,173232,174621,214995,214593,
enrich_enrich031enrich03120210824_001,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.859900,0.847756,0.862466,0.820009,0.781413,0.814332,62.000000,72.000000,162.000000,177804,183464,210106,227921,
