key,subset,split,reader,native_side,outcome,resampling,artery_dice,artery_cldice,vein_dice,vein_cldice,vessels_dice,vessels_cldice,said_artery_px,said_vein_px,truth_artery_px,truth_vein_px,note
test_007_n,square,test,expert,1280,graded,"probabilities to native, bilinear, then thresholded",0.654312,0.599156,0.684602,0.660985,0.766835,0.741654,60354,69642,82798,66367,
test_016_n,square,test,expert,1274,graded,"probabilities to native, bilinear, then thresholded",0.671251,0.661675,0.775716,0.771352,0.806143,0.825363,63877,103221,82867,90177,
test_018_n,large,test,expert,2093,graded,"probabilities to native, bilinear, then thresholded",0.648214,0.657708,0.715279,0.703268,0.751783,0.770599,161248,211808,181901,223723,
test_022_n,square,test,expert,1274,graded,"probabilities to native, bilinear, then thresholded",0.692926,0.681131,0.749811,0.714435,0.798627,0.801491,56730,79553,78970,90047,
test_024_n,square,test,expert,1274,graded,"probabilities to native, bilinear, then thresholded",0.715867,0.701643,0.757461,0.742333,0.818687,0.831191,64671,91678,65043,94478,
test_027_g,large,test,expert,2094,graded,"probabilities to native, bilinear, then thresholded",0.677507,0.673820,0.731703,0.660919,0.759918,0.737567,137192,164179,182722,185094,
test_035_a,square,test,expert,1275,graded,"probabilities to native, bilinear, then thresholded",0.712449,0.671329,0.770205,0.749380,0.823196,0.817583,60016,79291,75334,82967,
test_040_g,square,test,expert,1277,graded,"probabilities to native, bilinear, then thresholded",0.593940,0.586061,0.753510,0.733264,0.762743,0.769777,44645,75412,68124,96023,
test_044_n,square,test,expert,1280,graded,"probabilities to native, bilinear, then thresholded",0.675975,0.657658,0.768727,0.766731,0.797128,0.807458,54932,79337,74768,87250,
test_047_a,square,test,expert,1275,graded,"probabilities to native, bilinear, then thresholded",0.729711,0.707305,0.780290,0.755070,0.832626,0.839033,58381,76575,70374,82981,
test_048_d,large,test,expert,2093,graded,"probabilities to native, bilinear, then thresholded",0.630754,0.591443,0.714956,0.691169,0.734602,0.713293,130680,185463,153827,243151,
test_052_n,square,test,expert,1279,graded,"probabilities to native, bilinear, then thresholded",0.644646,0.662765,0.735754,0.732059,0.737782,0.752771,39293,54508,60160,75810,
test_064_d,square,test,expert,1280,graded,"probabilities to native, bilinear, then thresholded",0.727428,0.698960,0.745238,0.702035,0.801793,0.787829,64801,73803,78097,84788,
test_074_n,square,test,expert,1280,graded,"probabilities to native, bilinear, then thresholded",0.724802,0.724408,0.765961,0.748829,0.798046,0.799055,58268,80603,70534,78379,
test_077_g,square,test,expert,1280,graded,"probabilities to native, bilinear, then thresholded",0.723632,0.720756,0.797166,0.812566,0.812114,0.834206,51051,84585,64176,82226,
test_078_d,square,test,expert,1275,graded,"probabilities to native, bilinear, then thresholded",0.559874,0.584535,0.763802,0.725774,0.720752,0.724882,35548,70613,72562,95163,
test_086_n,square,test,expert,1275,graded,"probabilities to native, bilinear, then thresholded",0.656931,0.619782,0.762929,0.727337,0.748626,0.715639,39243,60231,64844,74838,
test_090_g,square,test,expert,1276,graded,"probabilities to native, bilinear, then thresholded",0.719155,0.710042,0.791019,0.772129,0.818228,0.822294,57353,87104,74855,88692,
test_095_g,square,test,expert,1273,graded,"probabilities to native, bilinear, then thresholded",0.664034,0.671980,0.682906,0.657724,0.782349,0.812559,59015,60396,76710,81603,
test_099_d,square,test,expert,1275,graded,"probabilities to native, bilinear, then thresholded",0.652600,0.595806,0.705455,0.688816,0.761147,0.752187,51383,72592,77955,83948,
train_001_g,square,train,expert,1277,graded,"probabilities to native, bilinear, then thresholded",0.694303,0.671312,0.721470,0.682435,0.757613,0.743902,47306,70213,69326,85300,
train_002_n,square,train,expert,1280,graded,"probabilities to native, bilinear, then thresholded",0.687409,0.684175,0.745465,0.742441,0.778451,0.806586,53272,84309,69217,97921,
train_003_n,square,train,expert,1280,graded,"probabilities to native, bilinear, then thresholded",0.685049,0.663110,0.693305,0.658051,0.752242,0.742262,53568,64496,60094,91819,
train_004_d,square,train,expert,1275,graded,"probabilities to native, bilinear, then thresholded",0.585050,0.541436,0.680129,0.643009,0.727528,0.706477,39953,54947,54186,65830,
train_005_n,square,train,expert,1280,graded,"probabilities to native, bilinear, then thresholded",0.653615,0.630907,0.683639,0.654130,0.769974,0.751291,53628,73739,70136,75053,
train_006_a,square,train,expert,1280,graded,"probabilities to native, bilinear, then thresholded",0.698585,0.646000,0.735975,0.700736,0.812504,0.800692,61359,84352,81736,74368,
train_008_n,large,train,expert,2094,graded,"probabilities to native, bilinear, then thresholded",0.649720,0.613806,0.695691,0.658334,0.737781,0.726875,138552,198720,187693,212057,
train_009_d,large,train,expert,2093,graded,"probabilities to native, bilinear, then thresholded",0.656600,0.640525,0.715073,0.677821,0.734339,0.723845,160086,213860,207614,241193,
train_010_d,large,train,expert,2094,graded,"probabilities to native, bilinear, then thresholded",0.593156,0.543912,0.681425,0.629591,0.716545,0.675432,133090,197051,185892,234210,
train_011_n,large,train,expert,2093,graded,"probabilities to native, bilinear, then thresholded",0.709818,0.687132,0.736841,0.715944,0.761720,0.746322,170498,200091,176605,204504,
train_012_n,large,train,expert,2094,graded,"probabilities to native, bilinear, then thresholded",0.601089,0.625320,0.707476,0.643468,0.728491,0.718245,154932,214571,211759,215007,
train_013_a,square,train,expert,1277,graded,"probabilities to native, bilinear, then thresholded",0.740680,0.780295,0.781629,0.751830,0.812732,0.826892,57313,92011,76086,98248,
train_014_d,square,train,expert,1276,graded,"probabilities to native, bilinear, then thresholded",0.608056,0.578035,0.654417,0.619739,0.698806,0.689865,54307,60053,86532,87324,
train_015_n,square,train,expert,1276,graded,"probabilities to native, bilinear, then thresholded",0.654190,0.618931,0.758878,0.724190,0.809560,0.817408,56338,105735,80188,100480,
train_017_g,square,train,expert,1279,graded,"probabilities to native, bilinear, then thresholded",0.668659,0.666968,0.717591,0.680012,0.793154,0.811195,57055,90937,86181,89486,
train_019_g,square,train,expert,1280,graded,"probabilities to native, bilinear, then thresholded",0.699304,0.672963,0.690983,0.659595,0.784463,0.786355,57524,55368,66711,63179,
train_020_n,large,train,expert,2094,graded,"probabilities to native, bilinear, then thresholded",0.643729,0.617197,0.704247,0.662714,0.738432,0.730772,151982,211553,193586,234103,
train_021_n,large,train,expert,2095,graded,"probabilities to native, bilinear, then thresholded",0.623797,0.595492,0.678187,0.650390,0.707568,0.690718,162260,217349,210733,228295,
train_023_n,square,train,expert,1273,graded,"probabilities to native, bilinear, then thresholded",0.690741,0.671530,0.740945,0.686034,0.763643,0.760331,49235,63050,73164,83220,
