key,subset,split,reader,native_side,outcome,resampling,artery_dice,vein_dice,vessels_dice,artery_cldice,vein_cldice,vessels_cldice,artery_betti,vein_betti,vessels_betti,said_artery_px,said_vein_px,truth_artery_px,truth_vein_px,note
01_dr,main,unspecified,expert,3271,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.496306,0.647037,0.627204,0.525194,0.666066,0.653757,867.000000,1095.000000,1671.000000,236492,457961,159570,290438,
01_g,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.566307,0.626259,0.652141,0.491490,0.580552,0.605339,686.000000,1254.000000,1753.000000,262086,411524,258448,302657,
01_h,main,unspecified,expert,3270,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.611269,0.658630,0.697092,0.534294,0.574486,0.633514,137.000000,131.000000,230.000000,356420,391723,418287,435412,
02_dr,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.529247,0.661781,0.639015,0.548216,0.648376,0.650102,312.000000,507.000000,695.000000,256089,421394,230886,321377,
02_g,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.603924,0.628156,0.666342,0.503196,0.566149,0.610010,838.000000,559.000000,1084.000000,300563,411616,309077,321864,
02_h,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.596858,0.657555,0.725404,0.556407,0.582144,0.697541,95.000000,134.000000,202.000000,344367,401224,380613,436443,
03_dr,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.494942,0.623681,0.629259,0.503828,0.526483,0.610889,210.000000,318.000000,466.000000,271159,317740,225133,294182,
03_g,main,unspecified,expert,3271,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.493646,0.639961,0.626248,0.437091,0.597126,0.589340,418.000000,466.000000,702.000000,160195,355345,228326,272621,
03_h,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.600019,0.666673,0.683358,0.567620,0.649195,0.680271,131.000000,147.000000,218.000000,336354,428076,441215,472057,
04_dr,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.493437,0.641421,0.645289,0.435746,0.522947,0.581769,761.000000,643.000000,1193.000000,226228,306100,204348,275783,
04_g,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.599302,0.659463,0.659705,0.546903,0.653414,0.644914,102.000000,48.000000,176.000000,235667,393385,258254,303249,
04_h,main,unspecified,expert,3270,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.643505,0.675307,0.713701,0.610261,0.664175,0.698606,111.000000,126.000000,205.000000,313620,426757,381641,406034,
05_dr,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.532536,0.600326,0.624253,0.525248,0.641896,0.661501,371.000000,348.000000,615.000000,311263,444825,254640,269071,
05_g,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.588407,0.645848,0.664342,0.549695,0.580208,0.644290,312.000000,364.000000,426.000000,276686,392322,273195,298965,
05_h,main,unspecified,expert,3270,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.617772,0.659600,0.712924,0.575558,0.612569,0.693582,93.000000,103.000000,195.000000,295504,450380,353658,423629,
06_dr,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.378578,0.507119,0.574644,0.250878,0.360795,0.456455,308.000000,395.000000,505.000000,224258,306261,344904,391614,
06_g,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.583389,0.615968,0.655156,0.543255,0.588243,0.647656,262.000000,280.000000,373.000000,318942,408587,298471,298606,
06_h,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.642264,0.678646,0.711815,0.612214,0.655386,0.703254,86.000000,123.000000,230.000000,394437,524691,432192,459852,
07_dr,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.595930,0.641960,0.657699,0.629331,0.652596,0.696878,141.000000,150.000000,257.000000,402853,502013,331978,348301,
07_g,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.545275,0.625368,0.644799,0.513048,0.572827,0.615821,523.000000,410.000000,697.000000,270583,387207,270040,312080,
07_h,main,unspecified,expert,3270,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.625966,0.683086,0.712541,0.584203,0.664276,0.702198,96.000000,101.000000,202.000000,296806,428992,380691,394043,
08_dr,main,unspecified,expert,3267,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.530029,0.644815,0.646856,0.525513,0.613886,0.651604,229.000000,246.000000,373.000000,333922,441752,296492,365438,
08_g,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.531611,0.640387,0.647148,0.531755,0.579658,0.629770,358.000000,191.000000,532.000000,296202,414143,264283,326812,
08_h,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.617443,0.693394,0.730597,0.546811,0.655447,0.698562,115.000000,106.000000,204.000000,325092,491705,416444,461791,
09_dr,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.320239,0.640813,0.592299,0.272677,0.590339,0.528842,155.000000,156.000000,266.000000,103850,352988,246245,364894,
09_g,main,unspecified,expert,3271,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.562130,0.627156,0.625555,0.563424,0.645693,0.652939,267.000000,252.000000,410.000000,297092,441531,261999,313158,
09_h,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.586676,0.701961,0.693003,0.513590,0.630376,0.632829,97.000000,86.000000,193.000000,215209,388457,305900,386669,
10_dr,main,unspecified,expert,3267,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.556489,0.638924,0.644480,0.539774,0.634886,0.642166,98.000000,79.000000,193.000000,317791,524296,367746,395188,
10_g,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.583711,0.630059,0.648915,0.589876,0.651313,0.672380,158.000000,158.000000,260.000000,305919,426606,250257,290063,
10_h,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.611639,0.677696,0.691619,0.529965,0.594001,0.630448,90.000000,85.000000,173.000000,276404,393781,367116,416535,
11_dr,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.594022,0.657983,0.663652,0.577986,0.652325,0.663560,167.000000,138.000000,273.000000,349472,501965,353923,382179,
11_g,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.577962,0.647551,0.655987,0.503625,0.580546,0.601067,153.000000,167.000000,312.000000,309668,380771,332464,337205,
11_h,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.614069,0.680935,0.712112,0.582060,0.677480,0.730778,98.000000,149.000000,230.000000,306725,462517,401980,419932,
12_dr,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.473435,0.629114,0.615921,0.385364,0.519010,0.538137,274.000000,285.000000,404.000000,212828,357312,272848,342157,
12_g,main,unspecified,expert,3270,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.576450,0.602168,0.654783,0.507421,0.578322,0.627532,107.000000,123.000000,237.000000,349579,466245,366209,356403,
12_h,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.676220,0.725510,0.749355,0.645265,0.730692,0.760943,115.000000,102.000000,209.000000,388356,527384,441111,482104,
13_dr,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.524812,0.642341,0.646917,0.453305,0.576889,0.591975,153.000000,146.000000,269.000000,250578,383805,260767,339639,
13_g,main,unspecified,expert,3270,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.533793,0.605365,0.619404,0.516168,0.563448,0.593857,136.000000,133.000000,249.000000,241690,360071,255701,315614,
13_h,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.633499,0.673746,0.703338,0.603081,0.678305,0.719758,81.000000,132.000000,201.000000,329969,435709,384652,378028,
14_dr,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.455462,0.581750,0.616338,0.395228,0.483868,0.572467,295.000000,304.000000,427.000000,279307,378599,352566,393018,
14_g,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.426542,0.584832,0.594822,0.361498,0.488168,0.525001,184.000000,162.000000,258.000000,197151,305894,287551,319209,
14_h,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.583200,0.640677,0.665593,0.585901,0.660095,0.704856,117.000000,140.000000,227.000000,338239,429541,385581,376144,
15_dr,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.515312,0.582730,0.623899,0.507947,0.546588,0.620485,160.000000,144.000000,269.000000,288358,313302,269999,311447,
15_g,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.571348,0.642623,0.641969,0.567673,0.634539,0.638047,144.000000,166.000000,239.000000,303177,421127,300651,325709,
15_h,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.541555,0.605922,0.679678,0.535811,0.639738,0.737373,95.000000,111.000000,195.000000,255879,435162,328088,349771,
