key,subset,split,reader,native_side,outcome,resampling,artery_dice,vein_dice,vessels_dice,artery_cldice,vein_cldice,vessels_cldice,artery_betti,vein_betti,vessels_betti,said_artery_px,said_vein_px,truth_artery_px,truth_vein_px,note
enrich_enrich012enrich01220210728_001,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.576860,0.661500,0.662103,0.484478,0.585935,0.591093,44.000000,116.000000,191.000000,111401,188415,174072,208631,
enrich_enrich012enrich01220210728_002,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.559683,0.635649,0.673220,0.503998,0.550187,0.615891,67.000000,94.000000,174.000000,99650,215395,164246,201760,
enrich_enrich016enrich01620210803_003,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.428897,0.589915,0.550657,0.384903,0.501230,0.482034,22.000000,74.000000,124.000000,59497,186403,171104,178358,
enrich_enrich016enrich01620210803_005,enrich,unspecified,expert,2201,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.462419,0.583779,0.560680,0.392120,0.485165,0.476500,27.000000,83.000000,149.000000,69400,174439,166304,176745,
enrich_enrich023enrich02320210812_001,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.529752,0.618685,0.647388,0.440298,0.520356,0.547998,35.000000,126.000000,198.000000,86267,164022,173647,172204,
enrich_enrich023enrich02320210812_002,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.545094,0.610620,0.629921,0.498669,0.504526,0.550228,23.000000,61.000000,110.000000,76474,135600,149054,146464,
enrich_enrich027enrich02720210818_001,enrich,unspecified,expert,2199,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.587754,0.706041,0.740217,0.557575,0.649778,0.709500,117.000000,118.000000,202.000000,136826,264417,214797,243491,
enrich_enrich030enrich03020210821_001,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.506580,0.630309,0.684232,0.415857,0.589694,0.639276,85.000000,119.000000,225.000000,99714,222984,220816,225409,
enrich_enrich030enrich03020210821_002,enrich,unspecified,expert,2199,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.567356,0.670057,0.666152,0.465474,0.597094,0.598672,56.000000,89.000000,165.000000,110226,222704,214995,214593,
enrich_enrich031enrich03120210824_001,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.563840,0.673438,0.669006,0.519097,0.575358,0.603323,70.000000,95.000000,190.000000,116320,213860,210106,227921,
enrich_enrich031enrich03120210824_002,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.556904,0.674466,0.663591,0.506649,0.627543,0.618733,61.000000,118.000000,192.000000,115118,227488,203921,245716,
enrich_enrich032enrich03220210824_001,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.614529,0.680921,0.730144,0.607618,0.645670,0.744829,74.000000,111.000000,198.000000,152435,233500,186781,198729,
enrich_enrich032enrich03220210824_002,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.617221,0.684828,0.713957,0.597568,0.623414,0.690038,57.000000,85.000000,160.000000,143216,227307,199932,202655,
enrich_enrich033enrich03320210825_001,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.558392,0.665458,0.663230,0.501198,0.603525,0.608711,71.000000,155.000000,269.000000,117427,193177,189318,191331,
enrich_enrich033enrich03320210825_007,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.530148,0.637685,0.656726,0.486858,0.609592,0.636063,62.000000,115.000000,210.000000,110320,250134,198409,213982,
enrich_enrich034enrich03420210825_001,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.587258,0.643327,0.683593,0.514839,0.575756,0.634041,65.000000,121.000000,245.000000,138822,249189,222491,226911,
enrich_enrich034enrich03420210825_003,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.662420,0.691759,0.734793,0.661495,0.635922,0.717369,49.000000,74.000000,142.000000,153200,221224,193556,202412,
enrich_enrich035enrich03520210826_001,enrich,unspecified,expert,2199,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.599922,0.698162,0.710374,0.518075,0.585504,0.642527,88.000000,161.000000,268.000000,143911,224689,235775,228507,
enrich_enrich035enrich03520210826_002,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.602722,0.706558,0.730540,0.552832,0.646354,0.677929,97.000000,121.000000,215.000000,169587,238569,227714,243645,
enrich_enrich039enrich03920210901_001,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.519058,0.637152,0.664435,0.443238,0.578390,0.629075,88.000000,127.000000,239.000000,91689,192986,193705,177020,
enrich_enrich039enrich03920210901_002,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.608400,0.671032,0.694034,0.564117,0.580815,0.643674,92.000000,105.000000,218.000000,118530,174144,188745,174799,
enrich_enrich044enrich04420210907_003,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.616227,0.703982,0.688163,0.564308,0.615698,0.620819,30.000000,70.000000,143.000000,113718,207687,191001,209852,
enrich_enrich110enrich11020220808_001,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.505963,0.676673,0.669090,0.512539,0.599777,0.640768,46.000000,59.000000,106.000000,83321,170580,177785,180538,
enrich_enrich113enrich11320220826_001,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.554585,0.683851,0.669997,0.495947,0.601713,0.604058,41.000000,80.000000,151.000000,99896,173026,174980,186763,
enrich_enrich113enrich11320220826_002,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.344055,0.559715,0.493774,0.294072,0.436994,0.394831,44.000000,64.000000,142.000000,43365,171581,163515,186576,
enrich_enrich125enrich12520221114_001,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.053460,0.446154,0.304560,0.055330,0.352308,0.247836,25.000000,79.000000,147.000000,6227,124998,206941,209676,
enrich_enrich129enrich12920221118_002,enrich,unspecified,expert,2198,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.204782,0.581728,0.456445,0.176299,0.468913,0.364737,26.000000,59.000000,111.000000,22866,151039,171917,179067,
enrich_enrich133enrich13320230118_001,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.513958,0.594872,0.658935,0.455940,0.534560,0.622218,61.000000,112.000000,184.000000,112719,205800,181021,193375,
enrich_enrich133enrich13320230118_002,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.452361,0.585291,0.606383,0.436401,0.550070,0.599608,30.000000,98.000000,128.000000,88710,159599,162072,152557,
enrich_enrich135enrich13520230201_002,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.263556,0.560177,0.465269,0.294855,0.465477,0.419150,28.000000,50.000000,116.000000,24810,120226,143306,152002,
enrich_enrich136enrich13620230210_002,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.494569,0.595144,0.637582,0.480017,0.600886,0.651758,36.000000,50.000000,104.000000,76852,152722,132947,144117,
enrich_enrich137enrich13720230216_002,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.441459,0.648270,0.610078,0.426385,0.591847,0.584054,37.000000,108.000000,156.000000,67667,169001,178408,154460,
enrich_enrich138enrich13820230217_002,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.447633,0.564309,0.591520,0.352756,0.459367,0.508494,40.000000,77.000000,145.000000,62478,188146,148123,165816,
enrich_enrich139enrich13920230217_002,enrich,unspecified,expert,2198,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.430050,0.525591,0.536919,0.393786,0.438956,0.473382,21.000000,83.000000,119.000000,58264,169559,141671,168118,
enrich_enrich140enrich14020230222_001,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.169868,0.364042,0.339236,0.159916,0.301306,0.307048,40.000000,79.000000,181.000000,27034,137850,184954,233052,
enrich_enrich141enrich14120230223_005,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.272999,0.541120,0.507059,0.213008,0.460571,0.440701,24.000000,64.000000,115.000000,28247,191873,143629,179904,
enrich_enrich143enrich14320230302_003,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.134720,0.487871,0.392553,0.109561,0.370627,0.301919,25.000000,62.000000,129.000000,13460,156085,149768,166205,
enrich_enrich144enrich14420230315_004,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.488751,0.608296,0.590735,0.448107,0.531018,0.537338,39.000000,59.000000,107.000000,70112,200736,159469,188532,
enrich_enrich147enrich14720230420_004,enrich,unspecified,expert,2199,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.483614,0.607497,0.600382,0.428336,0.494309,0.527974,37.000000,49.000000,126.000000,80343,128746,154274,147960,
enrich_enrich150enrich15020230511_002,enrich,unspecified,expert,2201,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.682908,0.724183,0.752994,0.661029,0.719815,0.745971,102.000000,106.000000,224.000000,210157,271531,217593,233742,
enrich_enrich151enrich15120230526_003,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.093833,0.308637,0.230757,0.067731,0.289063,0.201158,21.000000,68.000000,113.000000,10736,103150,178324,172669,
enrich_enrich153enrich15320230602_005,enrich,unspecified,expert,2201,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.215917,0.504728,0.425792,0.182266,0.438611,0.367463,12.000000,31.000000,58.000000,23792,127588,160640,152135,
enrich_enrich154enrich15420230607_005,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.366257,0.683036,0.601452,0.348254,0.596329,0.529369,50.000000,60.000000,141.000000,49705,156777,150515,180318,
enrich_enrich155enrich15520230621_004,enrich,unspecified,expert,2199,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.476120,0.574999,0.570742,0.436518,0.498488,0.521140,44.000000,103.000000,173.000000,84371,196507,196424,184725,
enrich_enrich157enrich15720230623_005,enrich,unspecified,expert,2198,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.079621,0.258239,0.200652,0.095382,0.216093,0.176252,16.000000,50.000000,115.000000,9598,106853,159854,203697,
enrich_enrich5enrich520210720_001,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.619168,0.705097,0.736110,0.584616,0.686654,0.720483,116.000000,121.000000,237.000000,162140,273010,204633,241753,
enrich_enrich5enrich520210720_002,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.527716,0.622864,0.642177,0.504147,0.524895,0.597047,220.000000,98.000000,333.000000,125965,188264,200881,227557,
enrich_enrich6enrich620210720_001,enrich,unspecified,expert,2198,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.567540,0.672634,0.654366,0.511228,0.614367,0.601591,60.000000,108.000000,174.000000,99018,194851,173449,195025,
enrich_enrich7enrich720210720_001,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.532319,0.659050,0.656645,0.421666,0.567147,0.572820,98.000000,95.000000,206.000000,121176,216112,213488,205255,
enrich_enrich7enrich720210720_003,enrich,unspecified,expert,2201,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.510416,0.608988,0.632639,0.434592,0.513451,0.558924,81.000000,134.000000,243.000000,99465,239435,215184,198015,
enrich_les047enrich04620210908_002,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.397827,0.644484,0.613765,0.365107,0.589700,0.572469,83.000000,133.000000,238.000000,69879,190150,194864,207973,
enrich_les285enrich13120230111_002,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.407386,0.613118,0.582719,0.366776,0.557679,0.530652,25.000000,69.000000,102.000000,53044,169052,132755,168612,
enrich_les285enrich13120230111_005,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.450194,0.653757,0.648261,0.364085,0.588581,0.585552,20.000000,107.000000,164.000000,64487,207872,140296,195180,
enrich_les313enrich08320220103_001,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.079406,0.317284,0.244852,0.082488,0.292768,0.232988,29.000000,66.000000,117.000000,9987,83481,153401,187998,
