key,subset,split,reader,native_side,outcome,resampling,artery_dice,artery_cldice,vein_dice,vein_cldice,vessels_dice,vessels_cldice,said_artery_px,said_vein_px,truth_artery_px,truth_vein_px,note
test_007_n,square,test,expert,1280,graded,"probabilities to native, bilinear, then thresholded",0.801224,0.824185,0.753899,0.785906,0.875213,0.922057,69107,62462,82798,66367,
test_016_n,square,test,expert,1274,graded,"probabilities to native, bilinear, then thresholded",0.766549,0.751021,0.823417,0.813970,0.853470,0.872572,72716,82807,82867,90177,
test_018_n,large,test,expert,2093,graded,"probabilities to native, bilinear, then thresholded",0.828067,0.834609,0.824658,0.806063,0.865020,0.880729,161204,185775,181901,223723,
test_022_n,square,test,expert,1274,graded,"probabilities to native, bilinear, then thresholded",0.830598,0.861562,0.818293,0.852451,0.849731,0.903760,64806,69116,78970,90047,
test_024_n,square,test,expert,1274,graded,"probabilities to native, bilinear, then thresholded",0.776616,0.796490,0.780792,0.805325,0.861023,0.898906,68297,71953,65043,94478,
test_027_g,large,test,expert,2094,graded,"probabilities to native, bilinear, then thresholded",0.853068,0.898789,0.869300,0.883364,0.874327,0.908869,146647,154027,182722,185094,
test_035_a,square,test,expert,1275,graded,"probabilities to native, bilinear, then thresholded",0.848247,0.866878,0.853174,0.876964,0.890386,0.927966,70060,67851,75334,82967,
test_040_g,square,test,expert,1277,graded,"probabilities to native, bilinear, then thresholded",0.784406,0.832805,0.794941,0.839869,0.844485,0.921786,62135,67886,68124,96023,
test_044_n,square,test,expert,1280,graded,"probabilities to native, bilinear, then thresholded",0.780458,0.835736,0.816067,0.874323,0.842758,0.928481,58195,66556,74768,87250,
test_047_a,square,test,expert,1275,graded,"probabilities to native, bilinear, then thresholded",0.852240,0.895546,0.862330,0.908107,0.883336,0.947638,60406,71018,70374,82981,
test_048_d,large,test,expert,2093,graded,"probabilities to native, bilinear, then thresholded",0.801850,0.779122,0.857280,0.862602,0.887084,0.904240,154358,200802,153827,243151,
test_052_n,square,test,expert,1279,graded,"probabilities to native, bilinear, then thresholded",0.796149,0.846872,0.807752,0.837807,0.855348,0.920837,52329,55827,60160,75810,
test_064_d,square,test,expert,1280,graded,"probabilities to native, bilinear, then thresholded",0.837852,0.901369,0.848951,0.894252,0.880279,0.944115,65081,73459,78097,84788,
test_074_n,square,test,expert,1280,graded,"probabilities to native, bilinear, then thresholded",0.830559,0.842435,0.830499,0.840325,0.897021,0.940329,66186,65768,70534,78379,
test_077_g,square,test,expert,1280,graded,"probabilities to native, bilinear, then thresholded",0.757218,0.820761,0.796474,0.853332,0.844908,0.929466,51722,61746,64176,82226,
