key,subset,split,reader,native_side,outcome,resampling,artery_dice,artery_cldice,vein_dice,vein_cldice,vessels_dice,vessels_cldice,said_artery_px,said_vein_px,truth_artery_px,truth_vein_px,note
01_dr,main,unspecified,expert,3271,graded,"probabilities to native, bilinear, then thresholded",0.542038,0.598962,0.710688,0.695889,0.686001,0.716076,268027,363652,159570,290438,
01_g,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, then thresholded",0.665525,0.690801,0.704463,0.680904,0.742935,0.757288,373333,336860,258448,302657,
01_h,main,unspecified,expert,3270,graded,"probabilities to native, bilinear, then thresholded",0.714643,0.679154,0.715695,0.712621,0.813551,0.813900,393279,354251,418287,435412,
02_dr,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, then thresholded",0.665979,0.707032,0.757620,0.742584,0.755600,0.785997,296746,364978,230886,321377,
02_g,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, then thresholded",0.702133,0.655806,0.717029,0.652502,0.778724,0.769255,388788,338715,309077,321864,
02_h,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, then thresholded",0.667156,0.685453,0.651331,0.669748,0.860606,0.900787,425732,339206,380613,436443,
03_dr,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, then thresholded",0.650665,0.675753,0.713221,0.646345,0.771686,0.781911,322986,271337,225133,294182,
03_g,main,unspecified,expert,3271,graded,"probabilities to native, bilinear, then thresholded",0.695024,0.735272,0.739458,0.698100,0.764287,0.782681,284212,299330,228326,272621,
03_h,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, then thresholded",0.726980,0.768732,0.725504,0.765509,0.808305,0.862722,393468,328865,441215,472057,
04_dr,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, then thresholded",0.681552,0.658961,0.769736,0.692373,0.774597,0.747644,257451,294841,204348,275783,
04_g,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, then thresholded",0.689114,0.710859,0.758189,0.731820,0.773040,0.790980,290567,321561,258254,303249,
04_h,main,unspecified,expert,3270,graded,"probabilities to native, bilinear, then thresholded",0.738080,0.772381,0.709289,0.743201,0.836731,0.871135,407027,303364,381641,406034,
05_dr,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, then thresholded",0.672368,0.727837,0.719867,0.752657,0.757451,0.804052,372933,315181,254640,269071,
05_g,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, then thresholded",0.706860,0.725797,0.732171,0.693843,0.791457,0.802614,355150,309723,273195,298965,
05_h,main,unspecified,expert,3270,graded,"probabilities to native, bilinear, then thresholded",0.767732,0.773203,0.778407,0.793359,0.848091,0.884404,340240,363111,353658,423629,
06_dr,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, then thresholded",0.396063,0.348790,0.393621,0.377763,0.704455,0.660439,385243,235462,344904,391614,
06_g,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, then thresholded",0.631537,0.622806,0.640768,0.633650,0.789630,0.800891,381306,309892,298471,298606,
06_h,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, then thresholded",0.801402,0.808373,0.795305,0.790085,0.853196,0.870755,415725,388104,432192,459852,
07_dr,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, then thresholded",0.703529,0.733909,0.732142,0.724354,0.774564,0.809574,400131,397456,331978,348301,
07_g,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, then thresholded",0.682821,0.691808,0.747339,0.702104,0.780746,0.783313,313574,316379,270040,312080,
07_h,main,unspecified,expert,3270,graded,"probabilities to native, bilinear, then thresholded",0.726024,0.739407,0.699647,0.759547,0.846274,0.883278,384540,315521,380691,394043,
08_dr,main,unspecified,expert,3267,graded,"probabilities to native, bilinear, then thresholded",0.675122,0.694495,0.735721,0.681909,0.774901,0.794012,358812,377224,296492,365438,
08_g,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, then thresholded",0.679457,0.697450,0.742017,0.693891,0.782967,0.798440,320793,350431,264283,326812,
08_h,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, then thresholded",0.719340,0.691253,0.673381,0.682187,0.843397,0.853031,421647,320408,416444,461791,
09_dr,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, then thresholded",0.559429,0.587602,0.689887,0.660657,0.739660,0.759751,297974,316052,246245,364894,
09_g,main,unspecified,expert,3271,graded,"probabilities to native, bilinear, then thresholded",0.701839,0.710159,0.754113,0.760167,0.772823,0.799370,303926,360842,261999,313158,
09_h,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, then thresholded",0.713181,0.690697,0.743024,0.731844,0.814743,0.819890,262006,302383,305900,386669,
10_dr,main,unspecified,expert,3267,graded,"probabilities to native, bilinear, then thresholded",0.689600,0.717502,0.749429,0.739353,0.777122,0.812032,408034,425682,367746,395188,
