key,subset,split,reader,native_side,outcome,resampling,artery_dice,vein_dice,vessels_dice,artery_cldice,vein_cldice,vessels_cldice,artery_betti,vein_betti,vessels_betti,said_artery_px,said_vein_px,truth_artery_px,truth_vein_px,note
enrich_enrich012enrich01220210728_001,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.859828,0.896136,0.891351,0.808698,0.861002,0.857049,26.000000,26.000000,67.000000,150044,185260,174072,208631,
enrich_enrich012enrich01220210728_002,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.895276,0.902485,0.906182,0.856721,0.859212,0.872416,33.000000,19.000000,61.000000,149072,179629,164246,201760,
enrich_enrich016enrich01620210803_003,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.908366,0.900263,0.910425,0.871672,0.829258,0.858849,22.000000,18.000000,58.000000,156385,156542,171104,178358,
enrich_enrich016enrich01620210803_005,enrich,unspecified,expert,2201,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.891065,0.884041,0.899474,0.840155,0.810926,0.847552,12.000000,35.000000,62.000000,153576,155837,166304,176745,
enrich_enrich023enrich02320210812_001,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.876435,0.900963,0.902147,0.817897,0.868539,0.870437,29.000000,45.000000,91.000000,151121,159914,173647,172204,
enrich_enrich023enrich02320210812_002,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.915819,0.894333,0.924314,0.915025,0.869071,0.929616,9.000000,19.000000,47.000000,141619,146391,149054,146464,
enrich_enrich027enrich02720210818_001,enrich,unspecified,expert,2199,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.924898,0.927555,0.933723,0.898599,0.885846,0.908745,31.000000,24.000000,54.000000,202194,229061,214797,243491,
enrich_enrich030enrich03020210821_001,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.899506,0.899361,0.923779,0.858811,0.873129,0.911878,47.000000,38.000000,76.000000,206941,213209,220816,225409,
enrich_enrich030enrich03020210821_002,enrich,unspecified,expert,2199,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.899962,0.894791,0.914695,0.864832,0.863955,0.889784,28.000000,24.000000,55.000000,202587,188967,214995,214593,
enrich_enrich031enrich03120210824_001,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.904652,0.893350,0.910450,0.858201,0.829136,0.869068,30.000000,22.000000,68.000000,195935,200903,210106,227921,
