key,subset,split,reader,native_side,outcome,resampling,artery_dice,artery_cldice,vein_dice,vein_cldice,vessels_dice,vessels_cldice,said_artery_px,said_vein_px,truth_artery_px,truth_vein_px,note
im000001,main,unspecified,expert,1063,graded,"probabilities to native, bilinear, then thresholded",0.753146,0.871594,0.753415,0.837289,0.762776,0.866876,58254,60575,79544,79194,
im000004,main,unspecified,expert,1056,graded,"probabilities to native, bilinear, then thresholded",0.745777,0.827224,0.760981,0.817558,0.768982,0.846619,49256,57848,47360,50859,
im000023,main,unspecified,expert,1068,graded,"probabilities to native, bilinear, then thresholded",0.608469,0.614157,0.672742,0.684930,0.689974,0.717617,24110,41920,28343,42249,
im000024,main,unspecified,expert,1062,graded,"probabilities to native, bilinear, then thresholded",0.668164,0.713929,0.627582,0.631955,0.701501,0.731052,31954,45659,32590,52674,
im000135,main,unspecified,expert,1057,graded,"probabilities to native, bilinear, then thresholded",0.689774,0.707737,0.742770,0.757895,0.741447,0.766535,58527,73399,84720,87049,
im000136,main,unspecified,expert,1065,graded,"probabilities to native, bilinear, then thresholded",0.763195,0.895169,0.749730,0.853848,0.768696,0.887690,58926,71568,80653,95855,
im000167,main,unspecified,expert,1064,graded,"probabilities to native, bilinear, then thresholded",0.772289,0.864126,0.737561,0.812631,0.766435,0.845943,46367,53554,51226,64142,
im000168,main,unspecified,expert,1066,graded,"probabilities to native, bilinear, then thresholded",0.669396,0.706891,0.707165,0.731851,0.764907,0.828233,55534,59877,65623,65972,
im000189,main,unspecified,expert,1057,graded,"probabilities to native, bilinear, then thresholded",0.724502,0.773783,0.711316,0.724423,0.739133,0.773769,42883,68734,53448,80980,
im000209,main,unspecified,expert,1065,graded,"probabilities to native, bilinear, then thresholded",0.715226,0.764124,0.774785,0.856305,0.761981,0.832831,27243,53302,37036,58107,
im000210,main,unspecified,expert,1066,graded,"probabilities to native, bilinear, then thresholded",0.617951,0.689719,0.750220,0.808971,0.720898,0.788155,30869,59350,47901,77178,
im000333,main,unspecified,expert,1060,graded,"probabilities to native, bilinear, then thresholded",0.702471,0.770033,0.690560,0.731019,0.735266,0.793702,37056,61001,38950,91875,
im000389,main,unspecified,expert,1058,graded,"probabilities to native, bilinear, then thresholded",0.677411,0.706609,0.685647,0.720369,0.720581,0.770224,33377,49314,38538,71194,
im000390,main,unspecified,expert,1056,graded,"probabilities to native, bilinear, then thresholded",0.689105,0.740618,0.728181,0.796476,0.738175,0.814930,44639,61190,55726,78204,
im000678,main,unspecified,expert,1062,graded,"probabilities to native, bilinear, then thresholded",0.723813,0.807649,0.742181,0.785620,0.744495,0.805179,36055,54022,40719,62750,
im000679,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, then thresholded",0.569984,0.614634,0.679833,0.708992,0.686356,0.748794,36236,53182,49970,59331,
im000715,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, then thresholded",0.619911,0.699697,0.754432,0.798407,0.722857,0.782510,22631,58764,27131,48233,
im000716,main,unspecified,expert,1057,graded,"probabilities to native, bilinear, then thresholded",0.531609,0.543509,0.651624,0.686950,0.650396,0.690607,17451,50616,25543,43739,
im000938,main,unspecified,expert,1065,graded,"probabilities to native, bilinear, then thresholded",0.665823,0.690130,0.655767,0.698303,0.683272,0.727929,24453,38273,31679,51457,
im001031,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, then thresholded",0.599032,0.735996,0.720574,0.758530,0.709407,0.792002,28885,48028,43612,58179,
im001032,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, then thresholded",0.599032,0.735996,0.720574,0.758530,0.709407,0.792002,28885,48028,43612,58179,
im001034,main,unspecified,expert,1069,graded,"probabilities to native, bilinear, then thresholded",0.362398,0.438070,0.630408,0.688712,0.592445,0.685171,17043,30571,34210,48657,
im001069,main,unspecified,expert,1060,graded,"probabilities to native, bilinear, then thresholded",0.719974,0.776318,0.744622,0.801020,0.742894,0.805083,40740,44203,53619,59643,
im001070,main,unspecified,expert,1062,graded,"probabilities to native, bilinear, then thresholded",0.638645,0.703999,0.695699,0.727456,0.702034,0.765479,36467,47951,56674,66360,
