key,subset,split,reader,native_side,outcome,resampling,artery_dice,vein_dice,vessels_dice,artery_cldice,vein_cldice,vessels_cldice,artery_betti,vein_betti,vessels_betti,said_artery_px,said_vein_px,truth_artery_px,truth_vein_px,note
01_dr,main,unspecified,expert,3271,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.586557,0.734401,0.700604,0.629588,0.715040,0.700599,829.000000,1078.000000,1613.000000,222920,362772,159570,290438,
01_g,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.722811,0.752750,0.755543,0.721691,0.728426,0.741457,668.000000,1241.000000,1716.000000,310993,346714,258448,302657,
01_h,main,unspecified,expert,3270,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.794751,0.809910,0.817821,0.771223,0.810058,0.808554,122.000000,111.000000,208.000000,336354,360111,418287,435412,
02_dr,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.710817,0.779052,0.768515,0.730776,0.753183,0.772043,322.000000,513.000000,710.000000,256238,353312,230886,321377,
02_g,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.769421,0.770631,0.789044,0.714612,0.715653,0.746955,849.000000,560.000000,1072.000000,337134,337733,309077,321864,
02_h,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.834831,0.854685,0.864773,0.873760,0.880009,0.901168,110.000000,112.000000,185.000000,332973,396643,380613,436443,
03_dr,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.740483,0.786381,0.787314,0.741262,0.751901,0.783611,175.000000,319.000000,438.000000,247672,320039,225133,294182,
03_g,main,unspecified,expert,3271,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.735761,0.762198,0.769739,0.751011,0.710954,0.756931,425.000000,477.000000,687.000000,244213,297281,228326,272621,
03_h,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.766444,0.799089,0.813121,0.822650,0.845487,0.864247,111.000000,115.000000,183.000000,330518,369994,441215,472057,
04_dr,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.733043,0.796786,0.787829,0.695134,0.746292,0.748573,742.000000,650.000000,1181.000000,219278,305786,204348,275783,
04_g,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.734698,0.792743,0.786129,0.737745,0.753852,0.773131,115.000000,101.000000,225.000000,254705,309855,258254,303249,
04_h,main,unspecified,expert,3270,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.828851,0.834179,0.852154,0.863107,0.859620,0.880262,113.000000,150.000000,231.000000,329592,361947,381641,406034,
05_dr,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.731514,0.774926,0.768794,0.761105,0.789155,0.798672,369.000000,320.000000,570.000000,325354,339351,254640,269071,
05_g,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.763760,0.795276,0.798399,0.773524,0.738312,0.788504,342.000000,392.000000,477.000000,311690,324884,273195,298965,
05_h,main,unspecified,expert,3270,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.813197,0.829291,0.844212,0.825362,0.839913,0.859077,89.000000,137.000000,213.000000,301379,359196,353658,423629,
06_dr,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.581045,0.663654,0.701659,0.423884,0.524220,0.595723,435.000000,427.000000,671.000000,206675,303387,344904,391614,
06_g,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.769046,0.791452,0.800787,0.751581,0.764946,0.789290,286.000000,305.000000,403.000000,318106,322541,298471,298606,
06_h,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.818165,0.837695,0.853133,0.824148,0.836767,0.855635,106.000000,102.000000,229.000000,362249,387082,432192,459852,
07_dr,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.740752,0.763674,0.779140,0.772636,0.769389,0.800473,116.000000,170.000000,249.000000,372028,389975,331978,348301,
07_g,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.728889,0.791622,0.794920,0.706213,0.739948,0.766475,544.000000,409.000000,715.000000,254912,311958,270040,312080,
07_h,main,unspecified,expert,3270,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.828180,0.849614,0.857990,0.838526,0.874072,0.880506,91.000000,95.000000,187.000000,327962,349951,380691,394043,
08_dr,main,unspecified,expert,3267,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.717922,0.769546,0.771360,0.733354,0.746694,0.781803,235.000000,219.000000,371.000000,317112,399444,296492,365438,
08_g,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.742887,0.794180,0.794549,0.742376,0.759455,0.778630,351.000000,216.000000,552.000000,261350,337952,264283,326812,
08_h,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.830993,0.839583,0.856822,0.822678,0.828651,0.854502,83.000000,95.000000,173.000000,349618,381804,416444,461791,
09_dr,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.627841,0.753893,0.740568,0.643673,0.741629,0.746044,120.000000,151.000000,218.000000,206325,352462,246245,364894,
09_g,main,unspecified,expert,3271,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.745871,0.785149,0.786586,0.737520,0.786748,0.790063,273.000000,257.000000,402.000000,271026,349863,261999,313158,
09_h,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.753029,0.816380,0.820300,0.745538,0.798434,0.815622,98.000000,113.000000,215.000000,226382,315220,305900,386669,
10_dr,main,unspecified,expert,3267,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.738585,0.781670,0.783376,0.767357,0.792738,0.804784,102.000000,110.000000,214.000000,364836,425230,367746,395188,
10_g,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.755499,0.783378,0.782069,0.773939,0.789923,0.799374,126.000000,159.000000,231.000000,277135,351032,250257,290063,
10_h,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.769096,0.795458,0.825557,0.730424,0.755781,0.800181,107.000000,122.000000,225.000000,269369,313814,367116,416535,
11_dr,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.758828,0.796999,0.800213,0.765746,0.785499,0.809066,135.000000,136.000000,237.000000,363549,405702,353923,382179,
11_g,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.745931,0.784091,0.789622,0.733885,0.764832,0.777127,131.000000,155.000000,266.000000,315824,325871,332464,337205,
11_h,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.833928,0.850690,0.865081,0.866670,0.885440,0.900876,90.000000,102.000000,185.000000,345375,382245,401980,419932,
12_dr,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.690973,0.751610,0.759578,0.651388,0.683855,0.738785,279.000000,323.000000,443.000000,271153,345873,272848,342157,
12_g,main,unspecified,expert,3270,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.759501,0.782181,0.792271,0.726124,0.757313,0.767282,102.000000,159.000000,269.000000,349550,353139,366209,356403,
12_h,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.816359,0.857626,0.864071,0.838102,0.888840,0.894870,139.000000,87.000000,221.000000,354559,422274,441111,482104,
13_dr,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.726738,0.784947,0.781220,0.717766,0.768630,0.783781,133.000000,131.000000,212.000000,287480,380109,260767,339639,
13_g,main,unspecified,expert,3270,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.730278,0.752617,0.761748,0.741983,0.743706,0.764206,166.000000,175.000000,305.000000,258254,322825,255701,315614,
13_h,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.832622,0.837736,0.859068,0.871593,0.878551,0.905942,89.000000,97.000000,185.000000,354569,368775,384652,378028,
14_dr,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.647728,0.727285,0.753167,0.586651,0.644530,0.723451,300.000000,258.000000,413.000000,273394,359867,352566,393018,
14_g,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.695285,0.742385,0.745832,0.691677,0.690116,0.725058,149.000000,193.000000,263.000000,265244,298376,287551,319209,
14_h,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.810868,0.825571,0.838811,0.856680,0.861830,0.882644,113.000000,113.000000,202.000000,354241,362867,385581,376144,
