key,subset,split,reader,native_side,outcome,resampling,artery_dice,vein_dice,vessels_dice,artery_cldice,vein_cldice,vessels_cldice,artery_betti,vein_betti,vessels_betti,said_artery_px,said_vein_px,truth_artery_px,truth_vein_px,note
enrich_enrich012enrich01220210728_001,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.850811,0.886923,0.875282,0.826377,0.885521,0.863127,58.000000,65.000000,137.000000,158627,199612,174072,208631,
enrich_enrich012enrich01220210728_002,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.877428,0.888572,0.888061,0.865158,0.869370,0.874278,67.000000,68.000000,143.000000,159785,189900,164246,201760,
enrich_enrich016enrich01620210803_003,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.891100,0.887263,0.892408,0.879906,0.842934,0.865423,38.000000,32.000000,83.000000,165911,170862,171104,178358,
enrich_enrich016enrich01620210803_005,enrich,unspecified,expert,2201,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.880815,0.876097,0.884863,0.862439,0.837283,0.858345,29.000000,56.000000,95.000000,162966,169390,166304,176745,
enrich_enrich023enrich02320210812_001,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.872459,0.900673,0.890443,0.848158,0.902133,0.880282,57.000000,69.000000,146.000000,164221,169123,173647,172204,
enrich_enrich023enrich02320210812_002,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.899592,0.893504,0.904427,0.936827,0.889379,0.924779,27.000000,42.000000,88.000000,148930,146186,149054,146464,
enrich_enrich027enrich02720210818_001,enrich,unspecified,expert,2199,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.902143,0.907684,0.909477,0.903939,0.885405,0.902654,61.000000,48.000000,114.000000,219498,245340,214797,243491,
enrich_enrich030enrich03020210821_001,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.889406,0.892044,0.901235,0.879595,0.898671,0.905541,46.000000,50.000000,100.000000,224380,234149,220816,225409,
enrich_enrich030enrich03020210821_002,enrich,unspecified,expert,2199,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.896592,0.894107,0.900832,0.896293,0.888479,0.897513,35.000000,46.000000,88.000000,214625,207428,214995,214593,
enrich_enrich031enrich03120210824_001,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.893081,0.883458,0.896404,0.884553,0.849925,0.885003,37.000000,57.000000,113.000000,211128,212469,210106,227921,
