key,subset,split,reader,native_side,outcome,resampling,artery_dice,vein_dice,vessels_dice,artery_cldice,vein_cldice,vessels_cldice,said_artery_px,said_vein_px,truth_artery_px,truth_vein_px,note
im000001,main,unspecified,expert,1063,graded,"probabilities to native, bilinear, then thresholded",,,0.746375,,,0.831805,0,0,79544,79194,
im000004,main,unspecified,expert,1056,graded,"probabilities to native, bilinear, then thresholded",,,0.762918,,,0.803154,0,0,47360,50859,
im000023,main,unspecified,expert,1068,graded,"probabilities to native, bilinear, then thresholded",,,0.676786,,,0.653336,0,0,28343,42249,
im000024,main,unspecified,expert,1062,graded,"probabilities to native, bilinear, then thresholded",,,0.696706,,,0.697504,0,0,32590,52674,
im000135,main,unspecified,expert,1057,graded,"probabilities to native, bilinear, then thresholded",,,0.745970,,,0.759102,0,0,84720,87049,
im000136,main,unspecified,expert,1065,graded,"probabilities to native, bilinear, then thresholded",,,0.761615,,,0.860594,0,0,80653,95855,
im000167,main,unspecified,expert,1064,graded,"probabilities to native, bilinear, then thresholded",,,0.761467,,,0.805227,0,0,51226,64142,
im000168,main,unspecified,expert,1066,graded,"probabilities to native, bilinear, then thresholded",,,0.770742,,,0.810015,0,0,65623,65972,
im000189,main,unspecified,expert,1057,graded,"probabilities to native, bilinear, then thresholded",,,0.732308,,,0.749738,0,0,53448,80980,
im000209,main,unspecified,expert,1065,graded,"probabilities to native, bilinear, then thresholded",,,0.764154,,,0.804635,0,0,37036,58107,
im000210,main,unspecified,expert,1066,graded,"probabilities to native, bilinear, then thresholded",,,0.747202,,,0.794975,0,0,47901,77178,
im000333,main,unspecified,expert,1060,graded,"probabilities to native, bilinear, then thresholded",,,0.730469,,,0.767287,0,0,38950,91875,
im000389,main,unspecified,expert,1058,graded,"probabilities to native, bilinear, then thresholded",,,0.721343,,,0.756912,0,0,38538,71194,
im000390,main,unspecified,expert,1056,graded,"probabilities to native, bilinear, then thresholded",,,0.731612,,,0.790732,0,0,55726,78204,
im000678,main,unspecified,expert,1062,graded,"probabilities to native, bilinear, then thresholded",,,0.744561,,,0.783869,0,0,40719,62750,
im000679,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, then thresholded",,,0.691670,,,0.732309,0,0,49970,59331,
im000715,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, then thresholded",,,0.687046,,,0.692825,0,0,27131,48233,
im000716,main,unspecified,expert,1057,graded,"probabilities to native, bilinear, then thresholded",,,0.649947,,,0.667062,0,0,25543,43739,
im000938,main,unspecified,expert,1065,graded,"probabilities to native, bilinear, then thresholded",,,0.689648,,,0.690347,0,0,31679,51457,
im001031,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, then thresholded",,,0.696548,,,0.744342,0,0,43612,58179,
im001032,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, then thresholded",,,0.696548,,,0.744342,0,0,43612,58179,
im001034,main,unspecified,expert,1069,graded,"probabilities to native, bilinear, then thresholded",,,0.586655,,,0.612957,0,0,34210,48657,
im001069,main,unspecified,expert,1060,graded,"probabilities to native, bilinear, then thresholded",,,0.733934,,,0.765305,0,0,53619,59643,
im001070,main,unspecified,expert,1062,graded,"probabilities to native, bilinear, then thresholded",,,0.699970,,,0.766153,0,0,56674,66360,
im001096,main,unspecified,expert,1057,graded,"probabilities to native, bilinear, then thresholded",,,0.740017,,,0.777728,0,0,72356,71567,
im001097,main,unspecified,expert,1059,graded,"probabilities to native, bilinear, then thresholded",,,0.760523,,,0.798158,0,0,66569,62518,
im001126,main,unspecified,expert,1062,graded,"probabilities to native, bilinear, then thresholded",,,0.714634,,,0.735663,0,0,48762,68316,
im001127,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, then thresholded",,,0.700266,,,0.729964,0,0,41918,64936,
im001154,main,unspecified,expert,1062,graded,"probabilities to native, bilinear, then thresholded",,,0.752732,,,0.800973,0,0,58680,74945,
im001155,main,unspecified,expert,1065,graded,"probabilities to native, bilinear, then thresholded",,,0.745924,,,0.812516,0,0,62228,65642,
im001192,main,unspecified,expert,1056,graded,"probabilities to native, bilinear, then thresholded",,,0.694626,,,0.767924,0,0,91341,84185,
im001193,main,unspecified,expert,1057,graded,"probabilities to native, bilinear, then thresholded",,,0.687181,,,0.750912,0,0,84812,101971,
im001218,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, then thresholded",,,0.758193,,,0.818052,0,0,73663,111665,
im001219,main,unspecified,expert,1063,graded,"probabilities to native, bilinear, then thresholded",,,0.768397,,,0.830252,0,0,74973,94492,
im001246,main,unspecified,expert,1060,graded,"probabilities to native, bilinear, then thresholded",,,0.721520,,,0.739636,0,0,61664,67394,
im001686,main,unspecified,expert,1064,graded,"probabilities to native, bilinear, then thresholded",,,0.745558,,,0.796987,0,0,50573,64428,
im001749,main,unspecified,expert,1062,graded,"probabilities to native, bilinear, then thresholded",,,0.755296,,,0.802680,0,0,73211,88353,
im001750,main,unspecified,expert,1066,graded,"probabilities to native, bilinear, then thresholded",,,0.724352,,,0.756751,0,0,71901,80526,
im001791,main,unspecified,expert,1064,graded,"probabilities to native, bilinear, then thresholded",,,0.770770,,,0.822754,0,0,71664,73848,
im001792,main,unspecified,expert,1067,graded,"probabilities to native, bilinear, then thresholded",,,0.765758,,,0.800239,0,0,55988,88097,
