key,subset,split,reader,native_side,outcome,resampling,artery_dice,vein_dice,vessels_dice,artery_cldice,vein_cldice,vessels_cldice,artery_betti,vein_betti,vessels_betti,said_artery_px,said_vein_px,truth_artery_px,truth_vein_px,note
im000001,main,unspecified,expert,1063,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.542404,0.621086,0.611722,0.679425,0.688243,0.725696,68.000000,83.000000,179.000000,32675,40638,79544,79194,
im000004,main,unspecified,expert,1056,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.605349,0.681972,0.704517,0.640964,0.684858,0.745142,84.000000,86.000000,190.000000,26485,41224,47360,50859,
im000023,main,unspecified,expert,1068,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.534129,0.598650,0.616415,0.513500,0.582752,0.619256,28.000000,66.000000,97.000000,16882,27949,28343,42249,
im000024,main,unspecified,expert,1062,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.564872,0.554529,0.630820,0.566993,0.533989,0.631100,55.000000,87.000000,158.000000,20052,30896,32590,52674,
im000135,main,unspecified,expert,1057,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.503320,0.552748,0.588357,0.507865,0.596617,0.625685,128.000000,132.000000,322.000000,35144,46596,84720,87049,
im000136,main,unspecified,expert,1065,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.546528,0.571005,0.594011,0.679304,0.679191,0.726831,113.000000,130.000000,272.000000,33482,42585,80653,95855,
im000167,main,unspecified,expert,1064,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.608960,0.582137,0.634049,0.692245,0.636661,0.709914,98.000000,111.000000,237.000000,25518,34048,51226,64142,
im000168,main,unspecified,expert,1066,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.501693,0.576497,0.643113,0.529040,0.576279,0.697952,91.000000,107.000000,234.000000,28905,40974,65623,65972,
im000189,main,unspecified,expert,1057,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.578543,0.634711,0.654607,0.611386,0.606965,0.669204,73.000000,84.000000,178.000000,30169,48824,53448,80980,
im000209,main,unspecified,expert,1065,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.622275,0.662098,0.682053,0.668430,0.732659,0.753021,88.000000,86.000000,184.000000,22224,36885,37036,58107,
im000210,main,unspecified,expert,1066,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.484337,0.623063,0.630784,0.542275,0.669433,0.691899,86.000000,105.000000,208.000000,24594,39067,47901,77178,
im000333,main,unspecified,expert,1060,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.550273,0.523012,0.619053,0.598171,0.563094,0.674463,66.000000,72.000000,164.000000,29198,35927,38950,91875,
im000389,main,unspecified,expert,1058,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.576832,0.586984,0.621502,0.605451,0.632006,0.677683,52.000000,87.000000,157.000000,20890,35027,38538,71194,
im000390,main,unspecified,expert,1056,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.516725,0.589198,0.608313,0.557965,0.633531,0.677177,67.000000,96.000000,182.000000,26515,39607,55726,78204,
im000678,main,unspecified,expert,1062,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.597189,0.652656,0.656364,0.658889,0.658877,0.694205,55.000000,43.000000,113.000000,23753,37364,40719,62750,
im000679,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.403530,0.563942,0.567401,0.438549,0.562371,0.605022,93.000000,97.000000,191.000000,21990,37952,49970,59331,
im000715,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.469923,0.586495,0.640597,0.562041,0.641983,0.699929,64.000000,79.000000,153.000000,23439,36992,27131,48233,
im000716,main,unspecified,expert,1057,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.478813,0.604751,0.610830,0.468039,0.581688,0.612967,71.000000,62.000000,140.000000,17998,34981,25543,43739,
