key,subset,split,reader,native_side,outcome,resampling,artery_dice,vein_dice,vessels_dice,artery_cldice,vein_cldice,vessels_cldice,artery_betti,vein_betti,vessels_betti,said_artery_px,said_vein_px,truth_artery_px,truth_vein_px,note
test_007_n,square,test,expert,1280,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.801494,0.791887,0.868622,0.791941,0.772121,0.877068,200.000000,193.000000,386.000000,59868,61823,82798,66367,
test_016_n,square,test,expert,1274,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.772753,0.840826,0.861684,0.738040,0.811854,0.858388,160.000000,163.000000,326.000000,65566,84280,82867,90177,
test_018_n,large,test,expert,2093,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.830532,0.773399,0.824260,0.835727,0.775992,0.843468,131.000000,152.000000,245.000000,158524,215124,181901,223723,
test_022_n,square,test,expert,1274,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.823506,0.822404,0.850553,0.836653,0.823612,0.880225,89.000000,114.000000,210.000000,61063,68729,78970,90047,
test_024_n,square,test,expert,1274,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.844975,0.839092,0.865315,0.836338,0.839931,0.877089,149.000000,105.000000,260.000000,57176,75153,65043,94478,
test_027_g,large,test,expert,2094,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.843452,0.781038,0.828795,0.843098,0.790738,0.842868,81.000000,104.000000,200.000000,143836,168784,182722,185094,
test_035_a,square,test,expert,1275,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.855227,0.881671,0.890738,0.856338,0.886800,0.899143,119.000000,81.000000,225.000000,60796,69904,75334,82967,
test_040_g,square,test,expert,1277,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.804795,0.820981,0.850704,0.852810,0.853339,0.908948,81.000000,121.000000,215.000000,55751,68390,68124,96023,
test_044_n,square,test,expert,1280,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.792970,0.832814,0.848035,0.823976,0.866352,0.898733,123.000000,104.000000,238.000000,53532,67637,74768,87250,
test_047_a,square,test,expert,1275,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.854888,0.874333,0.888037,0.874965,0.895402,0.921700,112.000000,95.000000,226.000000,56321,71546,70374,82981,
