key,subset,split,reader,native_side,outcome,resampling,artery_dice,vein_dice,vessels_dice,artery_cldice,vein_cldice,vessels_cldice,artery_betti,vein_betti,vessels_betti,said_artery_px,said_vein_px,truth_artery_px,truth_vein_px,note
01_dr,main,unspecified,expert,3271,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.570782,0.724578,0.693156,0.607828,0.697099,0.684483,857.000000,1112.000000,1709.000000,207400,326166,159570,290438,
01_g,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.712113,0.746894,0.744589,0.681333,0.691880,0.701740,676.000000,1256.000000,1821.000000,268067,302971,258448,302657,
01_h,main,unspecified,expert,3270,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.760423,0.779770,0.787334,0.707177,0.743591,0.746749,108.000000,110.000000,260.000000,301357,319577,418287,435412,
02_dr,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.684723,0.757413,0.749475,0.687075,0.706362,0.730870,340.000000,513.000000,755.000000,231038,317899,230886,321377,
02_g,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.745825,0.759897,0.780299,0.652838,0.670969,0.705721,861.000000,528.000000,1136.000000,289970,296891,309077,321864,
02_h,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.795585,0.822049,0.827117,0.804886,0.810916,0.833843,111.000000,105.000000,274.000000,299106,341688,380613,436443,
03_dr,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.716845,0.765339,0.768018,0.694734,0.691103,0.735513,173.000000,336.000000,494.000000,228279,275968,225133,294182,
03_g,main,unspecified,expert,3271,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.721524,0.752923,0.764617,0.717662,0.689284,0.735154,461.000000,498.000000,778.000000,217943,272338,228326,272621,
03_h,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.737500,0.762186,0.780050,0.771530,0.793057,0.810427,110.000000,104.000000,232.000000,295824,329671,441215,472057,
04_dr,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.709835,0.780899,0.769182,0.652923,0.687170,0.701964,762.000000,640.000000,1227.000000,201194,263613,204348,275783,
04_g,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.705999,0.773799,0.771702,0.692725,0.719000,0.745257,160.000000,139.000000,344.000000,229418,279546,258254,303249,
04_h,main,unspecified,expert,3270,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.788075,0.809050,0.817215,0.803936,0.795300,0.822117,142.000000,102.000000,286.000000,290838,318774,381641,406034,
05_dr,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.711407,0.767190,0.756473,0.705703,0.755009,0.760245,414.000000,329.000000,672.000000,285757,299719,254640,269071,
05_g,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.735553,0.777208,0.791615,0.705935,0.691216,0.744907,355.000000,422.000000,542.000000,248581,281598,273195,298965,
05_h,main,unspecified,expert,3270,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.773307,0.785562,0.810816,0.770445,0.773322,0.808001,103.000000,134.000000,273.000000,261381,305309,353658,423629,
06_dr,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.522762,0.645790,0.674505,0.382949,0.483742,0.560122,403.000000,410.000000,642.000000,182854,281986,344904,391614,
06_g,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.741996,0.768486,0.785697,0.674669,0.694775,0.727721,339.000000,336.000000,523.000000,267500,269368,298471,298606,
06_h,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.771170,0.790503,0.818212,0.750491,0.759203,0.791609,111.000000,134.000000,304.000000,310578,332165,432192,459852,
07_dr,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.722960,0.748315,0.767872,0.717149,0.721469,0.755407,144.000000,176.000000,317.000000,329386,339679,331978,348301,
07_g,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.711677,0.772830,0.784796,0.656283,0.694135,0.725598,545.000000,444.000000,784.000000,231317,275977,270040,312080,
07_h,main,unspecified,expert,3270,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.798902,0.804515,0.831672,0.782318,0.797979,0.823249,120.000000,126.000000,286.000000,291159,302230,380691,394043,
08_dr,main,unspecified,expert,3267,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.682210,0.741048,0.753755,0.663266,0.683586,0.732824,258.000000,248.000000,465.000000,284983,354478,296492,365438,
08_g,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.720105,0.775796,0.783931,0.692986,0.703353,0.736972,402.000000,237.000000,668.000000,241896,295532,264283,326812,
08_h,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.786297,0.796786,0.824915,0.744811,0.762353,0.792211,119.000000,122.000000,269.000000,300618,329465,416444,461791,
09_dr,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.591115,0.724708,0.715702,0.588704,0.679673,0.695565,164.000000,195.000000,329.000000,180826,294668,246245,364894,
09_g,main,unspecified,expert,3271,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.706379,0.766584,0.770466,0.667414,0.730843,0.739233,313.000000,295.000000,515.000000,231756,311958,261999,313158,
09_h,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.718229,0.773212,0.800627,0.676975,0.712359,0.762655,141.000000,99.000000,274.000000,211091,274425,305900,386669,
10_dr,main,unspecified,expert,3267,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.695168,0.754388,0.758552,0.693603,0.730236,0.747472,162.000000,131.000000,342.000000,304785,368803,367746,395188,
10_g,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.740835,0.786428,0.772859,0.723459,0.748159,0.750094,150.000000,138.000000,305.000000,238008,305516,250257,290063,
10_h,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.719805,0.758373,0.793093,0.647326,0.684760,0.734298,110.000000,154.000000,292.000000,232466,279410,367116,416535,
11_dr,main,unspecified,expert,3268,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.715647,0.761211,0.775180,0.691941,0.716570,0.756861,196.000000,172.000000,381.000000,310569,355467,353923,382179,
11_g,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.712130,0.762135,0.770728,0.668442,0.714943,0.725333,180.000000,183.000000,386.000000,270353,285220,332464,337205,
11_h,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.780814,0.805300,0.835219,0.795136,0.809884,0.852034,124.000000,145.000000,294.000000,294104,335374,401980,419932,
12_dr,main,unspecified,expert,3269,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.662086,0.737265,0.744817,0.579850,0.632951,0.682680,312.000000,358.000000,542.000000,224160,300733,272848,342157,
12_g,main,unspecified,expert,3270,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.723898,0.755417,0.772931,0.654440,0.686911,0.707987,161.000000,147.000000,355.000000,296290,301117,366209,356403,
