key,subset,split,reader,native_side,outcome,resampling,artery_dice,vein_dice,vessels_dice,artery_cldice,vein_cldice,vessels_cldice,artery_betti,vein_betti,vessels_betti,said_artery_px,said_vein_px,truth_artery_px,truth_vein_px,note
enrich_enrich012enrich01220210728_001,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.795732,0.834224,0.831586,0.747934,0.800565,0.794517,100.000000,105.000000,255.000000,132363,169169,174072,208631,
enrich_enrich012enrich01220210728_002,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.836144,0.835742,0.851972,0.800323,0.781871,0.815511,90.000000,97.000000,221.000000,139496,161766,164246,201760,
enrich_enrich016enrich01620210803_003,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.840791,0.854271,0.863431,0.819611,0.794075,0.820869,70.000000,51.000000,161.000000,142610,151013,171104,178358,
enrich_enrich016enrich01620210803_005,enrich,unspecified,expert,2201,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.846081,0.842278,0.857791,0.817677,0.780203,0.814076,49.000000,90.000000,183.000000,138655,150444,166304,176745,
enrich_enrich023enrich02320210812_001,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.804634,0.850101,0.844037,0.729097,0.827317,0.801815,104.000000,117.000000,267.000000,133765,146530,173647,172204,
enrich_enrich023enrich02320210812_002,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.817563,0.818993,0.850655,0.801861,0.762753,0.844456,63.000000,56.000000,153.000000,116183,127421,149054,146464,
enrich_enrich027enrich02720210818_001,enrich,unspecified,expert,2199,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.867893,0.878282,0.888067,0.848137,0.835015,0.863769,77.000000,56.000000,160.000000,183432,211340,214797,243491,
enrich_enrich030enrich03020210821_001,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.849854,0.856753,0.873093,0.824183,0.840282,0.859783,97.000000,82.000000,221.000000,190403,200828,220816,225409,
enrich_enrich030enrich03020210821_002,enrich,unspecified,expert,2199,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.855718,0.851812,0.868890,0.824766,0.816530,0.836421,97.000000,65.000000,199.000000,180724,178306,214995,214593,
enrich_enrich031enrich03120210824_001,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.860468,0.852062,0.871876,0.830001,0.797237,0.834356,62.000000,71.000000,184.000000,180823,191504,210106,227921,
enrich_enrich031enrich03120210824_002,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.841375,0.860110,0.866932,0.835444,0.840956,0.857685,88.000000,86.000000,211.000000,170195,215869,203921,245716,
enrich_enrich032enrich03220210824_001,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.861748,0.873400,0.876391,0.883993,0.867983,0.886387,104.000000,110.000000,253.000000,172310,180451,186781,198729,
enrich_enrich032enrich03220210824_002,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.863390,0.871484,0.880428,0.848678,0.835263,0.865451,82.000000,99.000000,223.000000,170779,178155,199932,202655,
enrich_enrich033enrich03320210825_001,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.800712,0.830291,0.834884,0.770620,0.797844,0.813620,106.000000,67.000000,243.000000,153874,158616,189318,191331,
enrich_enrich033enrich03320210825_007,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.832408,0.837589,0.861580,0.821278,0.813266,0.858297,113.000000,78.000000,250.000000,171090,185930,198409,213982,
enrich_enrich034enrich03420210825_001,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.826169,0.853387,0.864198,0.779833,0.810379,0.833048,95.000000,87.000000,265.000000,189587,196714,222491,226911,
enrich_enrich034enrich03420210825_003,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the masks that run kept",0.854118,0.852786,0.867205,0.870961,0.819470,0.866227,62.000000,59.000000,170.000000,167085,175976,193556,202412,
