key,subset,split,native_side,reader,outcome,resampling,said_disc_width,said_disc_height,said_disc_radius,said_disc_center_x,said_disc_center_y,truth_disc_width,truth_disc_height,truth_disc_radius,truth_disc_center_x,truth_disc_center_y,disc_dice,disc_center_offset,disc_center_offset_diameters,disc_width_error,disc_height_error,disc_radius_error,said_cup_width,said_cup_height,said_cup_radius,said_cup_center_x,said_cup_center_y,truth_cup_width,truth_cup_height,truth_cup_radius,truth_cup_center_x,truth_cup_center_y,cup_dice,cup_center_offset,cup_center_offset_diameters,cup_width_error,cup_height_error,cup_radius_error,said_vertical_ratio,truth_vertical_ratio,cup_vertical_ratio_error,said_area_ratio,truth_area_ratio,cup_area_ratio_error,cup_outside_its_disc,note
100_od_1,main,unspecified,2102,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",229.000000,254.000000,120.522833,1528.539137,975.098435,207.000000,246.000000,112.657231,1525.964160,978.063779,0.932005,3.927311,0.017430,22.000000,8.000000,7.865602,99.000000,101.000000,49.942730,1525.241960,982.796452,77.000000,91.000000,39.043387,1522.471915,975.726665,0.756594,7.593092,0.033700,22.000000,10.000000,10.899343,0.397638,0.369919,0.027719,0.171714,0.120109,0.051605,0.000000,
100_od_2,main,unspecified,2104,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",230.000000,259.000000,121.689821,1542.695133,1042.108142,218.000000,247.000000,116.280554,1539.065846,1045.898300,0.950652,5.247573,0.022564,12.000000,12.000000,5.409266,97.000000,99.000000,49.191379,1539.089582,1048.522757,68.000000,88.000000,38.406354,1518.105093,1052.731765,0.659529,21.402442,0.092029,29.000000,11.000000,10.785025,0.382239,0.356275,0.025964,0.163407,0.109092,0.054315,0.000000,
100_od_3,main,unspecified,2101,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",227.000000,251.000000,119.275069,1515.808475,971.043362,202.000000,247.000000,109.943165,1519.395139,971.860115,0.918711,3.678483,0.016729,25.000000,4.000000,9.331903,98.000000,98.000000,49.281887,1512.156488,980.192661,75.000000,93.000000,40.613813,1503.583558,967.762833,0.744146,15.099527,0.068670,23.000000,5.000000,8.668074,0.390438,0.376518,0.013920,0.170716,0.136462,0.034255,0.000000,
100_od_4,main,unspecified,2103,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",228.000000,256.000000,120.250495,1526.078080,1043.330083,203.000000,243.000000,112.546984,1521.239408,1045.528346,0.930394,5.314612,0.023611,25.000000,13.000000,7.703511,100.000000,106.000000,51.446542,1520.172820,1050.280818,67.000000,58.000000,30.481905,1532.215485,1040.283316,0.519672,15.651703,0.069534,33.000000,48.000000,20.964637,0.414062,0.238683,0.175379,0.183037,0.073353,0.109684,0.000000,
100_od_5,main,unspecified,1572,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",176.000000,195.000000,92.399717,1062.442920,780.968123,154.000000,178.000000,82.786051,1063.295295,780.241280,0.890576,1.120198,0.006766,22.000000,17.000000,9.613667,79.000000,83.000000,40.672552,1053.982682,785.727343,67.000000,61.000000,32.267501,1062.139407,791.095384,0.760038,9.764631,0.058975,12.000000,22.000000,8.405051,0.425641,0.342697,0.082944,0.193759,0.151920,0.041838,0.000000,
100_os_1,main,unspecified,2102,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",250.000000,283.000000,132.601357,529.729430,971.785134,223.000000,270.000000,123.302210,531.863451,978.328392,0.926506,6.882461,0.027909,27.000000,13.000000,9.299146,114.000000,133.000000,61.594931,532.860643,972.068966,46.000000,50.000000,22.154770,544.824254,967.373541,0.229106,12.852043,0.052116,68.000000,83.000000,39.440161,0.469965,0.185185,0.284779,0.215771,0.032284,0.183487,0.000000,
100_os_2,main,unspecified,2101,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",250.000000,280.000000,131.788697,542.331940,937.050455,227.000000,267.000000,122.805554,541.886553,942.656219,0.928009,5.623430,0.022896,23.000000,13.000000,8.983143,108.000000,123.000000,58.428362,546.046154,936.701352,79.000000,123.000000,49.078008,565.772962,930.999604,0.723486,20.534285,0.083605,29.000000,0.000000,9.350354,0.439286,0.460674,-0.021388,0.196558,0.159712,0.036846,0.000000,
100_os_3,main,unspecified,2103,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",245.000000,278.000000,130.102901,528.190063,945.532712,208.000000,263.000000,116.998284,529.701167,946.743512,0.894189,1.936356,0.008275,37.000000,15.000000,13.104617,119.000000,131.000000,62.188947,535.123951,946.714239,86.000000,100.000000,44.528107,535.501686,932.829186,0.677839,13.890190,0.059361,33.000000,31.000000,17.660840,0.471223,0.380228,0.090995,0.228482,0.144847,0.083635,0.000000,
100_os_4,main,unspecified,2102,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",245.000000,273.000000,128.979958,534.758204,910.946846,221.000000,264.000000,120.491136,531.824096,915.832383,0.930859,5.698901,0.023649,24.000000,9.000000,8.488822,111.000000,124.000000,59.175392,539.425052,910.821198,48.000000,65.000000,25.909758,532.558084,910.766714,0.321739,6.867184,0.028497,63.000000,59.000000,33.265635,0.454212,0.246212,0.208000,0.210493,0.046240,0.164253,0.000000,
100_os_5,main,unspecified,1572,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",188.000000,209.000000,99.018085,468.135186,723.507142,165.000000,190.000000,89.197285,467.028366,725.301860,0.895819,2.108569,0.011820,23.000000,19.000000,9.820800,89.000000,99.000000,46.963488,476.605282,723.779333,77.000000,97.000000,43.155894,484.072295,725.687404,0.873709,7.706946,0.043202,12.000000,2.000000,3.807594,0.473684,0.510526,-0.036842,0.224953,0.234087,-0.009134,0.000000,
101_od_1,main,unspecified,1530,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",184.000000,218.000000,99.898206,1189.279886,696.607457,183.000000,203.000000,95.361392,1188.703455,700.888025,0.948983,4.319206,0.022647,1.000000,15.000000,4.536814,133.000000,163.000000,73.312089,1184.273616,696.299793,118.000000,164.000000,68.010006,1182.263574,704.500379,0.890438,8.443333,0.044270,15.000000,-1.000000,5.302083,0.747706,0.807882,-0.060175,0.538562,0.508628,0.029934,0.000000,
101_od_6,main,unspecified,2099,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",248.000000,286.000000,132.957353,1620.609857,985.020815,226.000000,272.000000,122.184500,1620.177779,996.082706,0.907543,11.070326,0.045302,22.000000,14.000000,10.772854,163.000000,204.000000,91.184278,1619.215153,985.799242,118.000000,164.000000,69.232292,1631.171072,996.543100,0.731344,16.074032,0.065778,45.000000,40.000000,21.951986,0.713287,0.602941,0.110346,0.470344,0.321059,0.149284,0.000000,
101_od_7,main,unspecified,1572,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",199.000000,240.000000,108.803782,1189.898981,705.896158,174.000000,218.000000,97.366438,1186.619649,705.876708,0.889390,3.279390,0.016840,25.000000,22.000000,11.437344,140.000000,179.000000,79.016760,1183.201275,707.641550,96.000000,134.000000,56.528868,1196.850384,708.939436,0.677076,13.710678,0.070408,44.000000,45.000000,22.487892,0.745833,0.614679,0.131154,0.527413,0.337071,0.190341,0.000000,
101_os_1,main,unspecified,1529,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",202.000000,218.000000,104.234694,379.171418,749.057540,189.000000,206.000000,95.957022,378.600062,751.908183,0.917444,2.907338,0.015149,13.000000,12.000000,8.277672,128.000000,154.000000,71.002760,376.173822,750.411163,118.000000,134.000000,62.830560,374.884293,750.213917,0.878329,1.304528,0.006797,10.000000,20.000000,8.172201,0.706422,0.650485,0.055937,0.464008,0.428734,0.035274,0.000000,
