key,subset,split,native_side,reader,outcome,resampling,said_disc_width,said_disc_height,said_disc_radius,said_disc_center_x,said_disc_center_y,truth_disc_width,truth_disc_height,truth_disc_radius,truth_disc_center_x,truth_disc_center_y,disc_dice,disc_center_offset,disc_center_offset_diameters,disc_width_error,disc_height_error,disc_radius_error,said_cup_width,said_cup_height,said_cup_radius,said_cup_center_x,said_cup_center_y,truth_cup_width,truth_cup_height,truth_cup_radius,truth_cup_center_x,truth_cup_center_y,cup_dice,cup_center_offset,cup_center_offset_diameters,cup_width_error,cup_height_error,cup_radius_error,said_vertical_ratio,truth_vertical_ratio,cup_vertical_ratio_error,said_area_ratio,truth_area_ratio,cup_area_ratio_error,cup_outside_its_disc,note
ret002_od,main,unspecified,2383,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",366.000000,434.000000,185.578927,1239.356772,1215.298249,490.000000,523.000000,250.190569,1165.458014,1263.915301,0.698219,88.457019,0.176779,-124.000000,-89.000000,-64.611642,262.000000,256.000000,116.235378,1199.852751,1224.707527,220.000000,272.000000,118.447569,1141.009279,1249.211090,0.611782,63.741499,0.127386,42.000000,-16.000000,-2.212191,0.589862,0.520076,0.069785,0.392301,0.224135,0.168166,0.000000,
ret002_od,main,unspecified,2383,expert2,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",366.000000,434.000000,185.578927,1239.356772,1215.298249,503.000000,534.000000,252.987919,1166.637422,1261.184761,0.692362,85.986487,0.169942,-137.000000,-100.000000,-67.408992,262.000000,256.000000,116.235378,1199.852751,1224.707527,247.000000,275.000000,127.600427,1159.657367,1239.735098,0.734155,42.912664,0.084812,15.000000,-19.000000,-11.365049,0.589862,0.514981,0.074880,0.392301,0.254393,0.137908,0.000000,
ret002_os,main,unspecified,2381,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",473.000000,506.000000,234.131880,1124.948315,1080.087873,481.000000,498.000000,242.229264,1160.319124,1099.857096,0.884190,40.520566,0.083641,-8.000000,8.000000,-8.097384,295.000000,260.000000,133.400715,1139.798880,1086.747795,246.000000,214.000000,114.383090,1166.587792,1084.384522,0.807195,26.892951,0.055511,49.000000,46.000000,19.017625,0.513834,0.429719,0.084115,0.324635,0.222982,0.101653,0.000000,
ret002_os,main,unspecified,2381,expert2,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",473.000000,506.000000,234.131880,1124.948315,1080.087873,501.000000,514.000000,251.262070,1157.095020,1091.974624,0.908493,34.273977,0.068204,-28.000000,-8.000000,-17.130191,295.000000,260.000000,133.400715,1139.798880,1086.747795,256.000000,244.000000,126.195729,1164.819152,1090.936140,0.881025,25.368410,0.050482,39.000000,16.000000,7.204987,0.513834,0.474708,0.039126,0.324635,0.252252,0.072382,0.000000,
ret004_od,main,unspecified,2383,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",410.000000,429.000000,205.123846,1184.560608,1277.729667,431.000000,466.000000,219.200541,1188.708798,1280.544617,0.933724,5.013125,0.011435,-21.000000,-37.000000,-14.076695,289.000000,284.000000,135.545300,1157.419983,1268.536409,239.000000,280.000000,130.234950,1164.296068,1291.014451,0.851213,23.506231,0.053618,50.000000,4.000000,5.310350,0.662005,0.600858,0.061146,0.436653,0.352998,0.083655,0.000000,
ret004_od,main,unspecified,2383,expert2,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",410.000000,429.000000,205.123846,1184.560608,1277.729667,428.000000,474.000000,219.574874,1181.368558,1276.762244,0.932026,3.335430,0.007595,-18.000000,-45.000000,-14.451028,289.000000,284.000000,135.545300,1157.419983,1268.536409,293.000000,305.000000,148.806005,1187.190426,1285.313563,0.828651,34.172389,0.077815,-4.000000,-21.000000,-13.260705,0.662005,0.643460,0.018545,0.436653,0.459278,-0.022625,0.000000,
ret004_os,main,unspecified,2381,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",426.000000,440.000000,212.437420,1171.001206,1177.366401,420.000000,446.000000,214.690261,1179.545386,1204.850499,0.910591,28.781568,0.067030,6.000000,-6.000000,-2.252841,271.000000,294.000000,140.125885,1192.102503,1193.206854,257.000000,332.000000,145.189780,1200.977803,1220.201948,0.887789,28.416651,0.066181,14.000000,-38.000000,-5.063895,0.668182,0.744395,-0.076213,0.435086,0.457349,-0.022263,0.000000,
ret004_os,main,unspecified,2381,expert2,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",426.000000,440.000000,212.437420,1171.001206,1177.366401,415.000000,440.000000,210.966924,1179.214199,1208.063959,0.899191,31.777246,0.075313,11.000000,0.000000,1.470495,271.000000,294.000000,140.125885,1192.102503,1193.206854,272.000000,330.000000,146.392793,1195.085998,1216.840213,0.896328,23.820934,0.056457,-1.000000,-36.000000,-6.266908,0.668182,0.750000,-0.081818,0.435086,0.481516,-0.046430,0.000000,
ret005_od,main,unspecified,2384,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",,,,,,489.000000,455.000000,233.891119,1138.437900,1181.629119,0.000000,,,,,,,,,,,348.000000,316.000000,164.457151,1149.070403,1178.891571,0.000000,,,,,,,0.694505,,,0.494400,,,
ret005_od,main,unspecified,2384,expert2,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",,,,,,495.000000,471.000000,241.055570,1138.618397,1178.634661,0.000000,,,,,,,,,,,377.000000,380.000000,190.619281,1145.319188,1206.909034,0.000000,,,,,,,0.806794,,,0.625316,,,
ret005_os,main,unspecified,2381,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",,,,,,421.000000,407.000000,206.389310,1218.762601,1230.612751,0.000000,,,,,,,,,,,243.000000,291.000000,127.882004,1230.734278,1227.459700,0.000000,,,,,,,0.714988,,,0.383923,,,
ret005_os,main,unspecified,2381,expert2,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",,,,,,541.000000,455.000000,238.237027,1170.778489,1203.412042,0.000000,,,,,,,,,,,281.000000,290.000000,139.827989,1203.325638,1245.896132,0.000000,,,,,,,0.637363,,,0.344485,,,
ret006_od,main,unspecified,2382,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",,,,,,475.000000,485.000000,232.996637,1147.841183,1092.263866,0.000000,,,,,,,,,,,195.000000,255.000000,111.591223,1124.243399,1087.182025,0.000000,,,,,,,0.525773,,,0.229383,,,
ret006_od,main,unspecified,2382,expert2,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",,,,,,486.000000,501.000000,243.392720,1142.183823,1080.259693,0.000000,,,,,,,,,,,290.000000,269.000000,141.391133,1142.511090,1090.103909,0.000000,,,,,,,0.536926,,,0.337465,,,
ret006_os,main,unspecified,2381,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",,,,,,486.000000,498.000000,248.771142,1226.834033,1050.471670,0.000000,,,,,,,,,,,256.000000,262.000000,125.591440,1269.520816,1057.297197,0.000000,,,,,,,0.526104,,,0.254871,,,
ret006_os,main,unspecified,2381,expert2,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",,,,,,580.000000,507.000000,274.580121,1213.755613,1046.911373,0.000000,,,,,,,,,,,281.000000,278.000000,140.853181,1261.191904,1056.505631,0.000000,,,,,,,0.548323,,,0.263145,,,
ret007_od,main,unspecified,2383,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",325.000000,396.000000,170.840481,1255.619149,1206.568708,382.000000,402.000000,198.106880,1298.085518,1205.545598,0.830251,42.478692,0.107212,-57.000000,-6.000000,-27.266398,176.000000,163.000000,78.335037,1275.752256,1206.470173,126.000000,113.000000,57.757143,1307.354676,1211.316698,0.626521,31.971889,0.080694,50.000000,50.000000,20.577893,0.411616,0.281095,0.130522,0.210247,0.084999,0.125249,0.000000,
ret007_od,main,unspecified,2383,expert2,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",325.000000,396.000000,170.840481,1255.619149,1206.568708,391.000000,425.000000,206.538086,1299.144448,1200.838502,0.803337,43.900876,0.106278,-66.000000,-29.000000,-35.697605,176.000000,163.000000,78.335037,1275.752256,1206.470173,116.000000,91.000000,51.120682,1316.932765,1221.445920,0.488868,43.819028,0.106080,60.000000,72.000000,27.214354,0.411616,0.214118,0.197499,0.210247,0.061262,0.148985,0.000000,
ret007_os,main,unspecified,2381,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",388.000000,399.000000,196.631200,1210.771607,1269.646066,375.000000,417.000000,194.987707,1206.974021,1273.900481,0.965041,5.702780,0.014623,13.000000,-18.000000,1.643492,194.000000,178.000000,92.750434,1212.731925,1270.872900,128.000000,123.000000,61.989007,1216.473824,1289.087806,0.616093,18.595285,0.047683,66.000000,55.000000,30.761427,0.446115,0.294964,0.151151,0.222498,0.101068,0.121430,0.000000,
ret007_os,main,unspecified,2381,expert2,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",388.000000,399.000000,196.631200,1210.771607,1269.646066,385.000000,439.000000,200.101272,1212.000771,1272.832611,0.961728,3.415394,0.008534,3.000000,-40.000000,-3.470072,194.000000,178.000000,92.750434,1212.731925,1270.872900,127.000000,121.000000,59.129652,1227.020757,1293.120357,0.572586,26.440879,0.066069,67.000000,57.000000,33.620782,0.446115,0.275626,0.170489,0.222498,0.087319,0.135179,0.000000,
ret008_od,main,unspecified,2386,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",425.000000,356.000000,193.770993,1032.761330,1066.519617,462.000000,434.000000,222.631955,1052.710898,1112.495822,0.831144,50.117828,0.112558,-37.000000,-78.000000,-28.860962,298.000000,243.000000,131.388356,1038.324452,1107.861044,233.000000,240.000000,118.710637,1041.952837,1114.829057,0.880504,7.856105,0.017644,65.000000,3.000000,12.677719,0.682584,0.552995,0.129589,0.459765,0.284318,0.175447,0.000000,
ret008_od,main,unspecified,2386,expert2,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",425.000000,356.000000,193.770993,1032.761330,1066.519617,464.000000,434.000000,224.469475,1051.447345,1105.244892,0.849427,42.997838,0.095777,-39.000000,-78.000000,-30.698482,298.000000,243.000000,131.388356,1038.324452,1107.861044,239.000000,229.000000,114.806689,1032.375362,1106.241137,0.865905,6.165693,0.013734,59.000000,14.000000,16.581667,0.682584,0.527650,0.154935,0.459765,0.261589,0.198176,0.000000,
ret008_os,main,unspecified,2385,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",473.000000,461.000000,228.992869,1231.603407,1046.926623,463.000000,455.000000,225.447927,1230.532588,1041.893942,0.963414,5.145340,0.011411,10.000000,6.000000,3.544942,303.000000,287.000000,143.795312,1231.875645,1044.599070,279.000000,276.000000,136.986579,1251.207691,1047.584907,0.905368,19.561269,0.043383,24.000000,11.000000,6.808734,0.622560,0.606593,0.015966,0.394317,0.369202,0.025115,0.000000,
ret008_os,main,unspecified,2385,expert2,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",473.000000,461.000000,228.992869,1231.603407,1046.926623,473.000000,458.000000,230.805952,1227.029822,1040.657744,0.974251,7.759930,0.016811,0.000000,3.000000,-1.813083,303.000000,287.000000,143.795312,1231.875645,1044.599070,250.000000,251.000000,123.547214,1256.067796,1052.956249,0.845933,25.594972,0.055447,53.000000,36.000000,20.248099,0.622560,0.548035,0.074525,0.394317,0.286531,0.107786,0.000000,
ret009_od,main,unspecified,2385,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",,,,,,518.000000,514.000000,255.502520,1363.048618,1208.541763,0.000000,,,,,,,,,,,284.000000,237.000000,125.148390,1307.606983,1200.643586,0.000000,,,,,,,0.461089,,,0.239917,,,
ret009_od,main,unspecified,2385,expert2,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",,,,,,522.000000,517.000000,257.814886,1361.866668,1198.013040,0.000000,,,,,,,,,,,227.000000,208.000000,109.641649,1300.320315,1186.697029,0.000000,,,,,,,0.402321,,,0.180857,,,
ret009_os,main,unspecified,2384,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",,,,,,513.000000,513.000000,257.025356,1269.776352,1072.666431,0.000000,,,,,,,,,,,264.000000,243.000000,123.980581,1292.481777,1053.389812,0.000000,,,,,,,0.473684,,,0.232678,,,
ret009_os,main,unspecified,2384,expert2,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",,,,,,520.000000,501.000000,251.595662,1271.501006,1065.135605,0.000000,,,,,,,,,,,229.000000,217.000000,109.224247,1312.547587,1045.443021,0.000000,,,,,,,0.433134,,,0.188465,,,
ret010_od,main,unspecified,2383,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",,,,,,485.000000,522.000000,244.930417,1398.963076,1174.873368,0.000000,,,,,,,,,,,353.000000,386.000000,181.697954,1394.854951,1157.924207,0.000000,,,,,,,0.739464,,,0.550319,,,
ret010_od,main,unspecified,2383,expert2,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",,,,,,486.000000,504.000000,245.596852,1397.559627,1168.931660,0.000000,,,,,,,,,,,336.000000,391.000000,179.096205,1389.078785,1154.589066,0.000000,,,,,,,0.775794,,,0.531774,,,
ret010_os,main,unspecified,2382,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",,,,,,513.000000,570.000000,265.957797,1131.575476,1279.729619,0.000000,,,,,,,,,,,349.000000,460.000000,197.868936,1167.003976,1267.446049,0.000000,,,,,,,0.807018,,,0.553515,,,
