key,subset,split,native_side,reader,outcome,resampling,said_disc_width,said_disc_height,said_disc_radius,said_disc_center_x,said_disc_center_y,truth_disc_width,truth_disc_height,truth_disc_radius,truth_disc_center_x,truth_disc_center_y,disc_dice,disc_center_offset,disc_center_offset_diameters,disc_width_error,disc_height_error,disc_radius_error,said_cup_width,said_cup_height,said_cup_radius,said_cup_center_x,said_cup_center_y,truth_cup_width,truth_cup_height,truth_cup_radius,truth_cup_center_x,truth_cup_center_y,cup_dice,cup_center_offset,cup_center_offset_diameters,cup_width_error,cup_height_error,cup_radius_error,said_vertical_ratio,truth_vertical_ratio,cup_vertical_ratio_error,said_area_ratio,truth_area_ratio,cup_area_ratio_error,cup_outside_its_disc,note
100_od_1,main,unspecified,2102,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",228.000000,250.000000,120.226669,1529.761110,974.062299,207.000000,246.000000,112.657231,1525.964160,978.063779,0.930841,5.516219,0.024482,21.000000,4.000000,7.569438,112.000000,133.000000,62.896385,1524.292082,979.099292,77.000000,91.000000,39.043387,1522.471915,975.726665,0.556311,3.832443,0.017009,35.000000,42.000000,23.852998,0.532000,0.369919,0.162081,0.273684,0.120109,0.153575,0.000000,
100_od_2,main,unspecified,2104,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",235.000000,264.000000,123.178234,1542.691191,1040.330145,218.000000,247.000000,116.280554,1539.065846,1045.898300,0.937024,6.644357,0.028570,17.000000,17.000000,6.897680,119.000000,137.000000,62.881201,1534.389792,1042.077524,68.000000,88.000000,38.406354,1518.105093,1052.731765,0.543269,19.460326,0.083678,51.000000,49.000000,24.474847,0.518939,0.356275,0.162664,0.260600,0.109092,0.151508,0.000000,
100_od_3,main,unspecified,2101,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",228.000000,249.000000,119.186969,1517.050148,971.318365,202.000000,247.000000,109.943165,1519.395139,971.860115,0.912787,2.406756,0.010945,26.000000,2.000000,9.243804,119.000000,127.000000,60.442060,1511.592664,976.055067,75.000000,93.000000,40.613813,1503.583558,967.762833,0.622126,11.528526,0.052429,44.000000,34.000000,19.828246,0.510040,0.376518,0.133522,0.257170,0.136462,0.120709,0.000000,
100_od_4,main,unspecified,2103,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",234.000000,261.000000,121.894984,1525.616680,1047.391889,203.000000,243.000000,112.546984,1521.239408,1045.528346,0.916540,4.757447,0.021135,31.000000,18.000000,9.348000,126.000000,136.000000,65.385167,1521.111905,1048.300722,67.000000,58.000000,30.481905,1532.215485,1040.283316,0.357064,13.695557,0.060844,59.000000,78.000000,34.903262,0.521073,0.238683,0.282390,0.287731,0.073353,0.214378,0.000000,
100_od_5,main,unspecified,1572,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",170.000000,199.000000,90.955340,1063.074221,779.871374,154.000000,178.000000,82.786051,1063.295295,780.241280,0.906168,0.430935,0.002603,16.000000,21.000000,8.169290,106.000000,106.000000,51.508377,1058.102939,781.692022,67.000000,61.000000,32.267501,1062.139407,791.095384,0.563674,10.233098,0.061804,39.000000,45.000000,19.240876,0.532663,0.342697,0.189967,0.320700,0.151920,0.168780,0.000000,
100_os_1,main,unspecified,2102,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",244.000000,288.000000,129.072471,533.479480,975.182640,223.000000,270.000000,123.302210,531.863451,978.328392,0.949481,3.536567,0.014341,21.000000,18.000000,5.770261,129.000000,148.000000,67.003303,545.074376,974.736103,46.000000,50.000000,22.154770,544.824254,967.373541,0.197111,7.366810,0.029873,83.000000,98.000000,44.848533,0.513889,0.185185,0.328704,0.269479,0.032284,0.237195,0.000000,
100_os_2,main,unspecified,2101,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",250.000000,289.000000,129.909476,545.305853,936.486241,227.000000,267.000000,122.805554,541.886553,942.656219,0.934640,7.054094,0.028721,23.000000,22.000000,7.103922,128.000000,158.000000,69.948133,554.823499,937.572962,79.000000,123.000000,49.078008,565.772962,930.999604,0.659779,12.771052,0.051997,49.000000,35.000000,20.870124,0.546713,0.460674,0.086039,0.289915,0.159712,0.130203,0.000000,
100_os_3,main,unspecified,2103,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",244.000000,293.000000,127.756243,529.193385,947.325357,208.000000,263.000000,116.998284,529.701167,946.743512,0.911540,0.772261,0.003300,36.000000,30.000000,10.757960,129.000000,153.000000,66.077657,539.802143,945.456514,86.000000,100.000000,44.528107,535.501686,932.829186,0.624486,13.339541,0.057007,43.000000,53.000000,21.549550,0.522184,0.380228,0.141956,0.267513,0.144847,0.122666,0.000000,
100_os_4,main,unspecified,2102,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",243.000000,274.000000,126.367132,538.455479,913.183946,221.000000,264.000000,120.491136,531.824096,915.832383,0.947806,7.140691,0.029632,22.000000,10.000000,5.875996,120.000000,157.000000,65.538337,548.528754,912.444790,48.000000,65.000000,25.909758,532.558084,910.766714,0.270333,16.058587,0.066638,72.000000,92.000000,39.628579,0.572993,0.246212,0.326781,0.268982,0.046240,0.222742,0.000000,
100_os_5,main,unspecified,1572,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",180.000000,202.000000,95.484816,468.375449,722.735433,165.000000,190.000000,89.197285,467.028366,725.301860,0.928484,2.898480,0.016248,15.000000,12.000000,6.287531,98.000000,108.000000,50.304707,469.814340,720.729057,77.000000,97.000000,43.155894,484.072295,725.687404,0.766901,15.095513,0.084619,21.000000,11.000000,7.148814,0.534653,0.510526,0.024127,0.277555,0.234087,0.043468,0.000000,
