key,subset,split,native_side,reader,outcome,resampling,said_disc_width,said_disc_height,said_disc_radius,said_disc_center_x,said_disc_center_y,truth_disc_width,truth_disc_height,truth_disc_radius,truth_disc_center_x,truth_disc_center_y,disc_dice,disc_center_offset,disc_center_offset_diameters,disc_width_error,disc_height_error,disc_radius_error,said_cup_width,said_cup_height,said_cup_radius,said_cup_center_x,said_cup_center_y,truth_cup_width,truth_cup_height,truth_cup_radius,truth_cup_center_x,truth_cup_center_y,cup_dice,cup_center_offset,cup_center_offset_diameters,cup_width_error,cup_height_error,cup_radius_error,said_vertical_ratio,truth_vertical_ratio,cup_vertical_ratio_error,said_area_ratio,truth_area_ratio,cup_area_ratio_error,cup_outside_its_disc,note
100_od_1,main,unspecified,2102,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",245.000000,262.000000,123.933074,1530.611921,968.183118,207.000000,246.000000,112.657231,1525.964160,978.063779,0.901991,10.919209,0.048462,38.000000,16.000000,11.275843,102.000000,124.000000,55.140693,1528.462835,971.987437,77.000000,91.000000,39.043387,1522.471915,975.726665,0.667875,7.062078,0.031343,25.000000,33.000000,16.097306,0.473282,0.369919,0.103364,0.197957,0.120109,0.077847,0.000000,
100_od_2,main,unspecified,2104,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",232.000000,263.000000,123.962608,1544.655854,1035.734112,218.000000,247.000000,116.280554,1539.065846,1045.898300,0.920753,11.599953,0.049879,14.000000,16.000000,7.682053,99.000000,128.000000,53.368875,1544.017211,1035.281180,68.000000,88.000000,38.406354,1518.105093,1052.731765,0.497276,31.240371,0.134332,31.000000,40.000000,14.962522,0.486692,0.356275,0.130417,0.185351,0.109092,0.076259,0.000000,
100_od_3,main,unspecified,2101,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",245.000000,262.000000,124.121708,1518.221322,963.375702,202.000000,247.000000,109.943165,1519.395139,971.860115,0.878389,8.565226,0.038953,43.000000,15.000000,14.178543,114.000000,109.000000,54.563288,1517.254036,964.672191,75.000000,93.000000,40.613813,1503.583558,967.762833,0.704094,14.015492,0.063740,39.000000,16.000000,13.949474,0.416031,0.376518,0.039512,0.193244,0.136462,0.056782,0.000000,
100_od_4,main,unspecified,2103,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",231.000000,262.000000,122.709613,1528.184082,1038.369454,203.000000,243.000000,112.546984,1521.239408,1045.528346,0.905682,9.973878,0.044310,28.000000,19.000000,10.162629,107.000000,115.000000,56.286218,1525.883352,1041.365116,67.000000,58.000000,30.481905,1532.215485,1040.283316,0.453543,6.423877,0.028539,40.000000,57.000000,25.804312,0.438931,0.238683,0.200248,0.210401,0.073353,0.137048,0.000000,
100_od_5,main,unspecified,1572,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",174.000000,206.000000,94.693133,1066.807845,776.927512,154.000000,178.000000,82.786051,1063.295295,780.241280,0.866421,4.828982,0.029165,20.000000,28.000000,11.907083,74.000000,89.000000,41.486161,1064.451082,780.998520,67.000000,61.000000,32.267501,1062.139407,791.095384,0.745794,10.358112,0.062560,7.000000,28.000000,9.218660,0.432039,0.342697,0.089342,0.191942,0.151920,0.040021,0.000000,
100_os_1,main,unspecified,2102,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",258.000000,289.000000,135.068919,530.398332,965.724291,223.000000,270.000000,123.302210,531.863451,978.328392,0.899245,12.688970,0.051455,35.000000,19.000000,11.766708,115.000000,140.000000,63.335150,534.259086,966.947231,46.000000,50.000000,22.154770,544.824254,967.373541,0.218043,10.573766,0.042877,69.000000,90.000000,41.180379,0.484429,0.185185,0.299244,0.219876,0.032284,0.187592,0.000000,
100_os_2,main,unspecified,2101,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",262.000000,281.000000,134.582574,542.373010,930.984060,227.000000,267.000000,122.805554,541.886553,942.656219,0.896961,11.682291,0.047564,35.000000,14.000000,11.777020,121.000000,137.000000,60.352465,544.094905,934.735209,79.000000,123.000000,49.078008,565.772962,930.999604,0.699421,21.997565,0.089563,42.000000,14.000000,11.274457,0.487544,0.460674,0.026870,0.201100,0.159712,0.041388,0.000000,
100_os_3,main,unspecified,2103,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",261.000000,281.000000,132.632560,527.057161,941.708676,208.000000,263.000000,116.998284,529.701167,946.743512,0.875230,5.686857,0.024303,53.000000,18.000000,15.634276,115.000000,131.000000,60.326088,531.842998,940.644888,86.000000,100.000000,44.528107,535.501686,932.829186,0.705356,8.629669,0.036879,29.000000,31.000000,15.797982,0.466192,0.380228,0.085964,0.206876,0.144847,0.062029,0.000000,
100_os_4,main,unspecified,2102,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",246.000000,278.000000,132.255233,534.148532,906.930229,221.000000,264.000000,120.491136,531.824096,915.832383,0.906276,9.200617,0.038180,25.000000,14.000000,11.764096,104.000000,131.000000,58.867986,540.906127,905.745844,48.000000,65.000000,25.909758,532.558084,910.766714,0.324561,9.741609,0.040425,56.000000,66.000000,32.958228,0.471223,0.246212,0.225011,0.198122,0.046240,0.151882,0.000000,
100_os_5,main,unspecified,1572,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",199.000000,212.000000,102.049716,470.060366,717.348473,165.000000,190.000000,89.197285,467.028366,725.301860,0.865539,8.511721,0.047713,34.000000,22.000000,12.852431,96.000000,109.000000,46.469498,477.548791,715.362176,77.000000,97.000000,43.155894,484.072295,725.687404,0.820894,12.213371,0.068463,19.000000,12.000000,3.313605,0.514151,0.510526,0.003625,0.207354,0.234087,-0.026733,0.000000,
101_od_1,main,unspecified,1530,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",187.000000,215.000000,98.120338,1184.078391,691.792667,183.000000,203.000000,95.361392,1188.703455,700.888025,0.913576,10.203762,0.053500,4.000000,12.000000,2.758946,137.000000,159.000000,73.770889,1178.247997,694.718196,118.000000,164.000000,68.010006,1182.263574,704.500379,0.873214,10.574306,0.055443,19.000000,-5.000000,5.760883,0.739535,0.807882,-0.068347,0.565265,0.508628,0.056637,0.000000,
101_od_6,main,unspecified,2099,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",246.000000,292.000000,133.733164,1613.850247,976.902004,226.000000,272.000000,122.184500,1620.177779,996.082706,0.876735,20.197450,0.082651,20.000000,20.000000,11.548665,189.000000,229.000000,99.789812,1609.682010,979.640967,118.000000,164.000000,69.232292,1631.171072,996.543100,0.648008,27.339749,0.111879,71.000000,65.000000,30.557519,0.784247,0.602941,0.181305,0.556794,0.321059,0.235734,0.000000,
101_od_7,main,unspecified,1572,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",197.000000,238.000000,106.974570,1186.103196,698.572696,174.000000,218.000000,97.366438,1186.619649,705.876708,0.905011,7.322248,0.037601,23.000000,20.000000,9.608132,136.000000,168.000000,76.596918,1183.494683,702.280653,96.000000,134.000000,56.528868,1196.850384,708.939436,0.704717,14.923610,0.076636,40.000000,34.000000,20.068050,0.705882,0.614679,0.091203,0.512698,0.337071,0.175626,0.000000,
101_os_1,main,unspecified,1529,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",195.000000,205.000000,101.851456,379.576557,745.390733,189.000000,206.000000,95.957022,378.600062,751.908183,0.930214,6.590196,0.034339,6.000000,-1.000000,5.894434,141.000000,131.000000,66.533718,381.601496,746.592651,118.000000,134.000000,62.830560,374.884293,750.213917,0.906382,7.631145,0.039763,23.000000,-3.000000,3.703158,0.639024,0.650485,-0.011461,0.426726,0.428734,-0.002008,0.000000,
101_os_6,main,unspecified,2102,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",279.000000,282.000000,137.418099,548.847720,1001.987914,273.000000,263.000000,131.059674,545.033690,1011.124402,0.938431,9.900618,0.037771,6.000000,19.000000,6.358426,180.000000,169.000000,86.313631,550.375945,1001.475539,148.000000,178.000000,79.350412,538.608817,1006.121480,0.885704,12.651090,0.048265,32.000000,-9.000000,6.963219,0.599291,0.676806,-0.077515,0.394522,0.366573,0.027949,0.000000,
101_os_7,main,unspecified,1572,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",221.000000,230.000000,112.100651,441.671395,781.786798,201.000000,214.000000,101.544721,440.891585,788.677286,0.901423,6.934474,0.034145,20.000000,16.000000,10.555930,147.000000,160.000000,75.546650,443.306414,783.124261,121.000000,157.000000,67.789673,444.094757,781.600540,0.890907,1.715578,0.008447,26.000000,3.000000,7.756976,0.695652,0.733645,-0.037993,0.454166,0.445669,0.008497,0.000000,
102_os_1,main,unspecified,1531,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",214.000000,229.000000,109.318920,769.200405,837.936981,199.000000,231.000000,106.495921,771.439573,838.708195,0.963867,2.368258,0.011119,15.000000,-2.000000,2.822999,132.000000,155.000000,72.723578,762.968884,830.647367,180.000000,189.000000,93.098120,773.068310,837.453414,0.757914,12.178698,0.057179,-48.000000,-34.000000,-20.374542,0.676856,0.818182,-0.141326,0.442547,0.764216,-0.321668,0.000000,
103_od_1,main,unspecified,1534,expert1,graded,"probabilities to native, bilinear, thresholded there, and these numbers were measured from the outlines that run kept",275.000000,278.000000,138.409401,823.267829,679.259488,256.000000,269.000000,131.578398,818.497978,682.884519,0.947929,5.991021,0.022766,19.000000,9.000000,6.831003,187.000000,215.000000,98.625116,817.096963,685.340795,206.000000,228.000000,107.230164,813.186945,682.248235,0.916063,4.985195,0.018944,-19.000000,-13.000000,-8.605048,0.773381,0.847584,-0.074202,0.507743,0.664148,-0.156405,0.000000,
