key,subset,split,native_side,reader,outcome,resampling,disc_dice,disc_centre_offset,disc_centre_offset_diameters,disc_width_error,disc_height_error,disc_radius_error,truth_disc_width,truth_disc_height,truth_disc_radius,note
test_bosch_p10_image2,bosch,test,1438,expert1,graded,"probabilities to native, bilinear, then thresholded",0.981211,1.445886,0.006284,5.000000,-4.000000,0.765233,239.000000,223.000000,115.047650,
test_bosch_p10_image2,bosch,test,1438,expert2,graded,"probabilities to native, bilinear, then thresholded",0.970624,1.976388,0.008300,-7.000000,-9.000000,-3.244489,251.000000,228.000000,119.057371,
test_bosch_p10_image2,bosch,test,1438,expert3,graded,"probabilities to native, bilinear, then thresholded",0.983954,0.325950,0.001395,-5.000000,-8.000000,-0.998889,249.000000,227.000000,116.811771,
test_bosch_p10_image2,bosch,test,1438,expert4,graded,"probabilities to native, bilinear, then thresholded",0.969010,3.964635,0.016668,1.000000,-8.000000,-3.120102,243.000000,227.000000,118.932984,
test_bosch_p10_image2,bosch,test,1438,expert5,graded,"probabilities to native, bilinear, then thresholded",0.950413,0.282784,0.001170,-10.000000,-12.000000,-5.075187,254.000000,231.000000,120.888069,
test_bosch_p11_image1,bosch,test,1439,expert1,graded,"probabilities to native, bilinear, then thresholded",0.967233,2.304294,0.011033,-2.000000,-1.000000,1.513074,198.000000,227.000000,104.429953,
test_bosch_p11_image1,bosch,test,1439,expert2,graded,"probabilities to native, bilinear, then thresholded",0.972448,3.907093,0.018702,-4.000000,5.000000,1.485645,200.000000,221.000000,104.457382,
test_bosch_p11_image1,bosch,test,1439,expert3,graded,"probabilities to native, bilinear, then thresholded",0.981249,0.751256,0.003599,1.000000,2.000000,1.563379,195.000000,224.000000,104.379647,
test_bosch_p11_image1,bosch,test,1439,expert4,graded,"probabilities to native, bilinear, then thresholded",0.967684,4.516788,0.021271,-10.000000,4.000000,-0.231097,206.000000,222.000000,106.174124,
test_bosch_p11_image1,bosch,test,1439,expert5,graded,"probabilities to native, bilinear, then thresholded",0.966633,0.723273,0.003381,6.000000,-16.000000,-1.025592,190.000000,242.000000,106.968619,
test_bosch_p11_image2,bosch,test,1437,expert1,graded,"probabilities to native, bilinear, then thresholded",0.968807,3.788557,0.018123,1.000000,-1.000000,0.278276,195.000000,225.000000,104.524400,
test_bosch_p11_image2,bosch,test,1437,expert2,graded,"probabilities to native, bilinear, then thresholded",0.969953,3.343856,0.015695,-1.000000,-4.000000,-1.723130,197.000000,228.000000,106.525806,
test_bosch_p11_image2,bosch,test,1437,expert3,graded,"probabilities to native, bilinear, then thresholded",0.986843,1.445060,0.006887,2.000000,-1.000000,-0.113834,194.000000,225.000000,104.916510,
test_bosch_p11_image2,bosch,test,1437,expert4,graded,"probabilities to native, bilinear, then thresholded",0.956477,3.205408,0.014843,-11.000000,4.000000,-3.174426,207.000000,220.000000,107.977102,
test_bosch_p11_image2,bosch,test,1437,expert5,graded,"probabilities to native, bilinear, then thresholded",0.953072,6.641834,0.031177,3.000000,-12.000000,-1.714166,193.000000,236.000000,106.516842,
test_bosch_p12_image1,bosch,test,1438,expert1,graded,"probabilities to native, bilinear, then thresholded",0.960718,6.477862,0.030905,-3.000000,0.000000,0.584564,205.000000,218.000000,104.801158,
test_bosch_p12_image1,bosch,test,1438,expert2,graded,"probabilities to native, bilinear, then thresholded",0.971562,2.875738,0.013361,-5.000000,-3.000000,-2.234089,207.000000,221.000000,107.619810,
test_bosch_p12_image1,bosch,test,1438,expert3,graded,"probabilities to native, bilinear, then thresholded",0.968933,2.481503,0.011475,-2.000000,-9.000000,-2.738677,204.000000,227.000000,108.124398,
test_bosch_p12_image1,bosch,test,1438,expert4,graded,"probabilities to native, bilinear, then thresholded",0.955240,7.645476,0.035514,0.000000,-7.000000,-2.254791,202.000000,225.000000,107.640512,
test_bosch_p12_image1,bosch,test,1438,expert5,graded,"probabilities to native, bilinear, then thresholded",0.964899,3.485834,0.016051,-10.000000,-5.000000,-3.202821,212.000000,223.000000,108.588542,
test_bosch_p12_image2,bosch,test,1438,expert1,graded,"probabilities to native, bilinear, then thresholded",0.966087,1.494826,0.007318,-1.000000,9.000000,2.720236,201.000000,209.000000,102.140132,
test_bosch_p12_image2,bosch,test,1438,expert2,graded,"probabilities to native, bilinear, then thresholded",0.978083,2.510736,0.011887,5.000000,-8.000000,-0.745615,195.000000,226.000000,105.605982,
test_bosch_p12_image2,bosch,test,1438,expert3,graded,"probabilities to native, bilinear, then thresholded",0.977645,0.840241,0.003935,1.000000,-7.000000,-1.917635,199.000000,225.000000,106.778002,
test_bosch_p12_image2,bosch,test,1438,expert4,graded,"probabilities to native, bilinear, then thresholded",0.965809,2.034359,0.009568,-10.000000,-3.000000,-1.445586,210.000000,221.000000,106.305954,
test_bosch_p12_image2,bosch,test,1438,expert5,graded,"probabilities to native, bilinear, then thresholded",0.967094,4.632455,0.022290,4.000000,-3.000000,0.946816,196.000000,221.000000,103.913552,
test_bosch_p13_image1,bosch,test,1437,expert1,graded,"probabilities to native, bilinear, then thresholded",0.974771,2.471238,0.012819,-4.000000,-2.000000,0.207820,189.000000,202.000000,96.390597,
test_bosch_p13_image1,bosch,test,1437,expert2,graded,"probabilities to native, bilinear, then thresholded",0.969246,2.010076,0.010128,-9.000000,-10.000000,-2.638023,194.000000,210.000000,99.236441,
test_bosch_p13_image1,bosch,test,1437,expert3,graded,"probabilities to native, bilinear, then thresholded",0.972751,0.950624,0.004789,-5.000000,-7.000000,-2.646042,190.000000,207.000000,99.244460,
test_bosch_p13_image1,bosch,test,1437,expert4,graded,"probabilities to native, bilinear, then thresholded",0.965853,3.580750,0.018397,-5.000000,-1.000000,-0.720606,190.000000,201.000000,97.319024,
test_bosch_p13_image1,bosch,test,1437,expert5,graded,"probabilities to native, bilinear, then thresholded",0.952964,6.902125,0.035165,-5.000000,-3.000000,-1.539761,190.000000,203.000000,98.138179,
test_bosch_p13_image2,bosch,test,1437,expert1,graded,"probabilities to native, bilinear, then thresholded",0.950758,5.338377,0.028462,6.000000,3.000000,3.085518,180.000000,198.000000,93.779443,
test_bosch_p13_image2,bosch,test,1437,expert2,graded,"probabilities to native, bilinear, then thresholded",0.962719,2.844670,0.014200,-5.000000,-10.000000,-3.298952,191.000000,211.000000,100.163912,
test_bosch_p13_image2,bosch,test,1437,expert3,graded,"probabilities to native, bilinear, then thresholded",0.975129,0.645996,0.003258,-3.000000,-7.000000,-2.268785,189.000000,208.000000,99.133745,
test_bosch_p13_image2,bosch,test,1437,expert4,graded,"probabilities to native, bilinear, then thresholded",0.969958,3.580535,0.018099,-5.000000,-8.000000,-2.050202,191.000000,209.000000,98.915162,
test_bosch_p13_image2,bosch,test,1437,expert5,graded,"probabilities to native, bilinear, then thresholded",0.965076,3.994881,0.020053,-5.000000,-8.000000,-2.741269,191.000000,209.000000,99.606229,
test_bosch_p14_image1,bosch,test,1440,expert1,graded,"probabilities to native, bilinear, then thresholded",0.964092,5.952317,0.029265,3.000000,2.000000,0.678510,196.000000,209.000000,101.696640,
test_bosch_p14_image1,bosch,test,1440,expert2,graded,"probabilities to native, bilinear, then thresholded",0.968902,1.254241,0.005942,-11.000000,-2.000000,-3.156960,210.000000,213.000000,105.532110,
test_bosch_p14_image1,bosch,test,1440,expert3,graded,"probabilities to native, bilinear, then thresholded",0.979199,0.626720,0.003025,-1.000000,-7.000000,-1.205510,200.000000,218.000000,103.580660,
test_bosch_p14_image1,bosch,test,1440,expert4,graded,"probabilities to native, bilinear, then thresholded",0.934390,8.983999,0.043286,-2.000000,-3.000000,-1.398932,201.000000,214.000000,103.774082,
test_bosch_p14_image1,bosch,test,1440,expert5,graded,"probabilities to native, bilinear, then thresholded",0.962045,4.198432,0.019935,-8.000000,-4.000000,-2.930500,207.000000,215.000000,105.305649,
test_bosch_p14_image2,bosch,test,1436,expert1,graded,"probabilities to native, bilinear, then thresholded",0.949606,3.072588,0.015615,11.000000,2.000000,4.054366,188.000000,209.000000,98.387611,
test_bosch_p14_image2,bosch,test,1436,expert2,graded,"probabilities to native, bilinear, then thresholded",0.962662,2.475859,0.011701,-8.000000,-12.000000,-3.356734,207.000000,223.000000,105.798711,
test_bosch_p14_image2,bosch,test,1436,expert3,graded,"probabilities to native, bilinear, then thresholded",0.987927,0.879018,0.004280,-1.000000,-3.000000,-0.245177,200.000000,214.000000,102.687154,
test_bosch_p14_image2,bosch,test,1436,expert4,graded,"probabilities to native, bilinear, then thresholded",0.970076,3.279127,0.015791,-4.000000,-6.000000,-1.385769,203.000000,217.000000,103.827746,
test_bosch_p14_image2,bosch,test,1436,expert5,graded,"probabilities to native, bilinear, then thresholded",0.952397,7.024802,0.033920,-4.000000,0.000000,-1.107947,203.000000,211.000000,103.549924,
test_bosch_p15_image1,bosch,test,1440,expert1,graded,"probabilities to native, bilinear, then thresholded",0.952171,6.325194,0.031245,6.000000,9.000000,2.950782,193.000000,209.000000,101.219762,
test_bosch_p15_image1,bosch,test,1440,expert2,graded,"probabilities to native, bilinear, then thresholded",0.977148,2.050455,0.009913,6.000000,1.000000,0.743652,193.000000,217.000000,103.426892,
test_bosch_p15_image1,bosch,test,1440,expert3,graded,"probabilities to native, bilinear, then thresholded",0.957304,1.943059,0.009733,13.000000,4.000000,4.353623,186.000000,214.000000,99.816921,
test_bosch_p15_image1,bosch,test,1440,expert4,graded,"probabilities to native, bilinear, then thresholded",0.951068,7.203421,0.035065,-6.000000,6.000000,1.455496,205.000000,212.000000,102.715048,
test_bosch_p15_image1,bosch,test,1440,expert5,graded,"probabilities to native, bilinear, then thresholded",0.968139,4.892872,0.023697,0.000000,4.000000,0.931558,199.000000,214.000000,103.238986,
test_bosch_p15_image2,bosch,test,1437,expert1,graded,"probabilities to native, bilinear, then thresholded",0.934131,2.459619,0.012881,13.000000,9.000000,6.262609,179.000000,207.000000,95.473148,
test_bosch_p15_image2,bosch,test,1437,expert2,graded,"probabilities to native, bilinear, then thresholded",0.959798,3.873617,0.018364,-7.000000,-17.000000,-3.729975,199.000000,233.000000,105.465732,
test_bosch_p15_image2,bosch,test,1437,expert3,graded,"probabilities to native, bilinear, then thresholded",0.967907,4.741473,0.023215,0.000000,1.000000,-0.385675,192.000000,215.000000,102.121432,
test_bosch_p15_image2,bosch,test,1437,expert4,graded,"probabilities to native, bilinear, then thresholded",0.935738,8.575830,0.041585,-9.000000,11.000000,-1.376739,201.000000,205.000000,103.112496,
test_bosch_p15_image2,bosch,test,1437,expert5,graded,"probabilities to native, bilinear, then thresholded",0.969778,4.637148,0.022389,-5.000000,-2.000000,-1.824926,197.000000,218.000000,103.560683,
test_bosch_p16_image1,bosch,test,1438,expert1,graded,"probabilities to native, bilinear, then thresholded",0.942934,2.795317,0.015325,7.000000,16.000000,5.246545,186.000000,176.000000,91.203476,
test_bosch_p16_image1,bosch,test,1438,expert2,graded,"probabilities to native, bilinear, then thresholded",0.975565,1.410880,0.007185,2.000000,-6.000000,-1.727073,191.000000,198.000000,98.177093,
test_bosch_p16_image1,bosch,test,1438,expert3,graded,"probabilities to native, bilinear, then thresholded",0.978269,0.422579,0.002146,0.000000,-10.000000,-2.013590,193.000000,202.000000,98.463610,
test_bosch_p16_image1,bosch,test,1438,expert4,graded,"probabilities to native, bilinear, then thresholded",0.965220,3.232769,0.016254,0.000000,-7.000000,-2.994696,193.000000,199.000000,99.444716,
test_bosch_p16_image1,bosch,test,1438,expert5,graded,"probabilities to native, bilinear, then thresholded",0.942438,1.164116,0.005697,-13.000000,-11.000000,-5.721271,206.000000,203.000000,102.171291,
test_bosch_p16_image2,bosch,test,1437,expert1,graded,"probabilities to native, bilinear, then thresholded",0.961072,4.477632,0.023374,4.000000,9.000000,3.277212,189.000000,195.000000,95.781048,
test_bosch_p16_image2,bosch,test,1437,expert2,graded,"probabilities to native, bilinear, then thresholded",0.975221,0.453183,0.002268,4.000000,-9.000000,-0.855876,189.000000,213.000000,99.914136,
test_bosch_p16_image2,bosch,test,1437,expert3,graded,"probabilities to native, bilinear, then thresholded",0.979415,2.162122,0.011020,-1.000000,3.000000,0.954143,194.000000,201.000000,98.104117,
test_bosch_p16_image2,bosch,test,1437,expert4,graded,"probabilities to native, bilinear, then thresholded",0.944061,8.011965,0.040486,-4.000000,5.000000,0.110923,197.000000,199.000000,98.947337,
test_bosch_p16_image2,bosch,test,1437,expert5,graded,"probabilities to native, bilinear, then thresholded",0.976968,3.744876,0.018810,0.000000,-1.000000,-0.485634,193.000000,205.000000,99.543894,
test_bosch_p17_image1,bosch,test,1437,expert1,graded,"probabilities to native, bilinear, then thresholded",0.938247,7.370418,0.040185,3.000000,7.000000,1.887864,176.000000,193.000000,91.706409,
test_bosch_p17_image1,bosch,test,1437,expert2,graded,"probabilities to native, bilinear, then thresholded",0.959273,4.051253,0.021392,-4.000000,-3.000000,-1.095498,183.000000,203.000000,94.689772,
