key,grade,readers,outcome,verdict,gradeable,bad,good,usable,note
train_100_a,good,,graded,usable,0.558009,0.441991,0.062766,0.495242,
train_101_a,good,,graded,good,0.999963,0.000037,0.996047,0.003916,
train_102_a,usable,,graded,usable,0.863007,0.136993,0.107507,0.755500,
train_103_a,good,,graded,usable,0.952605,0.047395,0.459169,0.493436,
train_104_a,good,,graded,usable,0.969841,0.030159,0.379533,0.590307,
train_105_a,good,,graded,good,0.993946,0.006054,0.778686,0.215260,
train_106_a,usable,,graded,bad,0.193524,0.806477,0.010607,0.182916,
train_107_a,usable,,graded,bad,0.484750,0.515250,0.016179,0.468571,
train_108_a,usable,,graded,bad,0.389800,0.610200,0.013899,0.375901,
train_109_a,usable,,graded,bad,0.406926,0.593074,0.007112,0.399814,
train_10_a,good,,graded,good,0.958107,0.041893,0.782618,0.175489,
train_110_a,good,,graded,usable,0.899977,0.100023,0.176607,0.723369,
train_111_a,good,,graded,usable,0.796532,0.203468,0.089290,0.707241,
train_112_a,good,,graded,good,0.999924,0.000076,0.988456,0.011468,
train_113_a,good,,graded,good,0.996723,0.003277,0.895528,0.101195,
train_114_a,good,,graded,good,0.984016,0.015984,0.732264,0.251751,
train_115_a,good,,graded,good,0.999007,0.000993,0.968325,0.030682,
train_116_a,good,,graded,good,0.999632,0.000368,0.983137,0.016495,
train_117_a,good,,graded,usable,0.845106,0.154894,0.049245,0.795861,
train_118_a,good,,graded,good,0.987686,0.012314,0.607906,0.379781,
train_119_a,good,,graded,good,0.993818,0.006182,0.903304,0.090514,
train_11_a,good,,graded,good,0.998231,0.001770,0.967684,0.030547,
train_120_a,good,,graded,usable,0.845620,0.154380,0.171149,0.674471,
train_121_a,good,,graded,usable,0.969981,0.030019,0.463640,0.506341,
train_122_a,good,,graded,usable,0.804259,0.195741,0.048036,0.756223,
train_123_a,good,,graded,usable,0.955735,0.044265,0.190501,0.765234,
train_124_a,good,,graded,usable,0.734999,0.265001,0.131074,0.603925,
train_125_a,good,,graded,good,0.992941,0.007059,0.877454,0.115487,
train_126_a,good,,graded,usable,0.961039,0.038961,0.351629,0.609410,
train_127_a,good,,graded,usable,0.623940,0.376060,0.012236,0.611704,
train_128_a,good,,graded,usable,0.820057,0.179943,0.045877,0.774180,
train_129_a,good,,graded,good,0.984585,0.015415,0.784155,0.200430,
train_12_a,good,,graded,good,0.996072,0.003928,0.901055,0.095017,
train_130_a,good,,graded,bad,0.502147,0.497853,0.041265,0.460882,
train_131_a,usable,,graded,usable,0.830835,0.169165,0.289893,0.540942,
train_132_a,good,,graded,good,0.992600,0.007400,0.791501,0.201099,
train_133_a,good,,graded,good,0.999262,0.000738,0.951977,0.047285,
train_134_a,good,,graded,usable,0.906247,0.093753,0.311741,0.594505,
train_135_a,good,,graded,good,0.996527,0.003473,0.851747,0.144780,
train_136_a,good,,graded,good,0.997764,0.002236,0.931332,0.066432,
train_137_a,good,,graded,good,0.997727,0.002273,0.896822,0.100905,
train_138_a,usable,,graded,bad,0.399065,0.600935,0.038315,0.360750,
train_139_a,good,,graded,bad,0.477153,0.522847,0.037897,0.439256,
train_13_a,good,,graded,good,0.992880,0.007120,0.878010,0.114870,
train_140_a,good,,graded,usable,0.889844,0.110156,0.230453,0.659391,
train_141_a,good,,graded,usable,0.790011,0.209989,0.147261,0.642750,
train_142_a,good,,graded,usable,0.858999,0.141001,0.228488,0.630511,
train_143_a,bad,,graded,bad,0.281213,0.718787,0.006914,0.274300,
train_144_a,good,,graded,usable,0.648926,0.351074,0.035659,0.613267,
train_145_a,good,,graded,usable,0.888681,0.111319,0.235623,0.653058,
train_146_a,good,,graded,usable,0.892556,0.107444,0.138968,0.753588,
train_147_a,good,,graded,good,0.977643,0.022357,0.765539,0.212104,
train_148_a,good,,graded,usable,0.764393,0.235607,0.177491,0.586903,
train_149_a,good,,graded,usable,0.933994,0.066006,0.118558,0.815436,
train_14_a,good,,graded,usable,0.765108,0.234892,0.077708,0.687400,
train_150_a,good,,graded,good,0.999844,0.000156,0.987048,0.012796,
train_151_d,usable,,graded,usable,0.952758,0.047242,0.122870,0.829888,
train_152_d,good,,graded,good,0.999174,0.000826,0.978382,0.020792,
train_153_d,good,,graded,good,0.986435,0.013565,0.889112,0.097323,
train_154_d,good,,graded,good,0.991012,0.008988,0.559074,0.431939,
train_155_d,bad,,graded,bad,0.142560,0.857440,0.002753,0.139807,
train_156_d,good,,graded,good,0.994198,0.005802,0.870948,0.123249,
train_157_d,good,,graded,usable,0.915716,0.084284,0.198059,0.717657,
train_158_d,good,,graded,usable,0.544538,0.455462,0.045109,0.499428,
train_159_d,good,,graded,good,0.948461,0.051539,0.514848,0.433613,
train_15_a,good,,graded,good,0.988327,0.011673,0.782917,0.205410,
train_160_d,good,,graded,usable,0.922948,0.077052,0.361659,0.561289,
train_161_d,good,,graded,good,0.989910,0.010090,0.779251,0.210660,
train_162_d,good,,graded,good,0.974258,0.025742,0.575299,0.398959,
train_163_d,bad,,graded,bad,0.052975,0.947025,0.000522,0.052453,
train_164_d,good,,graded,good,0.999920,0.000080,0.989257,0.010663,
train_165_d,usable,,graded,bad,0.465012,0.534988,0.015946,0.449066,
train_166_d,bad,,graded,bad,0.132227,0.867773,0.001416,0.130811,
train_167_d,good,,graded,usable,0.639314,0.360686,0.095714,0.543600,
train_168_d,usable,,graded,bad,0.038468,0.961532,0.000547,0.037922,
train_169_d,usable,,graded,usable,0.701550,0.298449,0.112676,0.588875,
train_16_a,good,,graded,good,0.992359,0.007641,0.785060,0.207299,
train_170_d,good,,graded,good,0.985756,0.014244,0.568502,0.417254,
train_171_d,good,,graded,good,0.964600,0.035400,0.589475,0.375125,
train_172_d,good,,graded,good,0.999858,0.000142,0.990567,0.009291,
train_173_d,bad,,graded,bad,0.119616,0.880384,0.001195,0.118421,
train_174_d,good,,graded,good,0.983986,0.016014,0.608810,0.375177,
train_175_d,usable,,graded,usable,0.740745,0.259255,0.062843,0.677902,
train_176_d,good,,graded,good,0.965037,0.034963,0.584855,0.380182,
train_177_d,good,,graded,good,0.999907,0.000093,0.990202,0.009705,
train_178_d,good,,graded,good,0.989018,0.010982,0.638417,0.350601,
train_179_d,good,,graded,usable,0.897236,0.102764,0.329749,0.567486,
train_17_a,good,,graded,good,0.997983,0.002017,0.888262,0.109720,
train_180_d,good,,graded,good,0.939970,0.060030,0.534276,0.405695,
train_181_d,good,,graded,bad,0.340380,0.659620,0.012722,0.327658,
train_182_d,good,,graded,good,0.983328,0.016672,0.679152,0.304176,
train_183_d,good,,graded,usable,0.937105,0.062895,0.458751,0.478353,
train_184_d,good,,graded,good,0.973656,0.026344,0.833128,0.140528,
train_185_d,good,,graded,good,0.991942,0.008058,0.840297,0.151646,
train_186_d,good,,graded,good,0.957751,0.042249,0.566770,0.390982,
train_187_d,good,,graded,bad,0.442543,0.557457,0.033399,0.409144,
train_188_d,good,,graded,good,0.979604,0.020396,0.824009,0.155595,
train_189_d,usable,,graded,usable,0.835423,0.164577,0.175158,0.660266,
train_18_a,good,,graded,usable,0.750265,0.249735,0.087333,0.662932,
train_190_d,good,,graded,usable,0.822190,0.177810,0.273896,0.548293,
train_191_d,good,,graded,good,0.999915,0.000085,0.993077,0.006838,
train_192_d,good,,graded,good,0.996952,0.003048,0.908501,0.088451,
train_193_d,good,,graded,good,0.998286,0.001714,0.934576,0.063710,
train_194_d,good,,graded,usable,0.865630,0.134370,0.219067,0.646564,
train_195_d,good,,graded,usable,0.828352,0.171648,0.224730,0.603622,
train_196_d,good,,graded,usable,0.618998,0.381003,0.149884,0.469114,
train_197_d,good,,graded,good,0.999822,0.000178,0.992544,0.007278,
train_198_d,good,,graded,usable,0.799816,0.200184,0.147559,0.652256,
train_199_d,usable,,graded,usable,0.812453,0.187547,0.083782,0.728671,
train_19_a,good,,graded,good,0.999403,0.000597,0.974832,0.024570,
train_1_a,good,,graded,good,0.986712,0.013288,0.859637,0.127074,
train_200_d,good,,graded,good,0.996176,0.003824,0.834003,0.162172,
train_201_d,bad,,graded,bad,0.048835,0.951165,0.000223,0.048612,
train_202_d,good,,graded,usable,0.877686,0.122314,0.357098,0.520589,
train_203_d,good,,graded,good,0.960392,0.039608,0.623107,0.337286,
train_204_d,good,,graded,usable,0.880327,0.119673,0.239706,0.640621,
train_205_d,good,,graded,good,0.987363,0.012637,0.787121,0.200242,
train_206_d,good,,graded,usable,0.956683,0.043317,0.140971,0.815712,
train_207_d,good,,graded,good,0.998228,0.001772,0.968333,0.029895,
train_208_d,good,,graded,bad,0.051391,0.948609,0.003072,0.048319,
train_209_d,good,,graded,bad,0.444845,0.555155,0.078428,0.366417,
train_20_a,good,,graded,good,0.999811,0.000189,0.976719,0.023092,
train_210_d,usable,,graded,bad,0.144493,0.855507,0.004739,0.139755,
train_211_d,good,,graded,usable,0.628460,0.371540,0.049869,0.578590,
train_212_d,good,,graded,usable,0.931327,0.068673,0.161221,0.770106,
train_213_d,good,,graded,good,0.998765,0.001235,0.899637,0.099128,
train_214_d,good,,graded,bad,0.585956,0.414044,0.183748,0.402209,
train_215_d,bad,,graded,usable,0.736433,0.263567,0.036111,0.700322,
train_216_d,good,,graded,good,0.994775,0.005225,0.783106,0.211668,
train_217_d,good,,graded,good,0.893109,0.106891,0.461736,0.431373,
train_218_d,good,,graded,good,0.969184,0.030816,0.768958,0.200226,
train_219_d,usable,,graded,usable,0.667481,0.332519,0.097511,0.569970,
train_21_a,good,,graded,good,0.956824,0.043176,0.555914,0.400910,
train_220_d,good,,graded,usable,0.974954,0.025046,0.371114,0.603841,
train_221_d,good,,graded,usable,0.673291,0.326709,0.037077,0.636214,
train_222_d,bad,,graded,bad,0.017107,0.982893,0.000155,0.016952,
train_223_d,usable,,graded,usable,0.683640,0.316360,0.027628,0.656011,
train_224_d,good,,graded,usable,0.736291,0.263709,0.238752,0.497539,
train_225_d,good,,graded,usable,0.934484,0.065516,0.399342,0.535142,
train_226_d,good,,graded,good,0.982793,0.017207,0.807790,0.175003,
train_227_d,good,,graded,good,0.992992,0.007008,0.820924,0.172068,
train_228_d,good,,graded,good,0.987574,0.012426,0.677195,0.310379,
train_229_d,good,,graded,good,0.987735,0.012266,0.792380,0.195355,
train_22_a,good,,graded,good,0.988036,0.011964,0.780558,0.207478,
train_230_d,good,,graded,usable,0.878852,0.121148,0.099490,0.779362,
train_231_d,bad,,graded,bad,0.002523,0.997477,0.000015,0.002508,
train_232_d,good,,graded,usable,0.847216,0.152784,0.163569,0.683647,
train_233_d,good,,graded,bad,0.489130,0.510870,0.033140,0.455990,
train_234_d,good,,graded,usable,0.671599,0.328401,0.069795,0.601804,
train_235_d,good,,graded,usable,0.737702,0.262298,0.260624,0.477078,
train_236_d,good,,graded,good,0.989291,0.010709,0.735470,0.253822,
train_237_d,bad,,graded,bad,0.156296,0.843704,0.002308,0.153988,
train_238_d,good,,graded,bad,0.495158,0.504842,0.047228,0.447930,
train_239_d,good,,graded,usable,0.763743,0.236257,0.252975,0.510769,
train_23_a,good,,graded,good,0.998891,0.001109,0.945023,0.053868,
train_240_d,good,,graded,good,0.925388,0.074612,0.491368,0.434020,
train_241_d,good,,graded,bad,0.119841,0.880159,0.002570,0.117271,
train_242_d,usable,,graded,bad,0.401472,0.598528,0.038004,0.363468,
train_243_d,good,,graded,good,0.975838,0.024162,0.515478,0.460360,
train_244_d,good,,graded,good,0.992332,0.007668,0.910252,0.082080,
train_245_d,good,,graded,usable,0.850337,0.149663,0.151983,0.698355,
train_246_d,good,,graded,usable,0.928963,0.071037,0.442022,0.486942,
train_247_d,usable,,graded,bad,0.311616,0.688384,0.010963,0.300653,
train_248_d,good,,graded,good,0.979177,0.020823,0.628409,0.350768,
train_249_d,good,,graded,bad,0.412391,0.587609,0.071732,0.340660,
train_24_a,good,,graded,good,0.999567,0.000433,0.976498,0.023069,
train_250_d,usable,,graded,bad,0.086365,0.913635,0.002071,0.084294,
train_251_d,good,,graded,bad,0.378408,0.621592,0.073784,0.304624,
train_252_d,usable,,graded,bad,0.300777,0.699223,0.022487,0.278290,
train_253_d,good,,graded,bad,0.050496,0.949504,0.003643,0.046854,
train_254_d,good,,graded,good,0.999804,0.000196,0.978855,0.020949,
train_255_d,good,,graded,usable,0.927039,0.072961,0.430889,0.496150,
train_256_d,bad,,graded,bad,0.025918,0.974082,0.000214,0.025704,
train_257_d,good,,graded,good,0.984691,0.015309,0.788124,0.196567,
train_258_d,good,,graded,usable,0.806843,0.193157,0.244223,0.562620,
train_259_d,good,,graded,usable,0.877454,0.122546,0.210525,0.666929,
train_25_a,good,,graded,good,0.999842,0.000158,0.989172,0.010670,
train_260_d,usable,,graded,usable,0.659845,0.340155,0.039832,0.620013,
train_261_d,good,,graded,usable,0.933155,0.066844,0.399927,0.533229,
train_262_d,good,,graded,good,0.994680,0.005320,0.823630,0.171050,
train_263_d,good,,graded,good,0.996289,0.003711,0.879346,0.116943,
train_264_d,good,,graded,good,0.951063,0.048937,0.726032,0.225032,
train_265_d,good,,graded,usable,0.919490,0.080510,0.281619,0.637871,
train_266_d,usable,,graded,bad,0.053578,0.946422,0.001585,0.051993,
train_267_d,usable,,graded,bad,0.037125,0.962875,0.000480,0.036644,
train_268_d,usable,,graded,bad,0.152828,0.847172,0.002767,0.150061,
train_269_d,usable,,graded,bad,0.352445,0.647555,0.029225,0.323220,
train_26_a,good,,graded,good,0.998552,0.001448,0.960456,0.038096,
train_270_d,usable,,graded,bad,0.016101,0.983899,0.000120,0.015982,
train_271_d,good,,graded,good,0.980707,0.019293,0.686805,0.293901,
train_272_d,good,,graded,usable,0.831205,0.168794,0.330360,0.500845,
train_273_d,good,,graded,good,0.957213,0.042787,0.703619,0.253594,
train_274_d,good,,graded,good,0.993424,0.006576,0.773314,0.220110,
train_275_d,good,,graded,usable,0.902596,0.097404,0.251104,0.651492,
train_276_d,good,,graded,good,0.988418,0.011582,0.853075,0.135342,
train_277_d,bad,,graded,bad,0.039182,0.960818,0.000304,0.038878,
train_278_d,usable,,graded,bad,0.175239,0.824761,0.003584,0.171656,
train_279_d,good,,graded,good,0.996701,0.003299,0.933257,0.063443,
train_27_a,good,,graded,usable,0.964985,0.035015,0.235813,0.729173,
train_280_d,bad,,graded,bad,0.205417,0.794583,0.005165,0.200252,
train_281_d,bad,,graded,bad,0.189394,0.810606,0.006861,0.182533,
train_282_d,good,,graded,bad,0.582002,0.417998,0.168055,0.413947,
train_283_d,usable,,graded,bad,0.162230,0.837770,0.002989,0.159240,
train_284_d,bad,,graded,bad,0.044145,0.955855,0.000332,0.043813,
train_285_d,usable,,graded,bad,0.292810,0.707190,0.005638,0.287172,
train_286_d,good,,graded,usable,0.774657,0.225343,0.304836,0.469821,
train_287_d,usable,,graded,bad,0.031754,0.968246,0.000547,0.031206,
train_288_d,good,,graded,good,0.966965,0.033035,0.599862,0.367103,
train_289_d,good,,graded,usable,0.894859,0.105141,0.419526,0.475333,
train_28_a,good,,graded,good,0.998679,0.001321,0.976590,0.022089,
train_290_d,good,,graded,good,0.873364,0.126636,0.451721,0.421643,
train_291_d,good,,graded,good,0.998852,0.001148,0.920462,0.078391,
train_292_d,good,,graded,good,0.998747,0.001253,0.936296,0.062451,
train_293_d,good,,graded,good,0.986283,0.013717,0.623795,0.362488,
train_294_d,usable,,graded,usable,0.957478,0.042522,0.174319,0.783159,
train_295_d,good,,graded,good,0.987579,0.012421,0.745157,0.242423,
train_296_d,good,,graded,usable,0.754383,0.245617,0.175750,0.578633,
train_297_d,usable,,graded,bad,0.276764,0.723236,0.008914,0.267849,
train_298_d,usable,,graded,usable,0.686958,0.313042,0.078279,0.608679,
train_299_d,usable,,graded,bad,0.381851,0.618149,0.011582,0.370269,
train_29_a,bad,,graded,bad,0.185705,0.814295,0.004433,0.181272,
train_2_a,good,,graded,good,0.993615,0.006385,0.840071,0.153544,
train_300_d,good,,graded,usable,0.960028,0.039972,0.190864,0.769164,
train_301_g,bad,,graded,bad,0.155206,0.844794,0.004353,0.150853,
train_302_g,usable,,graded,bad,0.253866,0.746134,0.005368,0.248498,
train_303_g,usable,,graded,bad,0.110811,0.889189,0.003078,0.107733,
train_304_g,good,,graded,usable,0.546467,0.453533,0.038732,0.507734,
train_305_g,good,,graded,good,0.997287,0.002713,0.875307,0.121979,
train_306_g,good,,graded,usable,0.837823,0.162177,0.248071,0.589751,
train_307_g,usable,,graded,usable,0.580223,0.419777,0.056977,0.523246,
train_308_g,good,,graded,bad,0.100212,0.899788,0.003945,0.096267,
train_309_g,usable,,graded,bad,0.280131,0.719869,0.005891,0.274240,
train_30_a,good,,graded,good,0.996382,0.003617,0.943142,0.053240,
train_310_g,good,,graded,usable,0.683721,0.316279,0.142374,0.541347,
train_311_g,good,,graded,usable,0.935752,0.064248,0.239538,0.696213,
train_312_g,good,,graded,good,0.994650,0.005350,0.898305,0.096346,
train_313_g,good,,graded,good,0.985635,0.014365,0.515347,0.470288,
train_314_g,good,,graded,good,0.930320,0.069680,0.476482,0.453838,
train_315_g,good,,graded,good,0.971836,0.028164,0.664182,0.307654,
train_316_g,bad,,graded,bad,0.002921,0.997079,0.000027,0.002893,
train_317_g,usable,,graded,good,0.952584,0.047416,0.504006,0.448578,
train_318_g,good,,graded,usable,0.659809,0.340191,0.077765,0.582045,
train_319_g,bad,,graded,bad,0.007201,0.992799,0.000041,0.007161,
train_31_a,good,,graded,good,0.997878,0.002122,0.893356,0.104522,
train_320_g,usable,,graded,bad,0.399121,0.600879,0.014589,0.384532,
train_321_g,bad,,graded,bad,0.096538,0.903462,0.000741,0.095797,
train_322_g,good,,graded,bad,0.413270,0.586730,0.019141,0.394130,
train_323_g,bad,,graded,bad,0.011458,0.988541,0.000164,0.011295,
train_324_g,bad,,graded,bad,0.092334,0.907666,0.001047,0.091288,
train_325_g,bad,,graded,bad,0.007116,0.992884,0.000045,0.007071,
train_326_g,bad,,graded,bad,0.005898,0.994102,0.000032,0.005866,
train_327_g,good,,graded,usable,0.953943,0.046057,0.367454,0.586489,
train_328_g,usable,,graded,usable,0.546096,0.453904,0.038075,0.508022,
train_329_g,good,,graded,good,0.961811,0.038189,0.602906,0.358905,
train_32_a,good,,graded,good,0.996104,0.003896,0.893141,0.102963,
train_330_g,usable,,graded,bad,0.111592,0.888408,0.001391,0.110201,
train_331_g,bad,,graded,bad,0.002097,0.997903,0.000010,0.002087,
train_332_g,usable,,graded,bad,0.453499,0.546501,0.021090,0.432409,
train_333_g,good,,graded,usable,0.885182,0.114818,0.320994,0.564187,
train_334_g,bad,,graded,bad,0.074855,0.925145,0.000603,0.074253,
train_335_g,usable,,graded,bad,0.140638,0.859362,0.004228,0.136411,
train_336_g,usable,,graded,usable,0.695644,0.304356,0.090129,0.605515,
train_337_g,usable,,graded,bad,0.466466,0.533534,0.012120,0.454346,
train_338_g,usable,,graded,bad,0.273094,0.726906,0.005097,0.267997,
train_339_g,good,,graded,good,0.981858,0.018142,0.710122,0.271737,
train_33_a,good,,graded,good,0.998540,0.001460,0.963009,0.035531,
train_340_g,good,,graded,good,0.999114,0.000887,0.928120,0.070993,
train_341_g,bad,,graded,bad,0.002408,0.997592,0.000013,0.002395,
train_342_g,good,,graded,usable,0.847295,0.152705,0.263937,0.583359,
train_343_g,good,,graded,usable,0.809523,0.190477,0.129792,0.679731,
train_344_g,good,,graded,good,0.987394,0.012606,0.782807,0.204587,
train_345_g,good,,graded,good,0.998939,0.001061,0.962255,0.036684,
train_346_g,good,,graded,good,0.981348,0.018652,0.801853,0.179495,
train_347_g,good,,graded,good,0.988317,0.011683,0.817339,0.170978,
train_348_g,good,,graded,usable,0.842314,0.157686,0.244660,0.597654,
train_349_g,usable,,graded,bad,0.348092,0.651908,0.032102,0.315989,
train_34_a,good,,graded,good,0.987686,0.012314,0.607906,0.379781,
train_350_g,good,,graded,bad,0.480104,0.519896,0.084898,0.395206,
train_351_g,good,,graded,good,0.964200,0.035800,0.499405,0.464795,
train_352_g,usable,,graded,bad,0.057063,0.942937,0.000537,0.056526,
train_353_g,bad,,graded,bad,0.016851,0.983149,0.000125,0.016726,
train_354_g,usable,,graded,bad,0.417987,0.582013,0.025396,0.392591,
train_355_g,usable,,graded,bad,0.172178,0.827822,0.003115,0.169062,
train_356_g,good,,graded,good,0.997815,0.002185,0.908372,0.089443,
train_357_g,good,,graded,good,0.997777,0.002223,0.882675,0.115102,
train_358_g,good,,graded,good,0.999703,0.000297,0.991614,0.008090,
train_359_g,good,,graded,good,0.999930,0.000070,0.996523,0.003407,
train_35_a,good,,graded,good,0.983843,0.016157,0.663418,0.320425,
train_360_g,bad,,graded,bad,0.003166,0.996834,0.000014,0.003152,
train_361_g,bad,,graded,bad,0.002038,0.997962,0.000011,0.002027,
train_362_g,usable,,graded,bad,0.066955,0.933045,0.000864,0.066091,
train_363_g,bad,,graded,bad,0.011946,0.988054,0.000070,0.011876,
train_364_g,bad,,graded,bad,0.008047,0.991953,0.000039,0.008008,
train_365_g,usable,,graded,bad,0.223567,0.776433,0.003096,0.220471,
train_366_g,bad,,graded,bad,0.037286,0.962714,0.000235,0.037051,
train_367_g,good,,graded,good,0.872653,0.127347,0.457517,0.415137,
train_368_g,usable,,graded,bad,0.451257,0.548743,0.073320,0.377937,
train_369_g,usable,,graded,bad,0.442439,0.557561,0.030046,0.412393,
train_36_a,good,,graded,usable,0.929564,0.070436,0.266063,0.663501,
train_370_g,usable,,graded,usable,0.710844,0.289156,0.099107,0.611737,
train_371_g,bad,,graded,bad,0.446242,0.553758,0.008714,0.437528,
train_372_g,usable,,graded,usable,0.779334,0.220666,0.042950,0.736383,
train_373_g,bad,,graded,bad,0.002717,0.997283,0.000013,0.002704,
train_374_g,usable,,graded,bad,0.367288,0.632712,0.011607,0.355681,
train_375_g,usable,,graded,bad,0.368539,0.631461,0.011448,0.357091,
train_376_g,good,,graded,usable,0.869820,0.130180,0.345620,0.524200,
train_377_g,usable,,graded,usable,0.893672,0.106328,0.236820,0.656852,
train_378_g,good,,graded,usable,0.974725,0.025275,0.480384,0.494342,
train_379_g,usable,,graded,usable,0.572582,0.427418,0.053612,0.518971,
train_37_a,good,,graded,good,0.995216,0.004784,0.870785,0.124431,
train_380_g,bad,,graded,bad,0.009737,0.990263,0.000049,0.009688,
train_381_g,bad,,graded,bad,0.297684,0.702316,0.010668,0.287016,
train_382_g,bad,,graded,usable,0.664002,0.335998,0.106395,0.557607,
train_383_g,good,,graded,good,0.988563,0.011437,0.828527,0.160035,
train_384_g,bad,,graded,bad,0.005548,0.994452,0.000027,0.005521,
train_385_g,bad,,graded,bad,0.011180,0.988820,0.000078,0.011102,
train_386_g,good,,graded,usable,0.853461,0.146539,0.229522,0.623938,
train_387_g,good,,graded,usable,0.695407,0.304594,0.091641,0.603766,
train_388_g,good,,graded,usable,0.854449,0.145551,0.393120,0.461329,
train_389_g,good,,graded,good,0.985785,0.014215,0.588884,0.396902,
train_38_a,good,,graded,good,0.991302,0.008697,0.667600,0.323703,
train_390_g,good,,graded,usable,0.951951,0.048049,0.472396,0.479555,
train_391_g,usable,,graded,usable,0.606885,0.393115,0.068201,0.538685,
train_392_g,good,,graded,good,0.904391,0.095609,0.495912,0.408479,
train_393_g,usable,,graded,usable,0.576666,0.423334,0.048332,0.528334,
train_394_g,bad,,graded,bad,0.014111,0.985889,0.000173,0.013939,
train_395_g,usable,,graded,bad,0.165378,0.834622,0.001865,0.163513,
train_396_g,good,,graded,bad,0.519222,0.480778,0.083993,0.435228,
train_397_g,good,,graded,good,0.987417,0.012583,0.685704,0.301712,
train_398_g,good,,graded,usable,0.955664,0.044336,0.418644,0.537020,
train_399_g,usable,,graded,bad,0.258542,0.741458,0.016074,0.242468,
train_39_a,good,,graded,good,0.992600,0.007400,0.791501,0.201099,
train_3_a,good,,graded,good,0.992335,0.007665,0.766463,0.225872,
train_400_g,bad,,graded,bad,0.075673,0.924327,0.001026,0.074647,
train_401_g,bad,,graded,bad,0.002731,0.997269,0.000019,0.002713,
train_402_g,good,,graded,bad,0.200564,0.799436,0.028241,0.172323,
train_403_g,good,,graded,good,0.990655,0.009345,0.876947,0.113707,
train_404_g,bad,,graded,bad,0.016767,0.983233,0.000296,0.016471,
train_405_g,bad,,graded,bad,0.170026,0.829974,0.001663,0.168363,
train_406_g,bad,,graded,bad,0.113408,0.886592,0.001033,0.112374,
train_407_g,good,,graded,usable,0.713787,0.286213,0.099549,0.614237,
train_408_g,good,,graded,good,0.964046,0.035954,0.689176,0.274870,
train_409_g,good,,graded,good,0.991858,0.008142,0.866648,0.125209,
train_40_a,good,,graded,good,0.981434,0.018566,0.694129,0.287305,
train_410_g,bad,,graded,bad,0.322277,0.677723,0.011344,0.310933,
train_411_g,good,,graded,usable,0.937742,0.062258,0.217673,0.720069,
train_412_g,good,,graded,good,0.956567,0.043433,0.611286,0.345281,
train_413_g,good,,graded,bad,0.393311,0.606689,0.063214,0.330097,
train_414_g,good,,graded,usable,0.534694,0.465306,0.059420,0.475274,
