key,grade,readers,outcome,verdict,gradeable,bad,good,usable,note
img_00000,bad,consensus=bad;level1=usable;level2=bad;level3=bad,graded,bad,0.405369,0.594631,0.041265,0.364103,
img_00001,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,bad,0.014653,0.985347,0.000087,0.014567,
img_00002,bad,consensus=bad;level1=bad;level2=usable;level3=bad,graded,usable,0.765816,0.234184,0.023582,0.742234,
img_00003,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,bad,0.131236,0.868764,0.002136,0.129100,
img_00004,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,bad,0.002460,0.997540,0.000011,0.002449,
img_00005,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,bad,0.022339,0.977661,0.000506,0.021833,
img_00006,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,bad,0.003598,0.996402,0.000053,0.003545,
img_00007,good,consensus=good;level1=good;level2=good;level3=usable,graded,good,0.995598,0.004402,0.981869,0.013729,
img_00016,good,consensus=good;level1=good;level2=good;level3=usable,graded,good,0.999731,0.000269,0.996499,0.003233,
img_00026,usable,consensus=usable;level1=usable;level2=usable;level3=usable,graded,usable,0.883735,0.116265,0.187001,0.696734,
img_00046,good,consensus=good;level1=good;level2=good;level3=usable,graded,good,0.999342,0.000658,0.984935,0.014407,
img_00047,usable,consensus=usable;level1=usable;level2=usable;level3=usable,graded,good,0.997216,0.002784,0.955119,0.042097,
img_00048,usable,consensus=usable;level1=usable;level2=good;level3=usable,graded,good,0.999906,0.000094,0.995542,0.004364,
img_00049,good,consensus=good;level1=good;level2=good;level3=good,graded,good,0.999977,0.000023,0.998552,0.001425,
img_00056,good,consensus=good;level1=good;level2=good;level3=usable,graded,good,0.993564,0.006436,0.947409,0.046155,
img_00057,good,consensus=good;level1=good;level2=good;level3=usable,graded,good,0.999997,0.000003,0.999589,0.000409,
img_00058,usable,consensus=usable;level1=usable;level2=usable;level3=usable,graded,good,0.999832,0.000168,0.985776,0.014056,
img_00059,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,good,0.998208,0.001792,0.976617,0.021591,
img_00060,good,consensus=good;level1=good;level2=good;level3=usable,graded,good,0.662756,0.337244,0.348763,0.313993,
img_00073,usable,consensus=usable;level1=usable;level2=usable;level3=usable,graded,bad,0.496207,0.503793,0.056443,0.439764,
img_00074,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,usable,0.922801,0.077199,0.136306,0.786496,
img_00077,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,usable,0.980171,0.019829,0.279436,0.700735,
img_00082,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,usable,0.860939,0.139061,0.118683,0.742256,
img_00084,good,consensus=good;level1=good;level2=good;level3=usable,graded,good,0.998150,0.001850,0.914298,0.083852,
img_00085,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,good,0.981465,0.018535,0.545181,0.436284,
img_00086,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,good,0.997548,0.002452,0.948523,0.049025,
img_00087,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,usable,0.864661,0.135339,0.268426,0.596235,
img_00089,good,consensus=good;level1=good;level2=good;level3=good,graded,good,0.999990,0.000010,0.997693,0.002297,
img_00090,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,usable,0.817539,0.182461,0.235475,0.582064,
img_00096,bad,consensus=bad;level1=usable;level2=bad;level3=bad,graded,usable,0.566463,0.433537,0.008160,0.558303,
img_00097,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,bad,0.021733,0.978267,0.000107,0.021626,
img_00098,good,consensus=good;level1=good;level2=usable;level3=good,graded,good,0.999930,0.000070,0.995139,0.004791,
img_00099,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,good,0.998733,0.001267,0.902052,0.096681,
img_00100,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,usable,0.992383,0.007617,0.403979,0.588404,
img_00101,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,good,0.999775,0.000225,0.962807,0.036968,
img_00102,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,good,0.981385,0.018615,0.699572,0.281813,
img_00103,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,bad,0.109381,0.890619,0.007699,0.101682,
img_00104,good,consensus=good;level1=good;level2=good;level3=good,graded,good,0.999391,0.000609,0.983407,0.015985,
img_00105,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,good,0.911899,0.088101,0.566790,0.345109,
img_00106,bad,consensus=bad;level1=bad;level2=usable;level3=bad,graded,usable,0.860736,0.139264,0.080026,0.780710,
img_00107,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,good,0.981036,0.018964,0.661716,0.319320,
img_00110,usable,consensus=usable;level1=usable;level2=usable;level3=usable,graded,usable,0.814707,0.185293,0.033461,0.781246,
img_00111,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,usable,0.534293,0.465707,0.008996,0.525297,
img_00112,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,usable,0.810339,0.189661,0.212784,0.597554,
img_00113,bad,consensus=bad;level1=bad;level2=usable;level3=bad,graded,usable,0.762650,0.237350,0.210726,0.551924,
img_00114,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,usable,0.822356,0.177644,0.209129,0.613227,
img_00115,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,bad,0.021253,0.978747,0.000278,0.020976,
img_00116,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,bad,0.003717,0.996283,0.000021,0.003696,
img_00117,bad,consensus=bad;level1=usable;level2=bad;level3=bad,graded,bad,0.022583,0.977417,0.000171,0.022413,
img_00118,bad,consensus=bad;level1=usable;level2=bad;level3=bad,graded,good,0.997301,0.002699,0.868504,0.128798,
img_00119,bad,consensus=bad;level1=usable;level2=bad;level3=bad,graded,good,0.997959,0.002041,0.915743,0.082216,
img_00120,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,usable,0.858596,0.141404,0.090762,0.767835,
img_00121,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,bad,0.185481,0.814519,0.006084,0.179396,
img_00122,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,bad,0.007527,0.992473,0.000025,0.007502,
img_00127,bad,consensus=bad;level1=usable;level2=bad;level3=bad,graded,bad,0.113565,0.886435,0.000926,0.112639,
img_00131,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,usable,0.800829,0.199171,0.186461,0.614368,
img_00132,bad,consensus=bad;level1=usable;level2=bad;level3=bad,graded,bad,0.169587,0.830413,0.004925,0.164662,
img_00133,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,usable,0.812821,0.187179,0.054841,0.757980,
img_00134,bad,consensus=bad;level1=usable;level2=bad;level3=bad,graded,usable,0.755173,0.244827,0.027883,0.727291,
img_00139,good,consensus=good;level1=good;level2=good;level3=good,graded,good,1.000000,0.000000,0.999905,0.000095,
img_00140,good,consensus=good;level1=good;level2=good;level3=good,graded,good,0.997827,0.002173,0.920233,0.077594,
img_00147,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,good,0.999745,0.000255,0.978213,0.021533,
img_00148,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,good,0.997803,0.002197,0.724992,0.272811,
img_00155,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,usable,0.854697,0.145303,0.100908,0.753789,
img_00156,good,consensus=good;level1=good;level2=good;level3=usable,graded,good,0.991849,0.008151,0.812039,0.179810,
img_00157,good,consensus=good;level1=good;level2=good;level3=good,graded,good,0.999715,0.000285,0.979833,0.019881,
img_00158,usable,consensus=usable;level1=bad;level2=usable;level3=usable,graded,usable,0.980933,0.019067,0.292334,0.688599,
img_00165,good,consensus=good;level1=good;level2=usable;level3=good,graded,good,0.929664,0.070336,0.877391,0.052273,
img_00166,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,good,0.972862,0.027138,0.649377,0.323485,
img_00167,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,usable,0.814812,0.185188,0.321502,0.493310,
img_00168,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,good,0.958430,0.041570,0.719873,0.238557,
img_00169,usable,consensus=usable;level1=usable;level2=usable;level3=usable,graded,good,0.964038,0.035962,0.744763,0.219275,
img_00200,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,good,0.999536,0.000464,0.961697,0.037839,
img_00201,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,usable,0.986192,0.013808,0.253697,0.732495,
img_00202,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,usable,0.981277,0.018723,0.479042,0.502235,
img_00203,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,bad,0.002050,0.997950,0.000009,0.002040,
img_00204,bad,consensus=bad;level1=bad;level2=usable;level3=bad,graded,usable,0.915859,0.084141,0.060154,0.855705,
img_00205,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,usable,0.985012,0.014988,0.372492,0.612520,
img_00206,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,good,0.900223,0.099777,0.495751,0.404472,
img_00207,bad,consensus=bad;level1=bad;level2=usable;level3=bad,graded,usable,0.970300,0.029700,0.088852,0.881448,
img_00208,bad,consensus=bad;level1=bad;level2=usable;level3=bad,graded,usable,0.929691,0.070309,0.241858,0.687834,
img_00209,bad,consensus=bad;level1=bad;level2=usable;level3=bad,graded,usable,0.972555,0.027445,0.163498,0.809058,
img_00210,good,consensus=good;level1=good;level2=good;level3=good,graded,good,0.999770,0.000230,0.985410,0.014360,
img_00211,bad,consensus=bad;level1=usable;level2=bad;level3=bad,graded,usable,0.838122,0.161878,0.128034,0.710088,
img_00213,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,good,0.992334,0.007666,0.857266,0.135068,
img_00214,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,usable,0.767276,0.232724,0.015856,0.751420,
img_00215,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,usable,0.902836,0.097164,0.070171,0.832664,
img_00216,bad,consensus=bad;level1=usable;level2=bad;level3=bad,graded,usable,0.897377,0.102623,0.115560,0.781816,
img_00217,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,usable,0.875990,0.124010,0.062635,0.813355,
img_00218,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,usable,0.862789,0.137211,0.015244,0.847545,
img_00219,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,usable,0.757725,0.242275,0.016938,0.740787,
img_00231,bad,consensus=bad;level1=usable;level2=bad;level3=bad,graded,usable,0.961310,0.038690,0.154116,0.807194,
img_00232,bad,consensus=bad;level1=usable;level2=bad;level3=bad,graded,usable,0.825663,0.174337,0.054237,0.771427,
