key,grade,readers,outcome,verdict,gradeable,bad,good,usable,note
train_local1_1,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,good,0.987588,0.012412,0.822042,0.165546,
train_local1_10,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,good,0.964609,0.035391,0.603822,0.360787,
train_local1_100,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.018965,0.981035,0.000093,0.018872,
train_local1_101,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.002372,0.997628,0.000014,0.002358,
train_local1_102,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.002493,0.997507,0.000014,0.002479,
train_local1_103,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.048496,0.951504,0.001159,0.047337,
train_local1_104,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.003177,0.996823,0.000016,0.003160,
train_local1_105,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.014686,0.985314,0.000132,0.014553,
train_local1_106,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.005808,0.994192,0.000035,0.005773,
train_local1_107,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.002065,0.997935,0.000010,0.002055,
train_local1_108,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.022915,0.977085,0.000189,0.022726,
train_local1_109,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.002481,0.997519,0.000013,0.002468,
train_local1_11,good,annotator1=good;annotator2=bad;annotator3=good;consensus=good,graded,usable,0.798267,0.201733,0.194073,0.604194,
train_local1_110,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.002006,0.997994,0.000009,0.001996,
train_local1_111,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.003269,0.996731,0.000033,0.003237,
train_local1_112,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.002032,0.997968,0.000010,0.002022,
train_local1_113,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.002050,0.997950,0.000010,0.002040,
train_local1_114,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.002033,0.997967,0.000010,0.002023,
train_local1_115,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.003800,0.996200,0.000015,0.003785,
train_local1_116,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.491315,0.508685,0.030115,0.461200,
train_local1_117,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.044967,0.955033,0.000484,0.044483,
train_local1_118,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.002293,0.997707,0.000015,0.002278,
train_local1_119,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.002318,0.997682,0.000015,0.002303,
train_local1_12,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,usable,0.964544,0.035456,0.474221,0.490323,
train_local1_120,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.012576,0.987424,0.000241,0.012335,
train_local1_121,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.008659,0.991341,0.000069,0.008590,
train_local1_122,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.003483,0.996517,0.000047,0.003435,
train_local1_123,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.005296,0.994704,0.000079,0.005217,
train_local1_124,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.006588,0.993411,0.000164,0.006424,
train_local1_125,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.006061,0.993939,0.000037,0.006025,
train_local1_126,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.002370,0.997630,0.000014,0.002356,
train_local1_127,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.001836,0.998164,0.000010,0.001827,
train_local1_128,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.002367,0.997633,0.000015,0.002352,
train_local1_129,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,usable,0.629911,0.370089,0.059766,0.570144,
train_local1_13,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,good,0.956501,0.043499,0.486649,0.469852,
train_local1_130,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.371646,0.628354,0.021232,0.350414,
train_local1_131,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.002596,0.997404,0.000016,0.002580,
train_local1_132,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.002851,0.997149,0.000029,0.002822,
train_local1_133,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.005225,0.994775,0.000050,0.005175,
train_local1_134,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.002178,0.997822,0.000011,0.002166,
train_local1_135,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.002111,0.997889,0.000011,0.002100,
train_local1_136,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.001812,0.998188,0.000008,0.001804,
train_local1_137,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.002298,0.997702,0.000013,0.002285,
train_local1_138,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.002558,0.997442,0.000013,0.002545,
train_local1_139,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.004070,0.995930,0.000019,0.004052,
train_local1_14,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,usable,0.841387,0.158613,0.299866,0.541521,
train_local1_140,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,bad,0.179947,0.820053,0.006681,0.173266,
train_local1_141,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.074062,0.925938,0.000563,0.073499,
train_local1_142,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.078072,0.921928,0.001027,0.077045,
train_local1_143,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.072424,0.927576,0.001129,0.071295,
train_local1_144,bad,annotator1=bad;annotator2=good;annotator3=bad;consensus=bad,graded,bad,0.062119,0.937881,0.000657,0.061462,
train_local1_145,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.202012,0.797988,0.004715,0.197297,
train_local1_146,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.003418,0.996582,0.000031,0.003387,
train_local1_147,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.004479,0.995521,0.000023,0.004456,
train_local1_148,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.020694,0.979306,0.000202,0.020491,
train_local1_149,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.002655,0.997346,0.000019,0.002635,
train_local1_15,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,usable,0.806247,0.193753,0.179970,0.626277,
train_local1_150,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.002052,0.997948,0.000011,0.002041,
train_local1_151,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.002271,0.997729,0.000013,0.002258,
