key,subset,split,grade,grade_source,pad_fraction,readers,outcome,verdict,carried_by_its_pipeline,gradeable,bad,good,usable,note
test_dr_xju_223,cfp,test,bad,published,0.2139,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,false,0.002717,0.997283,0.000013,0.002704,
test_dr_zju_151,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,good,true,0.999832,0.000168,0.991142,0.008690,
test_dr_zju_152,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,usable,true,0.925382,0.074618,0.356154,0.569228,
test_dr_zju_153,cfp,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad,graded,bad,false,0.098235,0.901765,0.002147,0.096088,
test_dr_zju_156,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,good,true,0.994201,0.005799,0.813658,0.180542,
test_dr_zju_158,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,good,true,0.987917,0.012083,0.671970,0.315946,
test_dr_zju_159,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,usable,true,0.940784,0.059216,0.230920,0.709863,
test_dr_zju_160,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,usable,false,0.734261,0.265739,0.056127,0.678134,
test_dr_zju_161,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,good,true,0.998429,0.001571,0.911985,0.086444,
test_dr_zju_162,cfp,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad,graded,bad,false,0.317755,0.682245,0.005760,0.311995,
test_dr_zju_163,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,good,true,0.995769,0.004231,0.898907,0.096862,
test_dr_zju_164,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,good,true,0.997532,0.002468,0.892012,0.105521,
test_dr_zju_165,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,good,true,0.998832,0.001168,0.954666,0.044166,
test_dr_zju_167,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,good,true,0.986882,0.013118,0.702218,0.284664,
