key,grade,readers,outcome,verdict,gradeable,note
train_100_a,good,,graded,,0.375652,
train_101_a,good,,graded,,0.791883,
train_102_a,usable,,graded,,0.371771,
train_103_a,good,,graded,,0.635723,
train_104_a,good,,graded,,0.607604,
train_105_a,good,,graded,,0.559939,
train_106_a,usable,,graded,,0.054098,
train_107_a,usable,,graded,,0.268077,
train_108_a,usable,,graded,,0.182448,
train_109_a,usable,,graded,,0.130650,
train_10_a,good,,graded,,0.788723,
train_110_a,good,,graded,,0.420511,
train_111_a,good,,graded,,0.332154,
train_112_a,good,,graded,,0.830848,
train_113_a,good,,graded,,0.700185,
train_114_a,good,,graded,,0.740057,
train_115_a,good,,graded,,0.862978,
train_116_a,good,,graded,,0.875984,
train_117_a,good,,graded,,0.353637,
train_118_a,good,,graded,,0.446480,
train_119_a,good,,graded,,0.733280,
train_11_a,good,,graded,,0.807473,
train_120_a,good,,graded,,0.439395,
train_121_a,good,,graded,,0.568280,
train_122_a,good,,graded,,0.345854,
train_123_a,good,,graded,,0.315179,
train_124_a,good,,graded,,0.406774,
train_125_a,good,,graded,,0.749734,
train_126_a,good,,graded,,0.482355,
train_127_a,good,,graded,,0.348771,
train_128_a,good,,graded,,0.340511,
train_129_a,good,,graded,,0.723262,
train_12_a,good,,graded,,0.819185,
train_130_a,good,,graded,,0.438506,
train_131_a,usable,,graded,,0.341872,
train_132_a,good,,graded,,0.612992,
train_133_a,good,,graded,,0.827979,
train_134_a,good,,graded,,0.225133,
train_135_a,good,,graded,,0.762220,
train_136_a,good,,graded,,0.811534,
train_137_a,good,,graded,,0.693089,
train_138_a,usable,,graded,,0.194793,
train_139_a,good,,graded,,0.206237,
train_13_a,good,,graded,,0.815207,
train_140_a,good,,graded,,0.508293,
train_141_a,good,,graded,,0.306889,
train_142_a,good,,graded,,0.421528,
train_143_a,bad,,graded,,0.363083,
train_144_a,good,,graded,,0.269116,
train_145_a,good,,graded,,0.513803,
train_146_a,good,,graded,,0.436555,
train_147_a,good,,graded,,0.628806,
train_148_a,good,,graded,,0.278712,
train_149_a,good,,graded,,0.276326,
train_14_a,good,,graded,,0.474559,
train_150_a,good,,graded,,0.788256,
train_151_d,usable,,graded,,0.263173,
train_152_d,good,,graded,,0.722138,
train_153_d,good,,graded,,0.728676,
train_154_d,good,,graded,,0.528300,
train_155_d,bad,,graded,,0.116458,
train_156_d,good,,graded,,0.630654,
train_157_d,good,,graded,,0.299003,
train_158_d,good,,graded,,0.248279,
train_159_d,good,,graded,,0.471890,
train_15_a,good,,graded,,0.739326,
train_160_d,good,,graded,,0.410341,
train_161_d,good,,graded,,0.725912,
train_162_d,good,,graded,,0.481889,
train_163_d,bad,,graded,,0.078805,
train_164_d,good,,graded,,0.798562,
train_165_d,usable,,graded,,0.100136,
train_166_d,bad,,graded,,0.079678,
train_167_d,good,,graded,,0.357404,
train_168_d,usable,,graded,,0.108305,
train_169_d,usable,,graded,,0.277552,
train_16_a,good,,graded,,0.611974,
train_170_d,good,,graded,,0.364058,
train_171_d,good,,graded,,0.661466,
train_172_d,good,,graded,,0.812708,
train_173_d,bad,,graded,,0.108007,
train_174_d,good,,graded,,0.478422,
train_175_d,usable,,graded,,0.152028,
train_176_d,good,,graded,,0.491933,
train_177_d,good,,graded,,0.789253,
train_178_d,good,,graded,,0.585601,
train_179_d,good,,graded,,0.601130,
train_17_a,good,,graded,,0.672501,
train_180_d,good,,graded,,0.298471,
train_181_d,good,,graded,,0.126856,
train_182_d,good,,graded,,0.650756,
train_183_d,good,,graded,,0.275209,
train_184_d,good,,graded,,0.551104,
train_185_d,good,,graded,,0.732847,
train_186_d,good,,graded,,0.313020,
train_187_d,good,,graded,,0.224797,
train_188_d,good,,graded,,0.656258,
train_189_d,usable,,graded,,0.371547,
train_18_a,good,,graded,,0.533452,
train_190_d,good,,graded,,0.413029,
train_191_d,good,,graded,,0.784124,
train_192_d,good,,graded,,0.721356,
train_193_d,good,,graded,,0.776860,
train_194_d,good,,graded,,0.310969,
train_195_d,good,,graded,,0.683509,
train_196_d,good,,graded,,0.544090,
train_197_d,good,,graded,,0.828222,
train_198_d,good,,graded,,0.271070,
train_199_d,usable,,graded,,0.186527,
train_19_a,good,,graded,,0.736719,
train_1_a,good,,graded,,0.675918,
train_200_d,good,,graded,,0.427651,
train_201_d,bad,,graded,,0.055842,
train_202_d,good,,graded,,0.309783,
train_203_d,good,,graded,,0.724515,
train_204_d,good,,graded,,0.250847,
train_205_d,good,,graded,,0.591193,
train_206_d,good,,graded,,0.355104,
train_207_d,good,,graded,,0.806956,
train_208_d,good,,graded,,0.387788,
train_209_d,good,,graded,,0.285957,
train_20_a,good,,graded,,0.770603,
train_210_d,usable,,graded,,0.235197,
train_211_d,good,,graded,,0.152152,
train_212_d,good,,graded,,0.581934,
train_213_d,good,,graded,,0.677737,
train_214_d,good,,graded,,0.848625,
train_215_d,bad,,graded,,0.114570,
train_216_d,good,,graded,,0.529691,
train_217_d,good,,graded,,0.566925,
train_218_d,good,,graded,,0.742867,
train_219_d,usable,,graded,,0.481952,
train_21_a,good,,graded,,0.421380,
train_220_d,good,,graded,,0.355275,
train_221_d,good,,graded,,0.297008,
train_222_d,bad,,graded,,0.031095,
train_223_d,usable,,graded,,0.197961,
train_224_d,good,,graded,,0.328777,
train_225_d,good,,graded,,0.519818,
train_226_d,good,,graded,,0.569186,
train_227_d,good,,graded,,0.588064,
train_228_d,good,,graded,,0.652556,
train_229_d,good,,graded,,0.831279,
train_22_a,good,,graded,,0.712536,
train_230_d,good,,graded,,0.443414,
train_231_d,bad,,graded,,0.124894,
train_232_d,good,,graded,,0.202209,
train_233_d,good,,graded,,0.398433,
train_234_d,good,,graded,,0.169838,
train_235_d,good,,graded,,0.655762,
train_236_d,good,,graded,,0.656978,
train_237_d,bad,,graded,,0.145772,
train_238_d,good,,graded,,0.578920,
train_239_d,good,,graded,,0.691524,
train_23_a,good,,graded,,0.680405,
train_240_d,good,,graded,,0.610222,
train_241_d,good,,graded,,0.223534,
train_242_d,usable,,graded,,0.342886,
train_243_d,good,,graded,,0.385981,
train_244_d,good,,graded,,0.700105,
train_245_d,good,,graded,,0.160049,
train_246_d,good,,graded,,0.532779,
train_247_d,usable,,graded,,0.250204,
train_248_d,good,,graded,,0.490841,
train_249_d,good,,graded,,0.488721,
train_24_a,good,,graded,,0.780846,
train_250_d,usable,,graded,,0.110390,
train_251_d,good,,graded,,0.331275,
train_252_d,usable,,graded,,0.121463,
train_253_d,good,,graded,,0.291527,
train_254_d,good,,graded,,0.736316,
train_255_d,good,,graded,,0.332109,
train_256_d,bad,,graded,,0.070271,
train_257_d,good,,graded,,0.564023,
train_258_d,good,,graded,,0.382189,
train_259_d,good,,graded,,0.182379,
train_25_a,good,,graded,,0.860650,
train_260_d,usable,,graded,,0.230760,
train_261_d,good,,graded,,0.719790,
train_262_d,good,,graded,,0.609748,
train_263_d,good,,graded,,0.716485,
train_264_d,good,,graded,,0.753612,
train_265_d,good,,graded,,0.207311,
train_266_d,usable,,graded,,0.437287,
train_267_d,usable,,graded,,0.408916,
train_268_d,usable,,graded,,0.148959,
train_269_d,usable,,graded,,0.066725,
train_26_a,good,,graded,,0.851122,
train_270_d,usable,,graded,,0.050515,
train_271_d,good,,graded,,0.636596,
train_272_d,good,,graded,,0.695700,
train_273_d,good,,graded,,0.613533,
train_274_d,good,,graded,,0.650061,
train_275_d,good,,graded,,0.403915,
train_276_d,good,,graded,,0.705304,
train_277_d,bad,,graded,,0.149905,
train_278_d,usable,,graded,,0.082842,
train_279_d,good,,graded,,0.734905,
train_27_a,good,,graded,,0.408427,
train_280_d,bad,,graded,,0.086755,
train_281_d,bad,,graded,,0.129629,
train_282_d,good,,graded,,0.323717,
train_283_d,usable,,graded,,0.248776,
train_284_d,bad,,graded,,0.047874,
train_285_d,usable,,graded,,0.180964,
train_286_d,good,,graded,,0.548713,
train_287_d,usable,,graded,,0.180111,
train_288_d,good,,graded,,0.335435,
train_289_d,good,,graded,,0.747534,
