key,grade,readers,outcome,verdict,gradeable,note
train_local1_1,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,0.530645,
train_local1_10,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,0.592442,
train_local1_100,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,0.044313,
train_local1_101,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,0.030345,
train_local1_102,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,0.028836,
train_local1_103,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,0.084687,
train_local1_104,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,0.013979,
train_local1_105,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,0.061636,
train_local1_106,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,0.064283,
train_local1_107,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,0.017231,
train_local1_108,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,0.065253,
train_local1_109,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,0.015815,
train_local1_11,good,annotator1=good;annotator2=bad;annotator3=good;consensus=good,graded,,0.270577,
train_local1_110,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,0.012094,
train_local1_111,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,0.011377,
train_local1_112,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,0.056423,
train_local1_113,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,0.011904,
train_local1_114,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,0.014303,
train_local1_115,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,0.025191,
train_local1_116,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,0.352180,
train_local1_117,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,0.099929,
train_local1_118,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,0.037629,
train_local1_119,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,0.009657,
train_local1_12,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,,0.347128,
train_local1_120,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,0.122598,
train_local1_121,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,0.096055,
train_local1_122,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,0.162769,
train_local1_123,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,0.153677,
train_local1_124,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,0.281433,
train_local1_125,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,,0.028331,
