key,subset,split,grade,grade_source,pad_fraction,readers,outcome,verdict,carried_by_its_pipeline,gradeable,bad,good,usable,note
test_100_d,main,test,good,derived,0.0000,,graded,good,,0.981258,0.018742,0.812444,0.168814,
test_101_g,main,test,bad,derived,0.0000,,graded,bad,,0.245849,0.754151,0.005899,0.239950,
test_102_g,main,test,bad,derived,0.0000,,graded,bad,,0.025468,0.974532,0.000450,0.025018,
test_103_g,main,test,usable,derived,0.0000,,graded,bad,,0.379745,0.620255,0.011033,0.368712,
test_104_g,main,test,usable,derived,0.0000,,graded,usable,,0.866538,0.133462,0.241448,0.625090,
test_105_g,main,test,good,derived,0.0000,,graded,good,,0.976575,0.023425,0.651765,0.324810,
test_106_g,main,test,good,derived,0.0000,,graded,good,,0.999529,0.000471,0.981815,0.017715,
test_107_g,main,test,good,derived,0.0000,,graded,good,,0.999842,0.000158,0.978818,0.021024,
test_108_g,main,test,bad,derived,0.0000,,graded,bad,,0.351101,0.648899,0.059459,0.291642,
test_109_g,main,test,good,derived,0.0000,,graded,good,,0.997552,0.002448,0.972396,0.025155,
test_10_a,main,test,usable,derived,0.0000,,graded,bad,,0.463094,0.536906,0.072245,0.390849,
test_110_g,main,test,good,derived,0.0000,,graded,good,,0.908558,0.091442,0.526424,0.382134,
test_111_g,main,test,usable,derived,0.0000,,graded,usable,,0.587328,0.412672,0.119210,0.468117,
test_112_g,main,test,usable,derived,0.0000,,graded,bad,,0.449277,0.550723,0.004259,0.445018,
test_113_g,main,test,bad,derived,0.0000,,graded,bad,,0.008973,0.991027,0.000154,0.008819,
test_114_g,main,test,bad,derived,0.0000,,graded,bad,,0.023064,0.976936,0.000506,0.022559,
test_115_g,main,test,good,derived,0.0000,,graded,good,,0.988093,0.011907,0.822360,0.165733,
test_116_g,main,test,usable,derived,0.0000,,graded,bad,,0.009495,0.990505,0.000047,0.009448,
test_117_g,main,test,good,derived,0.0000,,graded,usable,,0.879617,0.120383,0.389029,0.490588,
test_118_g,main,test,good,derived,0.0000,,graded,good,,0.999939,0.000061,0.994429,0.005510,
test_119_g,main,test,bad,derived,0.0000,,graded,bad,,0.155072,0.844928,0.012561,0.142511,
test_11_a,main,test,good,derived,0.0000,,graded,usable,,0.614629,0.385371,0.038898,0.575732,
test_120_g,main,test,usable,derived,0.0000,,graded,usable,,0.900612,0.099388,0.360990,0.539622,
test_121_g,main,test,bad,derived,0.0000,,graded,bad,,0.035857,0.964143,0.000589,0.035268,
test_122_g,main,test,bad,derived,0.0000,,graded,bad,,0.022722,0.977278,0.002726,0.019996,
test_123_g,main,test,bad,derived,0.0000,,graded,bad,,0.017567,0.982433,0.001157,0.016410,
test_124_g,main,test,usable,derived,0.0000,,graded,bad,,0.051524,0.948476,0.001056,0.050469,
test_125_g,main,test,good,derived,0.0000,,graded,usable,,0.828823,0.171177,0.118091,0.710731,
test_126_g,main,test,good,derived,0.0000,,graded,usable,,0.727259,0.272741,0.350746,0.376514,
test_127_g,main,test,good,derived,0.0000,,graded,usable,,0.661172,0.338828,0.285816,0.375356,
test_128_g,main,test,usable,derived,0.0000,,graded,usable,,0.707895,0.292105,0.194025,0.513871,
test_129_g,main,test,usable,derived,0.0000,,graded,bad,,0.527441,0.472559,0.079043,0.448398,
test_12_a,main,test,good,derived,0.0000,,graded,good,,0.998993,0.001007,0.960193,0.038800,
test_130_g,main,test,good,derived,0.0000,,graded,good,,0.997088,0.002912,0.887692,0.109396,
test_131_g,main,test,good,derived,0.0000,,graded,good,,0.999717,0.000283,0.992798,0.006920,
test_132_g,main,test,good,derived,0.0000,,graded,good,,0.727091,0.272909,0.418573,0.308518,
test_133_g,main,test,bad,derived,0.0000,,graded,bad,,0.004996,0.995004,0.000052,0.004944,
test_134_g,main,test,usable,derived,0.0000,,graded,usable,,0.798577,0.201423,0.391246,0.407331,
test_135_g,main,test,usable,derived,0.0000,,graded,bad,,0.335232,0.664768,0.064943,0.270289,
test_136_g,main,test,bad,derived,0.0000,,graded,bad,,0.034659,0.965341,0.000893,0.033765,
test_137_g,main,test,bad,derived,0.0000,,graded,bad,,0.060316,0.939684,0.002139,0.058176,
test_138_g,main,test,bad,derived,0.0000,,graded,bad,,0.018945,0.981055,0.000421,0.018524,
