key,grade,readers,outcome,verdict,gradeable,bad,good,usable,note
img_00000,bad,consensus=bad;level1=usable;level2=bad;level3=bad,graded,usable,0.685721,0.314279,0.177014,0.508707,
img_00001,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,bad,0.097103,0.902897,0.003987,0.093116,
img_00002,bad,consensus=bad;level1=bad;level2=usable;level3=bad,graded,bad,0.316720,0.683280,0.005338,0.311382,
img_00003,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,bad,0.088631,0.911369,0.003928,0.084703,
img_00004,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,bad,0.028961,0.971039,0.002515,0.026446,
img_00005,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,bad,0.048733,0.951267,0.004102,0.044631,
img_00006,bad,consensus=bad;level1=bad;level2=bad;level3=bad,graded,bad,0.044466,0.955534,0.009127,0.035339,
img_00007,good,consensus=good;level1=good;level2=good;level3=usable,graded,good,0.999674,0.000326,0.996214,0.003460,
img_00016,good,consensus=good;level1=good;level2=good;level3=usable,graded,good,0.999475,0.000525,0.997641,0.001834,
img_00026,usable,consensus=usable;level1=usable;level2=usable;level3=usable,graded,good,0.678073,0.321927,0.346774,0.331299,
img_00046,good,consensus=good;level1=good;level2=good;level3=usable,graded,good,0.986785,0.013215,0.969033,0.017753,
img_00047,usable,consensus=usable;level1=usable;level2=usable;level3=usable,graded,good,0.997527,0.002473,0.977715,0.019812,
img_00048,usable,consensus=usable;level1=usable;level2=good;level3=usable,graded,good,0.999735,0.000265,0.994930,0.004805,
img_00049,good,consensus=good;level1=good;level2=good;level3=good,graded,good,0.999541,0.000459,0.998641,0.000901,
img_00056,good,consensus=good;level1=good;level2=good;level3=usable,graded,good,0.996644,0.003356,0.984453,0.012191,
img_00057,good,consensus=good;level1=good;level2=good;level3=usable,graded,good,0.999748,0.000252,0.997621,0.002127,
img_00058,usable,consensus=usable;level1=usable;level2=usable;level3=usable,graded,good,0.987289,0.012711,0.930423,0.056866,
img_00059,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,good,0.994488,0.005512,0.985767,0.008721,
img_00060,good,consensus=good;level1=good;level2=good;level3=usable,graded,bad,0.514564,0.485436,0.339064,0.175500,
img_00073,usable,consensus=usable;level1=usable;level2=usable;level3=usable,graded,bad,0.327350,0.672650,0.083972,0.243378,
img_00074,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,usable,0.610227,0.389773,0.175241,0.434985,
img_00077,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,usable,0.856106,0.143894,0.339862,0.516244,
img_00082,usable,consensus=usable;level1=usable;level2=usable;level3=bad,graded,usable,0.617355,0.382645,0.041622,0.575733,
img_00084,good,consensus=good;level1=good;level2=good;level3=usable,graded,usable,0.915428,0.084572,0.371859,0.543569,
img_00085,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,usable,0.886780,0.113220,0.061895,0.824885,
img_00086,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,good,0.940440,0.059560,0.617445,0.322995,
img_00087,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,usable,0.890244,0.109756,0.120393,0.769850,
img_00089,good,consensus=good;level1=good;level2=good;level3=good,graded,good,0.997360,0.002640,0.968123,0.029236,
img_00090,usable,consensus=usable;level1=good;level2=usable;level3=usable,graded,usable,0.770134,0.229866,0.202178,0.567955,
img_00096,bad,consensus=bad;level1=usable;level2=bad;level3=bad,graded,bad,0.176566,0.823434,0.000677,0.175889,
