key,grade,readers,outcome,verdict,gradeable,bad,good,usable,note
train_dr_xju_134,good,annotator1=bad;annotator2=good;annotator3=good;consensus=good,graded,usable,0.750891,0.249109,0.259428,0.491463,
train_dr_xju_86,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.279028,0.720972,0.020085,0.258943,
train_dr_xju_87,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.403573,0.596427,0.020475,0.383097,
train_dr_xju_88,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.188972,0.811028,0.009386,0.179586,
train_dr_xju_89,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.279634,0.720366,0.010089,0.269545,
train_dr_zju_1,good,annotator1=good;annotator2=good;annotator3=good,graded,good,0.747287,0.252713,0.479535,0.267752,
train_dr_zju_100,good,annotator1=good;annotator2=good;annotator3=good,graded,good,0.969835,0.030165,0.844062,0.125773,
train_dr_zju_101,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,0.892010,0.107990,0.297186,0.594824,
train_dr_zju_103,good,annotator1=good;annotator2=good;annotator3=good,graded,good,0.999317,0.000683,0.953266,0.046050,
train_dr_zju_104,good,annotator1=good;annotator2=good;annotator3=good,graded,good,0.999675,0.000325,0.990157,0.009518,
train_dr_zju_105,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,0.961288,0.038712,0.473568,0.487720,
train_dr_zju_106,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,0.840338,0.159662,0.343986,0.496353,
train_dr_zju_107,good,annotator1=good;annotator2=good;annotator3=good,graded,good,0.991655,0.008345,0.880184,0.111471,
train_dr_zju_108,good,annotator1=good;annotator2=good;annotator3=good,graded,good,0.997930,0.002070,0.924325,0.073605,
train_dr_zju_109,good,annotator1=good;annotator2=good;annotator3=good,graded,good,0.975403,0.024597,0.743467,0.231936,
train_dr_zju_110,good,annotator1=good;annotator2=good;annotator3=good,graded,good,0.991251,0.008749,0.806327,0.184924,
train_dr_zju_111,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,0.925862,0.074138,0.265526,0.660336,
train_dr_zju_112,good,annotator1=good;annotator2=good;annotator3=good,graded,good,0.999816,0.000184,0.986319,0.013497,
train_dr_zju_113,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,bad,0.028171,0.971829,0.000446,0.027725,
train_dr_zju_114,bad,annotator1=bad;annotator2=bad;annotator3=bad,graded,bad,0.133835,0.866165,0.002726,0.131109,
train_dr_zju_115,good,annotator1=good;annotator2=good;annotator3=good,graded,good,0.992617,0.007383,0.914354,0.078263,
train_dr_zju_116,good,annotator1=good;annotator2=good;annotator3=good,graded,good,0.975338,0.024662,0.890183,0.085155,
train_dr_zju_117,good,annotator1=good;annotator2=good;annotator3=good,graded,bad,0.376745,0.623255,0.010376,0.366368,
train_dr_zju_118,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,0.617551,0.382449,0.041945,0.575606,
train_dr_zju_119,good,annotator1=good;annotator2=good;annotator3=good,graded,good,0.999855,0.000145,0.988105,0.011750,
train_dr_zju_12,good,annotator1=good;annotator2=good;annotator3=good,graded,usable,0.675198,0.324802,0.163591,0.511607,
train_dr_zju_120,good,annotator1=good;annotator2=good;annotator3=good,graded,good,0.973856,0.026144,0.723269,0.250588,
train_dr_zju_121,good,annotator1=good;annotator2=good;annotator3=good,graded,good,0.999820,0.000180,0.995490,0.004330,
train_dr_zju_122,good,annotator1=good;annotator2=good;annotator3=good,graded,good,0.998484,0.001516,0.984231,0.014252,
train_dr_zju_123,good,annotator1=good;annotator2=good;annotator3=good,graded,good,0.999566,0.000434,0.987695,0.011871,
