key,grade,readers,outcome,verdict,gradeable,bad,good,usable,note
train_local1_1,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,good,0.990067,0.009933,0.961589,0.028478,
train_local1_10,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,good,0.995720,0.004280,0.955943,0.039778,
train_local1_100,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.067990,0.932010,0.004375,0.063616,
train_local1_101,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.103759,0.896241,0.011131,0.092628,
train_local1_102,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.088974,0.911026,0.007155,0.081819,
train_local1_103,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.170105,0.829895,0.003460,0.166645,
train_local1_104,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.022835,0.977165,0.000623,0.022212,
train_local1_105,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.059674,0.940326,0.002578,0.057096,
train_local1_106,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.194207,0.805793,0.006294,0.187914,
train_local1_107,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.050393,0.949607,0.003084,0.047309,
train_local1_108,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.034016,0.965984,0.000513,0.033503,
train_local1_109,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.020616,0.979384,0.000689,0.019927,
train_local1_11,good,annotator1=good;annotator2=bad;annotator3=good;consensus=good,graded,good,0.976169,0.023831,0.753935,0.222233,
train_local1_110,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.069643,0.930357,0.014514,0.055128,
train_local1_111,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.014707,0.985293,0.000683,0.014023,
train_local1_112,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.049986,0.950014,0.007033,0.042953,
train_local1_113,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.095757,0.904243,0.023524,0.072233,
train_local1_114,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.054628,0.945372,0.005879,0.048748,
train_local1_115,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.060701,0.939299,0.004846,0.055855,
train_local1_116,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,usable,0.793675,0.206325,0.102227,0.691448,
train_local1_117,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.113975,0.886025,0.009362,0.104613,
train_local1_118,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.051454,0.948546,0.008630,0.042823,
train_local1_119,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.035710,0.964290,0.007283,0.028427,
train_local1_12,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,good,0.996139,0.003861,0.960778,0.035361,
train_local1_120,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.091090,0.908910,0.005805,0.085285,
train_local1_121,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.067815,0.932185,0.002562,0.065253,
train_local1_122,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.031348,0.968652,0.005683,0.025666,
train_local1_123,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.050168,0.949832,0.008449,0.041719,
train_local1_124,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.220745,0.779255,0.012025,0.208720,
train_local1_125,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.012745,0.987255,0.000197,0.012549,
train_local1_126,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.019872,0.980128,0.000470,0.019402,
train_local1_127,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.037144,0.962856,0.004989,0.032155,
train_local1_128,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.042101,0.957899,0.007263,0.034838,
train_local1_129,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,good,0.877441,0.122559,0.563063,0.314379,
train_local1_13,good,annotator1=good;annotator2=good;annotator3=good;consensus=good,graded,good,0.982212,0.017788,0.894822,0.087390,
train_local1_130,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.535192,0.464808,0.200131,0.335061,
train_local1_131,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.011072,0.988928,0.000687,0.010385,
train_local1_132,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.063185,0.936815,0.002192,0.060993,
train_local1_133,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.038651,0.961349,0.000744,0.037907,
train_local1_134,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.023847,0.976153,0.003208,0.020640,
train_local1_135,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.026938,0.973062,0.000652,0.026286,
train_local1_136,bad,annotator1=bad;annotator2=bad;annotator3=bad;consensus=bad,graded,bad,0.024971,0.975029,0.001039,0.023932,
