key,subset,split,grade,grade_source,pad_fraction,readers,outcome,verdict,carried_by_its_pipeline,gradeable,bad,good,usable,note
ret002_od,main,unspecified,good,assumed,0.1884,,graded,usable,,0.733772,0.266228,0.297360,0.436413,
ret002_os,main,unspecified,good,assumed,0.1877,,graded,good,,0.978783,0.021217,0.880959,0.097824,
ret004_od,main,unspecified,good,assumed,0.1884,,graded,usable,,0.644882,0.355118,0.288765,0.356116,
ret004_os,main,unspecified,good,assumed,0.1877,,graded,good,,0.943011,0.056989,0.748450,0.194562,
ret005_od,main,unspecified,good,assumed,0.1888,,graded,good,,0.629106,0.370894,0.430509,0.198597,
ret005_os,main,unspecified,good,assumed,0.1877,,graded,good,,0.658168,0.341832,0.425953,0.232215,
ret006_od,main,unspecified,good,assumed,0.1881,,graded,bad,,0.477850,0.522150,0.073674,0.404176,
ret006_os,main,unspecified,good,assumed,0.1877,,graded,bad,,0.121973,0.878027,0.008736,0.113237,
ret007_od,main,unspecified,good,assumed,0.1884,,graded,good,,0.978509,0.021491,0.886275,0.092234,
ret007_os,main,unspecified,good,assumed,0.1877,,graded,good,,0.969058,0.030942,0.890785,0.078274,
ret008_od,main,unspecified,good,assumed,0.1894,,graded,bad,,0.427761,0.572239,0.121409,0.306352,
ret008_os,main,unspecified,good,assumed,0.1891,,graded,good,,0.773558,0.226442,0.439927,0.333631,
ret009_od,main,unspecified,good,assumed,0.1891,,graded,bad,,0.016026,0.983974,0.000646,0.015379,
ret009_os,main,unspecified,good,assumed,0.1888,,graded,bad,,0.020613,0.979387,0.000544,0.020069,
ret010_od,main,unspecified,good,assumed,0.1884,,graded,bad,,0.009931,0.990069,0.000381,0.009550,
ret010_os,main,unspecified,good,assumed,0.1881,,graded,bad,,0.010136,0.989864,0.000362,0.009774,
ret013_od,main,unspecified,good,assumed,0.1877,,graded,bad,,0.253414,0.746586,0.008931,0.244483,
ret013_os,main,unspecified,good,assumed,0.1877,,graded,bad,,0.051820,0.948180,0.001594,0.050226,
ret014_od,main,unspecified,good,assumed,0.1881,,graded,good,,0.810872,0.189128,0.525041,0.285832,
ret014_os,main,unspecified,good,assumed,0.1884,,graded,good,,0.782923,0.217077,0.538121,0.244802,
ret015_od,main,unspecified,good,assumed,0.1888,,graded,good,,0.731581,0.268419,0.537228,0.194354,
ret015_os,main,unspecified,good,assumed,0.1881,,graded,bad,,0.351108,0.648892,0.097641,0.253467,
ret016_od,main,unspecified,good,assumed,0.1888,,graded,bad,,0.081889,0.918111,0.003709,0.078181,
ret016_os,main,unspecified,good,assumed,0.1884,,graded,bad,,0.233944,0.766056,0.023732,0.210213,
ret018_od,main,unspecified,good,assumed,0.1891,,graded,bad,,0.414912,0.585088,0.150480,0.264432,
ret018_os,main,unspecified,good,assumed,0.1891,,graded,good,,0.930334,0.069666,0.785130,0.145204,
ret019_od,main,unspecified,good,assumed,0.1888,,graded,bad,,0.495703,0.504297,0.192254,0.303449,
ret019_os,main,unspecified,good,assumed,0.1884,,graded,bad,,0.274474,0.725526,0.067852,0.206623,
ret020_od,main,unspecified,good,assumed,0.1894,,graded,bad,,0.066826,0.933174,0.003550,0.063275,
