key,subset,split,grade,grade_source,pad_fraction,readers,outcome,verdict,carried_by_its_pipeline,gradeable,bad,good,usable,note
test_100_d,main,test,good,derived,0.0000,,graded,good,,0.997197,0.002803,0.809796,0.187402,
test_101_g,main,test,bad,derived,0.0000,,graded,bad,,0.406825,0.593175,0.000296,0.406529,
test_102_g,main,test,bad,derived,0.0000,,graded,bad,,0.208272,0.791728,0.000470,0.207801,
test_103_g,main,test,usable,derived,0.0000,,graded,usable,,0.729288,0.270712,0.003156,0.726132,
test_104_g,main,test,usable,derived,0.0000,,graded,good,,0.999064,0.000936,0.686302,0.312762,
test_105_g,main,test,good,derived,0.0000,,graded,good,,0.999962,0.000038,0.949483,0.050479,
test_106_g,main,test,good,derived,0.0000,,graded,good,,0.999974,0.000026,0.987008,0.012966,
test_107_g,main,test,good,derived,0.0000,,graded,good,,0.999999,0.000001,0.996464,0.003534,
test_108_g,main,test,bad,derived,0.0000,,graded,bad,,0.161680,0.838320,0.000404,0.161276,
test_109_g,main,test,good,derived,0.0000,,graded,good,,0.999994,0.000006,0.988573,0.011421,
test_10_a,main,test,usable,derived,0.0000,,graded,usable,,0.766872,0.233128,0.002565,0.764307,
test_110_g,main,test,good,derived,0.0000,,graded,good,,0.999927,0.000073,0.939813,0.060114,
test_111_g,main,test,usable,derived,0.0000,,graded,usable,,0.979173,0.020827,0.023589,0.955584,
test_112_g,main,test,usable,derived,0.0000,,graded,usable,,0.978327,0.021673,0.101070,0.877257,
test_113_g,main,test,bad,derived,0.0000,,graded,bad,,0.000687,0.999313,0.000000,0.000687,
test_114_g,main,test,bad,derived,0.0000,,graded,bad,,0.004664,0.995336,0.000000,0.004663,
test_115_g,main,test,good,derived,0.0000,,graded,good,,0.999888,0.000112,0.932343,0.067545,
test_116_g,main,test,usable,derived,0.0000,,graded,usable,,0.778728,0.221272,0.003956,0.774772,
test_117_g,main,test,good,derived,0.0000,,graded,usable,,0.998395,0.001605,0.412510,0.585885,
test_118_g,main,test,good,derived,0.0000,,graded,good,,0.999999,0.000001,0.998770,0.001229,
test_119_g,main,test,bad,derived,0.0000,,graded,bad,,0.046291,0.953709,0.000024,0.046267,
test_11_a,main,test,good,derived,0.0000,,graded,usable,,0.964803,0.035197,0.087750,0.877054,
test_120_g,main,test,usable,derived,0.0000,,graded,good,,0.999881,0.000119,0.878311,0.121570,
test_121_g,main,test,bad,derived,0.0000,,graded,bad,,0.012682,0.987318,0.000002,0.012680,
test_122_g,main,test,bad,derived,0.0000,,graded,bad,,0.000315,0.999685,0.000000,0.000315,
test_123_g,main,test,bad,derived,0.0000,,graded,bad,,0.000237,0.999763,0.000000,0.000237,
test_124_g,main,test,usable,derived,0.0000,,graded,bad,,0.087659,0.912341,0.000078,0.087581,
test_125_g,main,test,good,derived,0.0000,,graded,good,,0.999587,0.000413,0.858618,0.140969,
test_126_g,main,test,good,derived,0.0000,,graded,usable,,0.995981,0.004019,0.380720,0.615261,
test_127_g,main,test,good,derived,0.0000,,graded,usable,,0.991419,0.008581,0.209890,0.781528,
test_128_g,main,test,usable,derived,0.0000,,graded,usable,,0.995930,0.004070,0.300061,0.695869,
test_129_g,main,test,usable,derived,0.0000,,graded,usable,,0.690951,0.309049,0.002334,0.688617,
test_12_a,main,test,good,derived,0.0000,,graded,good,,0.999526,0.000474,0.695559,0.303967,
test_130_g,main,test,good,derived,0.0000,,graded,good,,0.999383,0.000617,0.791708,0.207675,
test_131_g,main,test,good,derived,0.0000,,graded,good,,0.999998,0.000002,0.998704,0.001294,
test_132_g,main,test,good,derived,0.0000,,graded,good,,0.994596,0.005404,0.602788,0.391808,
test_133_g,main,test,bad,derived,0.0000,,graded,bad,,0.008086,0.991914,0.000001,0.008086,
test_134_g,main,test,usable,derived,0.0000,,graded,good,,0.989096,0.010904,0.531044,0.458052,
test_135_g,main,test,usable,derived,0.0000,,graded,bad,,0.272985,0.727015,0.011647,0.261338,
test_136_g,main,test,bad,derived,0.0000,,graded,bad,,0.012476,0.987524,0.000005,0.012471,
test_137_g,main,test,bad,derived,0.0000,,graded,bad,,0.018877,0.981123,0.000003,0.018873,
test_138_g,main,test,bad,derived,0.0000,,graded,bad,,0.011364,0.988636,0.000002,0.011362,
test_139_g,main,test,good,derived,0.0000,,graded,good,,0.999990,0.000010,0.990327,0.009663,
test_13_a,main,test,good,derived,0.0000,,graded,good,,0.999913,0.000087,0.927905,0.072008,
test_140_g,main,test,good,derived,0.0000,,graded,usable,,0.990990,0.009009,0.218389,0.772602,
test_141_g,main,test,good,derived,0.0000,,graded,good,,0.999928,0.000072,0.974281,0.025647,
test_142_g,main,test,good,derived,0.0000,,graded,good,,0.999999,0.000001,0.995324,0.004675,
test_143_g,main,test,good,derived,0.0000,,graded,good,,0.999997,0.000003,0.995422,0.004575,
test_144_g,main,test,bad,derived,0.0000,,graded,bad,,0.246039,0.753961,0.000306,0.245733,
test_145_g,main,test,bad,derived,0.0000,,graded,bad,,0.238795,0.761205,0.000133,0.238661,
test_146_g,main,test,good,derived,0.0000,,graded,good,,0.999987,0.000013,0.995034,0.004953,
test_147_g,main,test,good,derived,0.0000,,graded,good,,0.997974,0.002026,0.641096,0.356878,
test_148_g,main,test,bad,derived,0.0000,,graded,bad,,0.073781,0.926219,0.000107,0.073674,
test_149_g,main,test,usable,derived,0.0000,,graded,bad,,0.212217,0.787783,0.000521,0.211696,
test_14_a,main,test,good,derived,0.0000,,graded,good,,0.999934,0.000066,0.921313,0.078621,
test_150_g,main,test,good,derived,0.0000,,graded,good,,0.999877,0.000123,0.832040,0.167837,
test_151_n,main,test,good,derived,0.0000,,graded,good,,0.999725,0.000275,0.918236,0.081489,
