key,subset,split,grade,grade_source,pad_fraction,readers,outcome,verdict,carried_by_its_pipeline,gradeable,bad,good,usable,note
test_dr_zju_151,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999995,0.000005,0.984688,0.015308,
test_dr_zju_152,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.990099,0.009901,0.510224,0.479876,
test_dr_zju_153,cfp,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad,graded,bad,,0.288961,0.711039,0.009264,0.279698,
test_dr_zju_156,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999840,0.000160,0.913892,0.085948,
test_dr_zju_158,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.998004,0.001996,0.588964,0.409040,
test_dr_zju_159,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,usable,,0.896332,0.103668,0.165269,0.731063,
test_dr_zju_160,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,usable,,0.853708,0.146292,0.036739,0.816968,
test_dr_zju_161,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999893,0.000107,0.958072,0.041821,
test_dr_zju_162,cfp,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad,graded,usable,,0.593844,0.406156,0.005361,0.588483,
test_dr_zju_163,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999930,0.000070,0.951827,0.048103,
test_dr_zju_164,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999506,0.000494,0.878932,0.120573,
test_dr_zju_165,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999970,0.000030,0.976520,0.023451,
test_dr_zju_167,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999717,0.000283,0.838318,0.161399,
test_dr_zju_168,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999987,0.000013,0.976627,0.023360,
test_dr_zju_169,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999562,0.000438,0.631842,0.367720,
test_dr_zju_170,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,usable,,0.946155,0.053845,0.193785,0.752370,
test_dr_zju_171,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999986,0.000014,0.987667,0.012319,
test_dr_zju_172,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999979,0.000021,0.981209,0.018770,
test_dr_zju_173,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.997013,0.002987,0.722796,0.274218,
test_dr_zju_174,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999987,0.000013,0.990819,0.009168,
test_dr_zju_175,cfp,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad,graded,usable,,0.872077,0.127923,0.179421,0.692656,
test_dr_zju_176,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999927,0.000072,0.967098,0.032830,
test_dr_zju_177,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999980,0.000020,0.983144,0.016836,
test_dr_zju_179,cfp,test,bad,published,0.0000,annotator1=bad;annotator2=bad;annotator3=bad,graded,usable,,0.638856,0.361144,0.010461,0.628394,
test_dr_zju_180,cfp,test,good,published,0.0000,annotator1=good;annotator2=good;annotator3=good,graded,good,,0.999992,0.000008,0.986377,0.013615,
